n,mesh,angle_deg,phase,h_local_max_m,h_local_median_m,area_m2,area_over_unique_length_h_local,support_width_m,width_over_h_local,forward_leakage_m,forward_leakage_over_h_local,intact_cross_graph_path_exists,certificate_fingerprint,unresolved_bridge_nodes,construction_screen
9,perturbed,30,0.0,0.1941616921452751,0.1784099421424954,0.3769355666019295,3.8826975850612166,0.33011136599710306,1.7001879327983405,0.22631397208144133,1.1655953838314788,False,5ac942c243a7ef1311f694f0a591235b01ec870b4937330a1f2f1f0af3715c0c,0,True
9,perturbed,30,0.037,0.1976664634463374,0.1784099421424954,0.3703906213902393,3.747632399876401,0.3350063509461097,1.6948062160127502,0.23603521129918892,1.1941085360859298,False,6b9a981da13186417be77c639f3f30d682703720b2cf8fca2866492ac0f41471,0,True
9,perturbed,-30,0.0,0.20002939091281757,0.180131882285709,0.3640584888534524,3.6400499665784274,0.32472911330494325,1.623406999456774,0.283964496136055,1.41961386194402,False,0b233b699ff2c4bb9565245e36885109b070aa05e78385ab131c12b238a7ab1a,0,True
9,perturbed,-30,0.037,0.19896345719203906,0.16964684388247037,0.40214878779951485,4.042438681705874,0.35047407545926385,1.7614997266607963,0.25192155619603096,1.2661699779014035,False,d1a1c5f1b844cd45d7586a177875f54a3f37b3c51893f14ec41ebb7bf0882907,0,True
9,perturbed,45,0.0,0.19407835461124362,0.1802637371114148,0.357138566859603,3.680354438030801,0.32046400523963003,1.6512094091149332,0.242462120245875,1.2493001640061736,False,d469a486f168bae6e11d14cbeaeb6e4e02c84913fbc83f61471b12092a160dce,0,True
9,perturbed,45,0.037,0.19407835461124362,0.18088589553374526,0.3281899501988292,3.3820355789415375,0.34662695614353234,1.7860155339726436,0.21629916934197269,1.1144940391484632,False,c6e9efb3231ef5b009b4a23f6b514e7a07e71bc2d717673bb4f744d4052cea7f,0,True
9,perturbed,-45,0.0,0.20002939091281757,0.17835579597411438,0.3145553122275292,3.1450909368076565,0.3261219163179712,1.630369991278486,0.242462120245875,1.2121324728302134,False,b7ea31b3241b60eeb7ca2e61f2b839888843eb54b6787b7bfacd82553f6fc1c3,0,True
9,perturbed,-45,0.037,0.20002939091281757,0.1847300055620884,0.39018100071012696,3.9012367025622408,0.3697947120789781,1.8487018852152204,0.21629916934197269,1.0813369393113148,False,ccc96bba85db8160a53e453ae71b6f724c693ba254fd049ca8ff23ee6dc92aff,0,True
17,structured,0,0.0,0.08838834764831845,0.08838834764831845,0.1640625,3.7123106012293747,0.125,1.414213562373095,0.1125000000000001,1.2727922061357866,False,7145a1296d60c1ac2200ee9e2c42e0e8b5b67c91230920b97a99bb7f37ad52e4,0,True
17,structured,0,0.037,0.08838834764831845,0.08838834764831845,0.1640625,3.7123106012293743,0.125,1.414213562373095,0.07550000000000001,0.8541849916733495,False,73651448fe097e410506e0aaa77c01f6b4f02abcfe97c47e21428f28c2fe2463,0,True
17,structured,15,0.0,0.08838834764831845,0.08838834764831845,0.130859375,2.9610096462186677,0.15199394985516673,1.7196152422706632,0.09596396573461785,1.0857083347280283,False,26508ba2c99a4504cbb6f4918a0299ce549bc6486bcf1745dbd26558c8f1b70e,0,True
17,structured,15,0.037,0.08838834764831845,0.08838834764831845,0.138671875,3.137786341515304,0.1497284613376159,1.6939841655752959,0.10441888398608157,1.1813648152078347,False,3a92b25c064d340dc66a6bc701e40f2f8d104eb63118c4fd223451778e2c9962,0,True
17,structured,-15,0.0,0.08838834764831845,0.08838834764831845,0.130859375,2.9610096462186677,0.15199394985516673,1.7196152422706632,0.09596396573461785,1.0857083347280283,False,170db7d31c92f0622b0d05eb23609992e169badc0abb13e505f6c251c3ae3ebc,0,True
17,structured,-15,0.037,0.08838834764831845,0.08838834764831845,0.138671875,3.137786341515304,0.1497284613376159,1.6939841655752959,0.10441888398608157,1.1813648152078347,False,9f71d9ff6cfb7491aa39dbd6fe09d3e61a2248dddedb71256e07bfa1bfd65dc8,0,True
17,structured,30,0.0,0.08838834764831845,0.08838834764831845,0.13671875,3.093592167691145,0.16862976320958226,1.9078279852060382,0.10131397208144133,1.1462367470037074,False,1a5f081a68fd6aef795e6847d8e63aa4dd85747905c8e99076881a6f173c41c0,0,True
17,structured,30,0.037,0.08838834764831845,0.08838834764831845,0.13671875,3.0935921676911438,0.17038293868263715,1.9276629014557511,0.06927103214141705,0.7837122650717966,False,3957781d46d7f00ef5322f8d16d1720a8f5eee80d0a30cda2d0a75b8eee9d2c0,0,True
17,structured,-30,0.0,0.08838834764831845,0.08838834764831845,0.13671875,3.093592167691145,0.16862976320958226,1.9078279852060382,0.10131397208144133,1.1462367470037074,False,bacc017205fe5d7def3c77b031e976a9082b416ba10bb96181651cf0aeceac16,0,True
17,structured,-30,0.037,0.08838834764831845,0.08838834764831845,0.13671875,3.0935921676911438,0.17038293868263715,1.9276629014557511,0.06927103214141705,0.7837122650717966,False,c9c352152be1ab5ba8e86d14731ab11f349d58da6816b2ef1e7176bf681f0f9c,0,True
17,structured,45,0.0,0.08838834764831845,0.08838834764831845,0.12890625,2.9168154723945086,0.14142135623730956,1.6000000000000005,0.06568542494923801,0.7431457505076197,False,e777f71956aea50f0d4ac6a80df6534dc2aff9ac7f03986871d09f077d3a4b69,0,True
17,structured,45,0.037,0.08838834764831845,0.08838834764831845,0.138671875,3.1377863415153042,0.16758430714121186,1.896000000000001,0.1279108216936543,1.4471457505076208,False,df6f60338b9cf1f83b7a0a67df6004f7c5ba60acb267db4eca5fa9435f8cb8a8,0,True
17,structured,-45,0.0,0.08838834764831845,0.08838834764831845,0.12890625,2.9168154723945086,0.14142135623730956,1.6000000000000005,0.06568542494923801,0.7431457505076197,False,9fcb9e58dd9d061359d656ced7c6c4053c2fdf772b2dda4ee2ed1b82aae9b3b4,0,True
17,structured,-45,0.037,0.08838834764831845,0.08838834764831845,0.138671875,3.1377863415153042,0.16758430714121186,1.896000000000001,0.1279108216936543,1.4471457505076208,False,b72466cab16671a52f96b0da64dd72d41bc99d36c70ca2a417cce9ebec7461c0,0,True
17,perturbed,0,0.0,0.0973101699132215,0.08861202801173362,0.1295827146058669,2.6632923305225997,0.13229921019891538,1.3595620099820618,0.11908446946752999,1.2237618079767634,False,91ead1ea292ee88da6b1800f566ef7e182fe79910472e5e6e6bfff6a58882e48,0,True
17,perturbed,0,0.037,0.0973101699132215,0.08804176175871167,0.13652222355209737,2.8059189224280274,0.13229921019891538,1.3595620099820618,0.08208446946753001,0.8435343350107255,False,27672d728989a9a7154e6c12508c9e56d66d37623b0aa3da75c80a5252a02776,0,True
17,perturbed,15,0.0,0.09250058183420835,0.08804176175871167,0.13854869220714272,2.995628556271523,0.1483609403900218,1.6038919696303497,0.1440786253688232,1.5575969633040772,False,34a255737dd2187a74f779aef0d34d457af54772d6f7a46256b73437c96f4f03,0,True
17,perturbed,15,0.037,0.09250058183420835,0.08804176175871167,0.13854869220714272,2.9956285562715226,0.14881191332392246,1.6087673220330942,0.10833936979612768,1.171229063081005,False,a297d918572ac5fff775673e0c181557b91e958a18dad70f590d7a1a227c0849,0,True
17,perturbed,-15,0.0,0.10222238684318354,0.08915264357130044,0.14213844904785702,2.7809651767554127,0.14721014091186851,1.4400968854082759,0.10422750935726577,1.0196152973531936,False,5ce37dbe1c937ded20f8b16f9433d5901d7959f6a02d12f71a0da22034e0dab1,0,True
17,perturbed,-15,0.037,0.10222238684318354,0.08915264357130044,0.14873347423835542,2.9099980705111728,0.1517982057928601,1.4849800565284141,0.0995575727592819,0.9739312085522944,False,439c1aecc97a11ab44fa3a07adb300e62f7dda3bf1d3e4283dece809f0ac57e2,0,True
17,perturbed,30,0.0,0.09672305574610757,0.0904524978915343,0.13324117355970222,2.755106784662648,0.16908576755472673,1.748143358896426,0.10176286854857586,1.052105599472555,False,79dc5cf81a44af60a0f0997eb8db982cd957761c0dcd14dad1fd1d927ef7c52b,0,True
17,perturbed,30,0.037,0.09672305574610757,0.08924712982512298,0.14620415867513145,3.0231501175667743,0.17607082158337056,1.8203604117465675,0.13398709860794145,1.3852653596847668,False,fef6c5a937be3f276bd565597ec8a3b554528f98bac9ce6c3ecf4160a1982bd3,0,True
17,perturbed,-30,0.0,0.0954961912915036,0.08777457631261396,0.1494394157427341,3.1297460918952877,0.17059675088883272,1.7864246582157766,0.11011529565395306,1.1530857321610286,False,7ff9f44d79660a95ce63ea57e1b02ea64087e3a506a3ebc0e50e57b20dbc28a3,0,True
17,perturbed,-30,0.037,0.09537184802011564,0.08804176175871167,0.15776072108137676,3.308328911653303,0.1737393385493902,1.8217046450934393,0.13135411989876422,1.377283995493715,False,4197d005a9925f5d3115980462249fd3770a7706778885159c19c7f6a0c68428,0,True
17,perturbed,45,0.0,0.09275722139498203,0.08832700033640146,0.12923167623805376,2.786449923672356,0.14702802695694883,1.5850844251885141,0.07484454028792786,0.806886398302319,False,3e461ec2ebd7c8f4db7ad441bac81ef256f3995c743544f3a0723dba325d0446,0,True
17,perturbed,45,0.037,0.09275722139498203,0.0891663857830029,0.14618798922640333,3.152056239457638,0.17937992512537293,1.933864797022445,0.12185701318053443,1.3137199599979246,False,27bc71f8c0f518d606359a6a6c382a3728e71bcd848810b8daccb07e16f1be25,0,True
17,perturbed,-45,0.0,0.09855567622315181,0.08861202801173362,0.13957944961410187,2.832499455395409,0.14143176702436044,1.4350443571015403,0.06790036227983354,0.6889543543498411,False,953f39ecf278d591858244117b5c7fd8fc09064a66d255def370cd200e3c9e87,0,True
17,perturbed,-45,0.037,0.09855567622315181,0.08918229426475557,0.14875506788292023,3.018701176502628,0.16759471792826272,1.7005080209565127,0.12794396161597932,1.2981896783528322,False,b44fe46fd39588d4f15480c0410f72ff0548e8c3652d9bc1eb35bc3f3ddbcd5a,0,True
33,structured,0,0.0,0.04419417382415922,0.04419417382415922,0.072265625,3.2703688629877825,0.0625,1.414213562373095,0.0500000000000001,1.1313708498984782,False,82eb20e5e99eb7fb09a52db8bc8c4af9de82b0dbff42015d263514a546df0a06,0,True
33,structured,0,0.037,0.04419417382415922,0.04419417382415922,0.072265625,3.270368862987782,0.0625,1.414213562373095,0.04425000000000001,1.0012632021601515,False,54eb82a33ba22f7873d835d35477f0c53b987bc3e6cc54385147862886b0b5d5,0,True
33,structured,15,0.0,0.04419417382415922,0.04419417382415922,0.05859375,2.651650429449553,0.07544739539319241,1.7071796769724492,0.04151449818472308,0.9393658618871777,False,24e0d5d0fa475b927f634db8728aafc83121cb87d8555ede7cdf0d8779690e4f,0,True
