protocol,row_name,config_hash,Kmax_Pa_sqrt_m,R,frequency_Hz,minimum_load_hold_s,chemistry_factor,K_rebond_max_target_Pa_sqrt_m,seed,cohesion,status,note
D4,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,12000000.0,-0.5,1000.0,0.0005,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D4,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,15000000.0,-0.5,1000.0,0.0005,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D4,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,15000000.0,-0.5,1000.0,0.0005,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D4,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,18000000.0,-0.5,1000.0,0.0005,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D4,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,18000000.0,-0.5,1000.0,0.0005,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D4,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,21000000.0,-0.5,1000.0,0.0005,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D4,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,21000000.0,-0.5,1000.0,0.0005,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D4,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,24300000.0,-0.5,1000.0,0.0005,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D4,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,24300000.0,-0.5,1000.0,0.0005,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D5,PASSIVATION_LIMITED,57e5dc4bd44f626f6062237a31e5014353654a5c9b1c446ac70dc1e8e0bd9fdd,12000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D5,PASSIVATION_LIMITED,57e5dc4bd44f626f6062237a31e5014353654a5c9b1c446ac70dc1e8e0bd9fdd,12000000.0,-0.5,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D5,PASSIVATION_LIMITED,57e5dc4bd44f626f6062237a31e5014353654a5c9b1c446ac70dc1e8e0bd9fdd,15000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D5,PASSIVATION_LIMITED,57e5dc4bd44f626f6062237a31e5014353654a5c9b1c446ac70dc1e8e0bd9fdd,15000000.0,-0.5,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D5,PASSIVATION_LIMITED,57e5dc4bd44f626f6062237a31e5014353654a5c9b1c446ac70dc1e8e0bd9fdd,18000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D5,PASSIVATION_LIMITED,57e5dc4bd44f626f6062237a31e5014353654a5c9b1c446ac70dc1e8e0bd9fdd,18000000.0,-0.5,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D5,PASSIVATION_LIMITED,57e5dc4bd44f626f6062237a31e5014353654a5c9b1c446ac70dc1e8e0bd9fdd,21000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D5,PASSIVATION_LIMITED,57e5dc4bd44f626f6062237a31e5014353654a5c9b1c446ac70dc1e8e0bd9fdd,21000000.0,-0.5,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D5,PASSIVATION_LIMITED,57e5dc4bd44f626f6062237a31e5014353654a5c9b1c446ac70dc1e8e0bd9fdd,24300000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,
D5,PASSIVATION_LIMITED,57e5dc4bd44f626f6062237a31e5014353654a5c9b1c446ac70dc1e8e0bd9fdd,24300000.0,-0.5,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,
D6_conditional_persistent,COMPETING_PERSISTENT,3ff561ff2ef232d7dcd9d0b0e01db32c4bbe0c3ffe089fbd54080c153b6f611d,12000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,"PX3.8 item 5: COMPETING_PERSISTENT already confirmed distinguishable at the reference condition, so D6 is authorized as of this freeze -- PX4 must still confirm the screen-level effect before launching"
D6_conditional_persistent,COMPETING_PERSISTENT,3ff561ff2ef232d7dcd9d0b0e01db32c4bbe0c3ffe089fbd54080c153b6f611d,12000000.0,-0.5,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,"PX3.8 item 5: COMPETING_PERSISTENT already confirmed distinguishable at the reference condition, so D6 is authorized as of this freeze -- PX4 must still confirm the screen-level effect before launching"
D6_conditional_persistent,COMPETING_PERSISTENT,3ff561ff2ef232d7dcd9d0b0e01db32c4bbe0c3ffe089fbd54080c153b6f611d,15000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,"PX3.8 item 5: COMPETING_PERSISTENT already confirmed distinguishable at the reference condition, so D6 is authorized as of this freeze -- PX4 must still confirm the screen-level effect before launching"
D6_conditional_persistent,COMPETING_PERSISTENT,3ff561ff2ef232d7dcd9d0b0e01db32c4bbe0c3ffe089fbd54080c153b6f611d,15000000.0,-0.5,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,"PX3.8 item 5: COMPETING_PERSISTENT already confirmed distinguishable at the reference condition, so D6 is authorized as of this freeze -- PX4 must still confirm the screen-level effect before launching"
D6_conditional_persistent,COMPETING_PERSISTENT,3ff561ff2ef232d7dcd9d0b0e01db32c4bbe0c3ffe089fbd54080c153b6f611d,18000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,"PX3.8 item 5: COMPETING_PERSISTENT already confirmed distinguishable at the reference condition, so D6 is authorized as of this freeze -- PX4 must still confirm the screen-level effect before launching"
D6_conditional_persistent,COMPETING_PERSISTENT,3ff561ff2ef232d7dcd9d0b0e01db32c4bbe0c3ffe089fbd54080c153b6f611d,18000000.0,-0.5,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,"PX3.8 item 5: COMPETING_PERSISTENT already confirmed distinguishable at the reference condition, so D6 is authorized as of this freeze -- PX4 must still confirm the screen-level effect before launching"
D6_conditional_persistent,COMPETING_PERSISTENT,3ff561ff2ef232d7dcd9d0b0e01db32c4bbe0c3ffe089fbd54080c153b6f611d,21000000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,"PX3.8 item 5: COMPETING_PERSISTENT already confirmed distinguishable at the reference condition, so D6 is authorized as of this freeze -- PX4 must still confirm the screen-level effect before launching"
D6_conditional_persistent,COMPETING_PERSISTENT,3ff561ff2ef232d7dcd9d0b0e01db32c4bbe0c3ffe089fbd54080c153b6f611d,21000000.0,-0.5,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,"PX3.8 item 5: COMPETING_PERSISTENT already confirmed distinguishable at the reference condition, so D6 is authorized as of this freeze -- PX4 must still confirm the screen-level effect before launching"
D6_conditional_persistent,COMPETING_PERSISTENT,3ff561ff2ef232d7dcd9d0b0e01db32c4bbe0c3ffe089fbd54080c153b6f611d,24300000.0,-0.5,1000.0,0.0,1.0,900000.0,1720,finite,QUEUED_NOT_LAUNCHED,"PX3.8 item 5: COMPETING_PERSISTENT already confirmed distinguishable at the reference condition, so D6 is authorized as of this freeze -- PX4 must still confirm the screen-level effect before launching"
D6_conditional_persistent,COMPETING_PERSISTENT,3ff561ff2ef232d7dcd9d0b0e01db32c4bbe0c3ffe089fbd54080c153b6f611d,24300000.0,-0.5,1000.0,0.0,1.0,0.0,1720,zero,QUEUED_NOT_LAUNCHED,"PX3.8 item 5: COMPETING_PERSISTENT already confirmed distinguishable at the reference condition, so D6 is authorized as of this freeze -- PX4 must still confirm the screen-level effect before launching"
D1_confirm,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,15000000.0,-0.95,1000.0,0.0,1.0,900000.0,1001723,finite,QUEUED_NOT_LAUNCHED,"conditional on PX4 Stage-1 effect gates; launch decided in PX4/PX5, not PX2"
D1_confirm,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,15000000.0,-0.95,1000.0,0.0,1.0,0.0,1001723,zero,QUEUED_NOT_LAUNCHED,"conditional on PX4 Stage-1 effect gates; launch decided in PX4/PX5, not PX2"
D1_confirm,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,18000000.0,-0.95,1000.0,0.0,1.0,900000.0,1001723,finite,QUEUED_NOT_LAUNCHED,"conditional on PX4 Stage-1 effect gates; launch decided in PX4/PX5, not PX2"
D1_confirm,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,18000000.0,-0.95,1000.0,0.0,1.0,0.0,1001723,zero,QUEUED_NOT_LAUNCHED,"conditional on PX4 Stage-1 effect gates; launch decided in PX4/PX5, not PX2"
D1_confirm,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,21000000.0,-0.95,1000.0,0.0,1.0,900000.0,1001723,finite,QUEUED_NOT_LAUNCHED,"conditional on PX4 Stage-1 effect gates; launch decided in PX4/PX5, not PX2"
D1_confirm,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,21000000.0,-0.95,1000.0,0.0,1.0,0.0,1001723,zero,QUEUED_NOT_LAUNCHED,"conditional on PX4 Stage-1 effect gates; launch decided in PX4/PX5, not PX2"
D2_confirm,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,15000000.0,-0.5,1000.0,0.0,1.0,900000.0,1001723,finite,QUEUED_NOT_LAUNCHED,"conditional on PX4 Stage-1 effect gates; launch decided in PX4/PX5, not PX2"
D2_confirm,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,15000000.0,-0.5,1000.0,0.0,1.0,0.0,1001723,zero,QUEUED_NOT_LAUNCHED,"conditional on PX4 Stage-1 effect gates; launch decided in PX4/PX5, not PX2"
D2_confirm,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,18000000.0,-0.5,1000.0,0.0,1.0,900000.0,1001723,finite,QUEUED_NOT_LAUNCHED,"conditional on PX4 Stage-1 effect gates; launch decided in PX4/PX5, not PX2"
D2_confirm,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,18000000.0,-0.5,1000.0,0.0,1.0,0.0,1001723,zero,QUEUED_NOT_LAUNCHED,"conditional on PX4 Stage-1 effect gates; launch decided in PX4/PX5, not PX2"
D2_confirm,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,21000000.0,-0.5,1000.0,0.0,1.0,900000.0,1001723,finite,QUEUED_NOT_LAUNCHED,"conditional on PX4 Stage-1 effect gates; launch decided in PX4/PX5, not PX2"
D2_confirm,COMPETING_REVERSIBLE,947d80130bf1397c4b3455ce514ef29687705ba6d3bf433ef3e5ec6fa7f1aaaf,21000000.0,-0.5,1000.0,0.0,1.0,0.0,1001723,zero,QUEUED_NOT_LAUNCHED,"conditional on PX4 Stage-1 effect gates; launch decided in PX4/PX5, not PX2"
