case_id,material_class,temperature_K,theta_deg,rate_tag,seed,row_start,row_stop_exclusive,accepted_row_count,numerical_event_count,physical_avalanche_count,onset_marker_count,initial_projected_crack_length_m,initial_projected_crack_length_explicit,duplicate_extension_row_count,raw_steps_relative_path,raw_steps_sha256,observer_archive_present,observer_record_count,observer_manifest_schema,full_local_tensor_archived
canonical_theta0_rate__weakt__T1050K__theta0__rate0p01x__seed2009675,weak-T,1050.0,0.0,rate0p01x,2009675,11625,11908,283,201,1,1,0.0005,True,82,canonical_theta0_rate__weakt__T1050K__theta0__rate0p01x__seed2009675/steps_1050K.csv,6d593867673e1d6f3954c065e98916a9ed57471015ca807036a9ee2d8e839a6c,True,283,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1100K__theta0__rate0p01x__seed2010684,weak-T,1100.0,0.0,rate0p01x,2010684,11908,12205,297,209,1,1,0.0005,True,89,canonical_theta0_rate__weakt__T1100K__theta0__rate0p01x__seed2010684/steps_1100K.csv,680c5e11b20c36112990b4bdf26c40269f68186e25be27e5848e89aa3af9591b,True,297,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1150K__theta0__rate0p01x__seed2011693,weak-T,1150.0,0.0,rate0p01x,2011693,12205,12520,315,238,1,1,0.0005,True,77,canonical_theta0_rate__weakt__T1150K__theta0__rate0p01x__seed2011693/steps_1150K.csv,1acc815c25c38aab40f1b58e551eefc7dacd8f262a33eb1f258b9fc9cb245c9c,True,315,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1200K__theta0__rate0p01x__seed2012702,weak-T,1200.0,0.0,rate0p01x,2012702,12520,12804,284,205,1,1,0.0005,True,79,canonical_theta0_rate__weakt__T1200K__theta0__rate0p01x__seed2012702/steps_1200K.csv,cdee4fb0dca431750aa207b96aefa5750578ac987e5004f2cb0a5fa796890ca9,True,284,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1250K__theta0__rate0p01x__seed2013711,weak-T,1250.0,0.0,rate0p01x,2013711,12804,13075,271,199,1,1,0.0005,True,72,canonical_theta0_rate__weakt__T1250K__theta0__rate0p01x__seed2013711/steps_1250K.csv,709b31aead28a4b929356f828408b5384896774e2c327918155f50b1f6b745cb,True,271,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1300K__theta0__rate0p01x__seed2014720,weak-T,1300.0,0.0,rate0p01x,2014720,13075,13389,314,193,1,1,0.0005,True,126,canonical_theta0_rate__weakt__T1300K__theta0__rate0p01x__seed2014720/steps_1300K.csv,54018136938a5ee2a3a41194f441af4707beab65d71bd4f309b1c3e3e6771aae,True,314,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__ceramiclike__T0300K__theta0__rate0p01x__seed3003621,ceramic-like,300.0,0.0,rate0p01x,3003621,13389,13759,370,196,1,1,0.0005,True,190,canonical_theta0_rate__ceramiclike__T0300K__theta0__rate0p01x__seed3003621/steps_0300K.csv,0ec4ec9c53842c2aabe2c5c2c1f4e1fb2715a036c92d4fae13a9bf771e7cf0c7,True,370,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__ceramiclike__T0600K__theta0__rate0p01x__seed3004630,ceramic-like,600.0,0.0,rate0p01x,3004630,13759,14150,391,208,2,2,0.0005,True,194,canonical_theta0_rate__ceramiclike__T0600K__theta0__rate0p01x__seed3004630/steps_0600K.csv,17cd594edc11c38426023afc7781f11b38a49c38d0b022b4b97c9ddd7987fc36,True,391,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__ceramiclike__T0800K__theta0__rate0p01x__seed3005639,ceramic-like,800.0,0.0,rate0p01x,3005639,14150,14421,271,206,1,1,0.0005,True,66,canonical_theta0_rate__ceramiclike__T0800K__theta0__rate0p01x__seed3005639/steps_0800K.csv,90020336631ab1a74f1494ffd04f9ce8d9db89e4f406fd5bff9abca8465726f2,True,271,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__ceramiclike__T0900K__theta0__rate0p01x__seed3006648,ceramic-like,900.0,0.0,rate0p01x,3006648,14421,14733,312,210,1,1,0.0005,True,106,canonical_theta0_rate__ceramiclike__T0900K__theta0__rate0p01x__seed3006648/steps_0900K.csv,d8515a8b974fe705e4faa95b8f0f7ad7c05ad20f172220258de1a2a76301ad1c,True,312,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__ceramiclike__T0950K__theta0__rate0p01x__seed3007657,ceramic-like,950.0,0.0,rate0p01x,3007657,14733,15072,339,209,1,1,0.0005,True,135,canonical_theta0_rate__ceramiclike__T0950K__theta0__rate0p01x__seed3007657/steps_0950K.csv,b099932880a29dc4624d7f6ecee2cf7e283c335757c56aa179c495b6ef6b518b,True,339,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__ceramiclike__T1000K__theta0__rate0p01x__seed3008666,ceramic-like,1000.0,0.0,rate0p01x,3008666,15072,15355,283,195,1,1,0.0005,True,91,canonical_theta0_rate__ceramiclike__T1000K__theta0__rate0p01x__seed3008666/steps_1000K.csv,f7d15296528373863196aa9fc1c0b7a4f959cc4ebdca1c43b73a18dfcf1bb059,True,283,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__ceramiclike__T1050K__theta0__rate0p01x__seed3009675,ceramic-like,1050.0,0.0,rate0p01x,3009675,15355,15721,366,219,2,2,0.0005,True,154,canonical_theta0_rate__ceramiclike__T1050K__theta0__rate0p01x__seed3009675/steps_1050K.csv,0cb668ac44f91081b19b13fb8007ed29b46658f064a6c5ed63f1020ae4de5c11,True,366,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__ceramiclike__T1100K__theta0__rate0p01x__seed3010684,ceramic-like,1100.0,0.0,rate0p01x,3010684,15721,16108,387,218,2,2,0.0005,True,177,canonical_theta0_rate__ceramiclike__T1100K__theta0__rate0p01x__seed3010684/steps_1100K.csv,38a07768441268f79506daddfce9d8eb87a0dab8e8d70149f141f040e61a3817,True,387,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__ceramiclike__T1150K__theta0__rate0p01x__seed3011693,ceramic-like,1150.0,0.0,rate0p01x,3011693,16108,16501,393,204,1,1,0.0005,True,203,canonical_theta0_rate__ceramiclike__T1150K__theta0__rate0p01x__seed3011693/steps_1150K.csv,5085f221b01e550edc3c38896918e60b2b53d8e006d2f65008d9bf3b232022da,True,393,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__ceramiclike__T1200K__theta0__rate0p01x__seed3012702,ceramic-like,1200.0,0.0,rate0p01x,3012702,16501,16853,352,209,1,1,0.0005,True,150,canonical_theta0_rate__ceramiclike__T1200K__theta0__rate0p01x__seed3012702/steps_1200K.csv,782fc82b433bacf497800c95470a382a25f9839d924e964ec55b75771d849618,True,352,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__ceramiclike__T1250K__theta0__rate0p01x__seed3013711,ceramic-like,1250.0,0.0,rate0p01x,3013711,16853,17256,403,203,1,1,0.0005,True,216,canonical_theta0_rate__ceramiclike__T1250K__theta0__rate0p01x__seed3013711/steps_1250K.csv,6c38982a84263b00426b7b289c14f9da56c054f914bf11c6041e481d09f4cee1,True,403,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__ceramiclike__T1300K__theta0__rate0p01x__seed3014720,ceramic-like,1300.0,0.0,rate0p01x,3014720,17256,17621,365,212,2,2,0.0005,True,163,canonical_theta0_rate__ceramiclike__T1300K__theta0__rate0p01x__seed3014720/steps_1300K.csv,fbc900a3725fcdd5d1fb6b1737553fdb501a4e49b231353e756a37c515b9d579,True,365,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__peak__T0300K__theta0__rate1x__seed3621,Peak,300.0,0.0,rate1x,3621,17621,19176,1555,207,1,1,0.0005,True,1536,canonical_theta0_shared__peak__T0300K__theta0__rate1x__seed3621/steps_0300K.csv,7b088321e91e2c6308bb9c6cb3a31e5eb010c48441b09dad29b25b597f8914af,True,1555,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__peak__T0600K__theta0__rate1x__seed4630,Peak,600.0,0.0,rate1x,4630,19176,20633,1457,194,1,1,0.0005,True,1442,canonical_theta0_shared__peak__T0600K__theta0__rate1x__seed4630/steps_0600K.csv,2a88f6a5f05a28c956fcdcc50515e3778d8154fd1a3d5b42aa3449e00156bedb,True,1457,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__peak__T0800K__theta0__rate1x__seed5639,Peak,800.0,0.0,rate1x,5639,20633,22192,1559,196,1,1,0.0005,True,1548,canonical_theta0_shared__peak__T0800K__theta0__rate1x__seed5639/steps_0800K.csv,4e2a982a180e5cce6411ba56f12cc98efc1580ea427ae13f52dd9272c58dead8,True,1559,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__peak__T0900K__theta0__rate1x__seed6648,Peak,900.0,0.0,rate1x,6648,22192,23701,1509,180,1,1,0.0005,True,1498,canonical_theta0_shared__peak__T0900K__theta0__rate1x__seed6648/steps_0900K.csv,bc747df31c8f781e420c4efc05c4e2cb673c3a8b1dfb220c525806cb2754d500,True,1509,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__peak__T0950K__theta0__rate1x__seed7657,Peak,950.0,0.0,rate1x,7657,23701,25320,1619,214,1,1,0.0005,True,1593,canonical_theta0_shared__peak__T0950K__theta0__rate1x__seed7657/steps_0950K.csv,7436a99e7ba21d2be15cb1173968145f1eb689b75f3379ae0ae436e4a0ad2574,True,1619,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__peak__T1000K__theta0__rate1x__seed8666,Peak,1000.0,0.0,rate1x,8666,25320,26959,1639,208,1,1,0.0005,True,1626,canonical_theta0_shared__peak__T1000K__theta0__rate1x__seed8666/steps_1000K.csv,5a1ffce0dba3b301500bb3d8d0ffbccd9ea4c77690f4579360fee981d9823c91,True,1639,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__peak__T1050K__theta0__rate1x__seed9675,Peak,1050.0,0.0,rate1x,9675,26959,28589,1630,225,1,1,0.0005,True,1605,canonical_theta0_shared__peak__T1050K__theta0__rate1x__seed9675/steps_1050K.csv,78f9f04b57a0d46ca91d86c6bf66d9c291abbf5ca584f8180a39d538dc47c98a,True,1630,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__peak__T1100K__theta0__rate1x__seed10684,Peak,1100.0,0.0,rate1x,10684,28589,30144,1555,196,1,1,0.0005,True,1541,canonical_theta0_shared__peak__T1100K__theta0__rate1x__seed10684/steps_1100K.csv,5ba9b714a191e183af5168afe402ddde4ed1aa7aa7d02a9d2c01d0c688691272,True,1555,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__peak__T1150K__theta0__rate1x__seed11693,Peak,1150.0,0.0,rate1x,11693,30144,31739,1595,211,1,1,0.0005,True,1572,canonical_theta0_shared__peak__T1150K__theta0__rate1x__seed11693/steps_1150K.csv,cb08e061e2ab481d9378c25f9cad53aab71c27c5c947e27bd75c66996b2a9f66,True,1595,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__peak__T1200K__theta0__rate1x__seed12702,Peak,1200.0,0.0,rate1x,12702,31739,33238,1499,183,1,1,0.0005,True,1485,canonical_theta0_shared__peak__T1200K__theta0__rate1x__seed12702/steps_1200K.csv,f7a51b7d99e56253ef84183a1890636d4d6ff274c116cf0d09056efc1794ee8a,True,1499,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__peak__T1250K__theta0__rate1x__seed13711,Peak,1250.0,0.0,rate1x,13711,33238,34743,1505,209,1,1,0.0005,True,1483,canonical_theta0_shared__peak__T1250K__theta0__rate1x__seed13711/steps_1250K.csv,029ed66a0364f35d3e3ef6f615fa8be4dda8ecf7ba80a9b221da1821c1854815,True,1505,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__peak__T1300K__theta0__rate1x__seed14720,Peak,1300.0,0.0,rate1x,14720,34743,36236,1493,174,1,1,0.0005,True,1479,canonical_theta0_shared__peak__T1300K__theta0__rate1x__seed14720/steps_1300K.csv,1dd0cc363ca80a619cb167dbc8f2a5a4b3ef233d7eefcae93da1937fc20fc4cd,True,1493,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__dbtt__T0300K__theta0__rate1x__seed1003621,DBTT,300.0,0.0,rate1x,1003621,36236,37875,1639,204,2,2,0.0005,True,1630,canonical_theta0_shared__dbtt__T0300K__theta0__rate1x__seed1003621/steps_0300K.csv,173a2d4e2d1c599c954ce4cd2ad5f0bbe043e4a46023d148893167a6a61b2c66,True,1639,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__dbtt__T0600K__theta0__rate1x__seed1004630,DBTT,600.0,0.0,rate1x,1004630,37875,39370,1495,190,2,2,0.0005,True,1474,canonical_theta0_shared__dbtt__T0600K__theta0__rate1x__seed1004630/steps_0600K.csv,89a08f402484b43b09f20190fcfe9399a3bcf53e7030bf0484f27704863202d0,True,1495,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__dbtt__T0800K__theta0__rate1x__seed1005639,DBTT,800.0,0.0,rate1x,1005639,39370,40989,1619,230,1,1,0.0005,True,1598,canonical_theta0_shared__dbtt__T0800K__theta0__rate1x__seed1005639/steps_0800K.csv,6430d82a50a08ced3b8bdfb212e80ce33cee27f3e3c5ae7dd9a4ba33379950d1,True,1619,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__dbtt__T0900K__theta0__rate1x__seed1006648,DBTT,900.0,0.0,rate1x,1006648,40989,42508,1519,197,1,1,0.0005,True,1505,canonical_theta0_shared__dbtt__T0900K__theta0__rate1x__seed1006648/steps_0900K.csv,1af1d6bea15911159d190f26dc117430fc36623e460ba8d0fe03e386576ae46c,True,1519,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__dbtt__T0950K__theta0__rate1x__seed1007657,DBTT,950.0,0.0,rate1x,1007657,42508,44111,1603,204,2,2,0.0005,True,1581,canonical_theta0_shared__dbtt__T0950K__theta0__rate1x__seed1007657/steps_0950K.csv,6e44560f4fe7a379f01cf630b92ea037abda069e1adddcfd2b823ab41ddea92f,True,1603,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__dbtt__T1000K__theta0__rate1x__seed1008666,DBTT,1000.0,0.0,rate1x,1008666,44111,45664,1553,208,2,2,0.0005,True,1528,canonical_theta0_shared__dbtt__T1000K__theta0__rate1x__seed1008666/steps_1000K.csv,f0c46388d806c68669e1292adcfc9eadfe82ed3d1fe7a2f28ce0cbf70f11117a,True,1553,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_shared__dbtt__T1050K__theta0__rate1x__seed1009675,DBTT,1050.0,0.0,rate1x,1009675,45664,47251,1587,212,1,1,0.0005,True,1564,canonical_theta0_shared__dbtt__T1050K__theta0__rate1x__seed1009675/steps_1050K.csv,7db33349328d28d48cc31cd6b90c4951f46b97f7584fb6756429ebe5c3e2ee75,True,1587,canonical_pf_state_observer_consolidation_v2,False
