case_id,material_class,temperature_K,theta_deg,seed,U0_theta_m,K0_theta_MPa_sqrt_m,C0_theta_MPa_sqrt_m_per_m,theta0_reference_U_m,theta0_reference_K_MPa_sqrt_m,theta0_reference_C_MPa_sqrt_m_per_m,delta_K_vs_theta0_MPa_sqrt_m,opening_local_threshold_contribution_MPa_sqrt_m,structural_KJ_per_opening_contribution_MPa_sqrt_m,identity_residual_MPa_sqrt_m,opening_tensor_available,complete_channel_tensors_available,resolved_signed_shears_available_in_full_trajectory,onset_tip_radius_um,onset_front_width_um,onset_mobile_count,onset_retained_count,onset_multiplicity,onset_backstress_Pa,onset_signed_shielding_MPa_sqrt_m,onset_maximum_emission_rate_system_index,onset_maximum_emission_rate_system_name,onset_tensor_probe_reliable
canonical_single_crack_theta__dbtt__T0800K__theta30__rate1x__seed1005639,DBTT,800.0,30.0,1005639,1.3417555381752844e-05,22.70562072909195,1692232.3093199509,1.3375966982338957e-05,22.717486597919788,1698380.881764658,-0.011865868827836579,0.07050508782441049,-0.08237095665224987,2.8033131371785203e-15,False,False,True,1.0000000000021338,9.999999992906456,0.0,6.512110167825238e-09,13098.721484711916,3602.47238678011,-5.350186506745926e-13,1,(1-10),True
canonical_strain_rate__dbtt__T0800K__theta45__rate1x__seed1005639,DBTT,800.0,45.0,1005639,1.3375966884227566e-05,22.71748643128928,1698380.8817646583,1.3375966982338957e-05,22.717486597919788,1698380.881764658,-1.6663050672605095e-07,-1.6663051059729232e-07,3.1143349905692185e-15,7.569063809583277e-16,False,False,True,1.0,9.999999999999996,0.0,3.71146700576837e-15,13098.721493975589,2.7373121787723593,-1.016910611950508e-19,0,(110),True
canonical_theta0_shared__dbtt__T0900K__theta0__rate1x__seed1006648,DBTT,900.0,0.0,1006648,1.3180870230525078e-05,22.386138004544712,1698380.881764658,1.3180870230525078e-05,22.386138004544712,1698380.881764658,0.0,0.0,0.0,0.0,False,False,True,1.0000132139951496,9.95636079038162,1.7836860460863222e-14,0.0427949460597626,13041.732039781493,11263845.13978983,-5.938203416072252e-06,0,(110),True
canonical_single_crack_theta__dbtt__T0900K__theta15__rate1x__seed1006648,DBTT,900.0,15.0,1006648,1.3207479484398055e-05,22.386027216329037,1694950.7468683608,1.3180870230525078e-05,22.386138004544712,1698380.881764658,-0.00011078821567522823,0.04514701139075073,-0.04525779960642659,6.314393452555578e-16,False,False,True,1.0000014997630329,9.995018147738122,0.0,0.0048293100732227,13092.215539636789,3497794.9399033333,-5.958038078912748e-07,1,(1-10),True
canonical_single_crack_theta__dbtt__T0900K__theta30__rate1x__seed1006648,DBTT,900.0,30.0,1006648,1.32269409303827e-05,22.383056795860124,1692232.309319953,1.3180870230525078e-05,22.386138004544712,1698380.881764658,-0.003081208684587722,0.07810396132987744,-0.08118517001446615,9.853229343548264e-16,False,False,True,1.000000001872374,9.999993775778332,0.0,6.002798508464697e-06,13098.713365566677,102200.7569674711,-5.205204274873887e-10,1,(1-10),True
canonical_strain_rate__dbtt__T0900K__theta45__rate1x__seed1006648,DBTT,900.0,45.0,1006648,1.318038378260441e-05,22.38531183069627,1698380.8817646576,1.3180870230525078e-05,22.386138004544712,1698380.881764658,-0.0008261738484414138,-0.0008261738484366319,-6.137707739400092e-15,1.3557256374355264e-15,False,False,True,1.0,9.999999999999956,0.0,3.7706979250944264e-14,13098.72149397554,8.085077032702445,-1.2182404774819214e-18,0,(110),True
canonical_theta0_shared__dbtt__T0950K__theta0__rate1x__seed1007657,DBTT,950.0,0.0,1007657,1.2803378851727412e-05,21.745013863763777,1698380.881764658,1.2803378851727412e-05,21.745013863763777,1698380.881764658,0.0,0.0,0.0,0.0,False,False,True,1.0327087060767872,2.0967382975775455,0.0,102.4884418039511,2836.292224044609,560414644.7111351,-0.0139008456429719,0,(110),True
canonical_single_crack_theta__dbtt__T0950K__theta15__rate1x__seed1007657,DBTT,950.0,15.0,1007657,1.2580703693264473e-05,21.32367312102817,1694950.7468683613,1.2803378851727412e-05,21.745013863763777,1698380.881764658,-0.42134074273560884,-0.37780532906158093,-0.04353541367402726,-6.522560269672795e-16,False,False,True,1.0083574192296996,3.9054100338013993,0.0,26.63251419294676,5158.340947399806,265480978.501859,-0.0032399552075309,1,(1-10),True
canonical_single_crack_theta__dbtt__T0950K__theta30__rate1x__seed1007657,DBTT,950.0,30.0,1007657,1.2517550442176708e-05,21.182603291793683,1692232.3093199525,1.2803378851727412e-05,21.745013863763777,1698380.881764658,-0.5624105719700943,-0.4845667879046762,-0.07784378406541789,-1.3877787807814457e-16,False,False,True,1.0000239922927012,9.921185425569702,0.0,0.0775833903498252,12995.79626943012,11311503.867045604,-6.7116416948407e-06,1,(1-10),True
canonical_strain_rate__dbtt__T0950K__theta45__rate1x__seed1007657,DBTT,950.0,45.0,1007657,1.246642776206286e-05,21.172742574987733,1698380.8817646583,1.2803378851727412e-05,21.745013863763777,1698380.881764658,-0.5722712887760437,-0.5722712887760454,2.9417926694488003e-15,-1.2764581325110655e-15,False,False,True,1.0000000000000029,9.99999999999012,0.0,9.3759925451846e-12,13098.721493962694,121.01758596271873,-3.356326288372687e-16,0,(110),True
canonical_theta0_shared__dbtt__T1000K__theta0__rate1x__seed1008666,DBTT,1000.0,0.0,1008666,3.308336835384481e-05,56.18816031654793,1698380.881764658,3.308336835384481e-05,56.18816031654793,1698380.881764658,0.0,0.0,0.0,0.0,False,False,True,7.569372476331099,0.1512958204746748,1.0060375643665324e-08,24800.36347999708,1500.0844729098358,7942331936.540933,-3.6577771094603664,0,(110),True
canonical_single_crack_theta__dbtt__T1000K__theta15__rate1x__seed1008666,DBTT,1000.0,15.0,1008666,2.902884445683256e-05,49.20246159283379,1694950.7468683599,3.308336835384481e-05,56.18816031654793,1698380.881764658,-6.985698723714137,-6.879172089390035,-0.10652663432410141,4.163336342344337e-17,False,False,True,5.603818803846011,0.180720967337731,7.055859896357241e-09,17391.859104352716,1326.5436192434904,6631626027.568011,-2.3322654430356664,1,(1-10),True
canonical_single_crack_theta__dbtt__T1000K__theta30__rate1x__seed1008666,DBTT,1000.0,30.0,1008666,1.915438804181103e-05,32.41367430960434,1692232.309319951,3.308336835384481e-05,56.18816031654793,1698380.881764658,-23.77448600694359,-23.613892192169775,-0.16059381477382115,6.078471059822732e-15,False,False,True,2.257091604175203,0.3456968824018003,1.9229133840789088e-09,4740.027179349701,1022.0533274952404,3376567334.825304,-0.4594650282033778,1,(1-10),True
canonical_strain_rate__dbtt__T1000K__theta45__rate1x__seed1008666,DBTT,1000.0,45.0,1008666,1.2941651912880912e-05,21.979854187289952,1698380.8817646578,3.308336835384481e-05,56.18816031654793,1698380.881764658,-34.20830612925798,-34.20830612925797,-5.358017546442072e-15,-1.7474098111589295e-15,False,False,True,1.0033396448720746,5.572471862894576,0.0,12.506738051367655,7323.602518174599,126634416.64566706,-0.0006477406965921,0,(110),True
canonical_theta0_shared__dbtt__T1050K__theta0__rate1x__seed1009675,DBTT,1050.0,0.0,1009675,3.255667586727918e-05,55.29363586679579,1698380.8817646585,3.255667586727918e-05,55.29363586679579,1698380.8817646585,0.0,0.0,0.0,0.0,False,False,True,7.652700793276444,0.1503455233064267,0.0,25090.359160481497,1507.0724917473342,7992545283.990768,-3.6976778963093087,0,(110),True
canonical_single_crack_theta__dbtt__T1050K__theta15__rate1x__seed1009675,DBTT,1050.0,15.0,1009675,2.867510244876818e-05,48.60288631206638,1694950.7468683606,3.255667586727918e-05,55.29363586679579,1698380.8817646585,-6.690749554729408,-6.585732924947283,-0.10501662978212677,2.5396351688300456e-15,False,False,True,5.623972448187804,0.1803268282626756,0.0,17969.773924832058,1328.4109190155118,6647103962.435645,-2.4114753047926967,1,(1-10),True
canonical_single_crack_theta__dbtt__T1050K__theta30__rate1x__seed1009675,DBTT,1050.0,30.0,1009675,1.917157730854026e-05,32.44276254213709,1692232.3093199527,3.255667586727918e-05,55.29363586679579,1698380.8817646585,-22.8508733246587,-22.6918458686139,-0.15902745604480326,3.0808688933348094e-15,False,False,True,2.351957220888434,0.3333616683995155,0.0,5143.805719936258,1027.0083803696175,3511708825.6222267,-0.4975501477736128,1,(1-10),True
canonical_strain_rate__dbtt__T1050K__theta45__rate1x__seed1009675,DBTT,1050.0,45.0,1009675,1.2741484957674787e-05,21.63989445740684,1698380.8817646587,3.255667586727918e-05,55.29363586679579,1698380.8817646585,-33.65374140938895,-33.653741409388964,5.273399970605267e-15,8.937454744596737e-15,False,False,True,1.0079298779407522,3.99292470633412,0.0,29.89192527606274,5271.695880550695,207364697.36825883,-0.0015610397742197,0,(110),True
canonical_theta0_shared__dbtt__T1100K__theta0__rate1x__seed1010684,DBTT,1100.0,0.0,1010684,3.273350886589268e-05,55.59396565090605,1698380.8817646576,3.273350886589268e-05,55.59396565090605,1698380.8817646576,0.0,0.0,0.0,0.0,False,False,True,7.663457292133099,0.1502241539249336,0.0,25229.328119902,1507.972481818493,7999004095.582294,-3.720417570445651,0,(110),True
canonical_single_crack_theta__dbtt__T1100K__theta15__rate1x__seed1010684,DBTT,1100.0,15.0,1010684,2.8813760505750687e-05,48.83790488930821,1694950.746868361,3.273350886589268e-05,55.59396565090605,1698380.8817646576,-6.756060761597837,-6.650503043376118,-0.10555771822171864,-2.7755575615628914e-17,False,False,True,5.759836124984075,0.1777354172187308,0.0,18021.221395214023,1340.951324491156,6744051108.569599,-2.419556321613063,0,(110),True
canonical_single_crack_theta__dbtt__T1100K__theta30__rate1x__seed1010684,DBTT,1100.0,30.0,1010684,1.922031928271182e-05,32.52524528565024,1692232.3093199527,3.273350886589268e-05,55.59396565090605,1698380.8817646576,-23.068720365255807,-22.908999427180085,-0.1597209380757198,-2.275957200481571e-15,False,False,True,2.341742027493284,0.334626851312887,0.0,5217.050291003193,1026.428602253692,3498416687.4055595,-0.5071298692770314,1,(1-10),True
canonical_strain_rate__dbtt__T1100K__theta45__rate1x__seed1010684,DBTT,1100.0,45.0,1010684,1.274728859762256e-05,21.649751248538777,1698380.8817646583,3.273350886589268e-05,55.59396565090605,1698380.8817646576,-33.94421440236727,-33.94421440236728,1.5883985020982305e-14,-8.778557663381303e-15,False,False,True,1.0079370835595471,3.991400692932939,0.0,30.057070059687323,5269.7214603150305,207458888.58145,-0.0015839438923108,0,(110),True
canonical_theta0_shared__dbtt__T1150K__theta0__rate1x__seed1011693,DBTT,1150.0,0.0,1011693,3.2179051447870945e-05,54.65228577238534,1698380.8817646578,3.2179051447870945e-05,54.65228577238534,1698380.8817646578,0.0,0.0,0.0,0.0,False,False,True,7.587122399680737,0.1510918856821656,0.0,24896.890628526897,1501.575383778211,7953054830.193607,-3.6736003357926896,0,(110),True
canonical_single_crack_theta__dbtt__T1150K__theta15__rate1x__seed1011693,DBTT,1150.0,15.0,1011693,2.832640188904392e-05,48.01185603792833,1694950.7468683606,3.2179051447870945e-05,54.65228577238534,1698380.8817646578,-6.640429734457008,-6.5366588010033935,-0.103770933453618,3.2335245592207684e-15,False,False,True,5.633871930622932,0.1801341689839556,0.0,17479.611761705426,1329.3274687373066,6654215564.846994,-2.341820016177841,0,(110),True
canonical_single_crack_theta__dbtt__T1150K__theta30__rate1x__seed1011693,DBTT,1150.0,30.0,1011693,1.8939742163592344e-05,32.050443619420356,1692232.309319953,3.2179051447870945e-05,54.65228577238534,1698380.8817646578,-22.601842152964984,-22.44468835006199,-0.15715380290299816,5.079270337660091e-15,False,False,True,2.3438776468775995,0.3343611574255021,0.0,5078.873520841229,1026.548955437446,3501199754.4662933,-0.4927165473673704,0,(110),True
canonical_strain_rate__dbtt__T1150K__theta45__rate1x__seed1011693,DBTT,1150.0,45.0,1011693,1.2623551202100948e-05,21.43959802162551,1698380.8817646576,3.2179051447870945e-05,54.65228577238534,1698380.8817646578,-33.21268775075983,-33.21268775075983,-5.2157094061807605e-15,5.2157094061807605e-15,False,False,True,1.0077687121219236,4.027474674421618,0.0,29.47279725793768,5316.460569836322,205246653.61324424,-0.0015526301791008,0,(110),True
canonical_theta0_shared__dbtt__T1200K__theta0__rate1x__seed1012702,DBTT,1200.0,0.0,1012702,3.183129938684515e-05,54.06167032034489,1698380.8817646583,3.183129938684515e-05,54.06167032034489,1698380.8817646583,0.0,0.0,0.0,0.0,False,False,True,7.38071663557931,0.1535156569344146,0.0,24854.509521124164,1484.157925638291,7827459676.404524,-3.66935549761112,0,(110),True
canonical_single_crack_theta__dbtt__T1200K__theta15__rate1x__seed1012702,DBTT,1200.0,15.0,1012702,2.8045904859222713e-05,47.53642738773855,1694950.7468683615,3.183129938684515e-05,54.06167032034489,1698380.8817646583,-6.525242932606339,-6.422549488717781,-0.1026934438885634,5.1209037010835345e-15,False,False,True,5.588922924736144,0.1810139485042026,0.0,17312.39298275672,1325.1622955013588,6621863652.263514,-2.318697885548913,0,(110),True
canonical_single_crack_theta__dbtt__T1200K__theta30__rate1x__seed1012702,DBTT,1200.0,30.0,1012702,1.875427727165986e-05,31.736593937047644,1692232.3093199516,3.183129938684515e-05,54.06167032034489,1698380.8817646583,-22.325076383297244,-22.169561841926207,-0.1555145413710409,3.858025010572419e-15,False,False,True,2.3188334099363663,0.3375173517292976,0.0,4999.274438276387,1025.1668683983034,3468422496.937281,-0.4840702032187239,1,(1-10),True
canonical_strain_rate__dbtt__T1200K__theta45__rate1x__seed1012702,DBTT,1200.0,45.0,1012702,1.2526521268864192e-05,21.27480423805731,1698380.881764658,3.183129938684515e-05,54.06167032034489,1698380.8817646583,-32.786866082287574,-32.78686608228758,-5.16392996717586e-15,1.2269357324776862e-14,False,False,True,1.0074957357503247,4.088097598874893,0.0,29.057555807081993,5395.023993133722,201608437.71992207,-0.0015318683270905,0,(110),True
canonical_theta0_shared__dbtt__T1250K__theta0__rate1x__seed1013711,DBTT,1250.0,0.0,1013711,3.175534846185952e-05,53.932676721396966,1698380.8817646585,3.175534846185952e-05,53.932676721396966,1698380.8817646585,0.0,0.0,0.0,0.0,False,False,True,7.4072097985426675,0.1531980169687704,0.0,24519.835088789005,1486.403425645719,7843692912.020645,-3.602034896481478,0,(110),True
canonical_single_crack_theta__dbtt__T1250K__theta15__rate1x__seed1013711,DBTT,1250.0,15.0,1013711,2.797703257560197e-05,47.41969225917703,1694950.7468683615,3.175534846185952e-05,53.932676721396966,1698380.8817646585,-6.512984462219933,-6.410539399902179,-0.10244506231775316,-8.049116928532385e-16,False,False,True,5.6383577023436375,0.1800470719747552,0.0,17552.50895618293,1329.742641449921,6657435558.023317,-2.348909141094549,0,(110),True
canonical_single_crack_theta__dbtt__T1250K__theta30__rate1x__seed1013711,DBTT,1250.0,30.0,1013711,1.866754790244998e-05,31.58982769630375,1692232.3093199518,3.175534846185952e-05,53.932676721396966,1698380.8817646585,-22.342849025093216,-22.18783460950927,-0.15501441558394727,1.8041124150158794e-15,False,False,True,2.310389545715671,0.3386018068377238,0.0,4962.383557351185,1024.7157000370537,3457301335.895085,-0.478452669026289,1,(1-10),True
canonical_strain_rate__dbtt__T1250K__theta45__rate1x__seed1013711,DBTT,1250.0,45.0,1013711,1.2466625457482802e-05,21.173078337109384,1698380.881764659,3.175534846185952e-05,53.932676721396966,1698380.8817646585,-32.759598384287585,-32.75959838428759,1.0296230651285109e-14,-3.1908032936841073e-15,False,False,True,1.007454961456003,4.097389868938425,0.0,28.76207194211803,5407.068076678079,201059348.2489965,-0.0015103724679212,0,(110),True
canonical_theta0_shared__dbtt__T1300K__theta0__rate1x__seed1014720,DBTT,1300.0,0.0,1014720,2.97220031606398e-05,50.479281935779376,1698380.881764658,2.97220031606398e-05,50.479281935779376,1698380.881764658,0.0,0.0,0.0,0.0,False,False,True,7.1161857326982,0.1567995668015818,0.0,23191.636351388217,1461.5747830188172,7663487309.153119,-3.4262277201211546,0,(110),True
canonical_single_crack_theta__dbtt__T1300K__theta15__rate1x__seed1014720,DBTT,1300.0,15.0,1014720,2.6236578637073655e-05,44.46970855617848,1694950.7468683613,2.97220031606398e-05,50.479281935779376,1698380.881764658,-6.009573379600894,-5.913600637515089,-0.09597274208580722,2.248201624865942e-15,False,False,True,5.237703600346233,0.1883632772811027,0.0,16088.641602996277,1292.3080941648989,6363413443.91544,-2.1540162500760833,1,(1-10),True
canonical_single_crack_theta__dbtt__T1300K__theta30__rate1x__seed1014720,DBTT,1300.0,30.0,1014720,1.7755264769760758e-05,30.04603270391943,1692232.3093199518,2.97220031606398e-05,50.479281935779376,1698380.881764658,-20.433249231859946,-20.287290521186552,-0.14595871067339766,3.497202527569243e-15,False,False,True,2.231641596640515,0.3492459589243536,0.0,4643.619020345841,1020.9036245940244,3351808501.8869734,-0.4486038306814365,1,(1-10),True
canonical_strain_rate__dbtt__T1300K__theta45__rate1x__seed1014720,DBTT,1300.0,45.0,1014720,1.2123103261693805e-05,20.58964680731953,1698380.8817646583,2.97220031606398e-05,50.479281935779376,1698380.881764658,-29.889635128459847,-29.889635128459858,4.871411531038304e-15,5.786729505363199e-15,False,False,True,1.0071169532525095,4.176941393595976,0.0,27.076303406451864,5510.197897104054,196448459.38448825,-0.0014137504490248,0,(110),True
canonical_theta0_shared__peak__T0300K__theta0__rate1x__seed3621,Peak,300.0,0.0,3621,1.392556259622511e-05,23.650909281245745,1698380.8817646583,1.392556259622511e-05,23.650909281245745,1698380.8817646583,0.0,0.0,0.0,0.0,False,False,True,1.0000000000000409,9.999999999851898,1.4298949619708758e-10,7.746018370605191e-34,352563.02110679215,654.0487642980249,-8.520006870059427e-38,0,(110),True
canonical_single_crack_theta__peak__T0300K__theta15__rate1x__seed3621,Peak,300.0,15.0,3621,1.395971825216036e-05,23.66103487757109,1694950.7468683608,1.392556259622511e-05,23.650909281245745,1698380.8817646583,0.010125596325345043,0.057950733790896804,-0.04782513746555131,-4.510281037539698e-16,False,False,True,1.000000000000011,9.999999999959226,3.898848741315139e-11,2.1611194821398064e-34,352563.0211105656,335.22218373510475,-1.981778511206187e-38,1,(1-10),True
canonical_single_crack_theta__peak__T0300K__theta30__rate1x__seed3621,Peak,300.0,30.0,3621,1.3978607722801194e-05,23.65505162783358,1692232.3093199518,1.392556259622511e-05,23.650909281245745,1698380.8817646583,0.004142346587833856,0.08992775294581272,-0.08578540635798046,1.5959455978986625e-15,False,False,True,1.0000000000000009,9.999999999997511,2.3191551826509586e-12,1.3572069482650338e-35,352563.0211119116,81.4130889601133,-6.0736704333825795e-40,1,(1-10),True
canonical_strain_rate__peak__T0300K__theta45__rate1x__seed3621,Peak,300.0,45.0,3621,1.3925562596224767e-05,23.65090928124516,1698380.8817646578,1.392556259622511e-05,23.650909281245745,1698380.8817646583,-5.861977570020827e-13,-5.811881637919562e-13,-6.4845954050426085e-15,1.4750021949161276e-15,False,False,True,1.0,9.999999999999694,2.763975723740665e-13,1.681635069924682e-36,352563.0211119884,29.63695543793913,1.0038686993582886e-43,0,(110),True
canonical_theta0_shared__peak__T0600K__theta0__rate1x__seed4630,Peak,600.0,0.0,4630,1.3273294747490768e-05,22.543110037165572,1698380.881764658,1.3273294747490768e-05,22.543110037165572,1698380.881764658,0.0,0.0,0.0,0.0,False,False,True,1.0029244375858393,5.6619874569886415,9.276475430718204,8.905466546822804e-07,200204.5187293602,174954033.09235308,-9.792214159996101e-11,0,(110),True
canonical_single_crack_theta__peak__T0600K__theta15__rate1x__seed4630,Peak,600.0,15.0,4630,1.327222603572038e-05,22.49576943184996,1694950.7468683608,1.3273294747490768e-05,22.543110037165572,1698380.881764658,-0.04734060531561113,-0.001813246726174789,-0.04552735858943811,1.7763568394002505e-15,False,False,True,1.001937921023925,6.449051311011653,6.129897879448394,5.911935977894575e-07,227810.32587610965,141836094.96308032,-5.351955237249463e-11,1,(1-10),True
canonical_single_crack_theta__peak__T0600K__theta30__rate1x__seed4630,Peak,600.0,30.0,4630,1.3263679075431436e-05,22.445226271896058,1692232.3093199516,1.3273294747490768e-05,22.543110037165572,1698380.881764658,-0.09788376526951481,-0.01630151226275755,-0.081582253006758,7.494005416219807e-16,False,False,True,1.0007712035830352,8.009256932133821,2.381901843953574,2.388081433077782e-07,282594.55207164254,89188380.47411124,-9.96737175577438e-12,1,(1-10),True
canonical_strain_rate__peak__T0600K__theta45__rate1x__seed4630,Peak,600.0,45.0,4630,1.3207284251018811e-05,22.430999071961818,1698380.8817646587,1.3273294747490768e-05,22.543110037165572,1698380.881764658,-0.11211096520375463,-0.11211096520376422,9.248235378825191e-15,3.4131599637459853e-16,False,False,True,1.000220935912586,9.284318786890832,0.6787166421168757,6.863586804898471e-08,327403.0671648496,42464184.69748517,1.2763193260166965e-13,0,(110),True
canonical_theta0_shared__peak__T0800K__theta0__rate1x__seed5639,Peak,800.0,0.0,5639,2.4251235638105015e-05,41.18783496692729,1698380.8817646578,2.4251235638105015e-05,41.18783496692729,1698380.8817646578,0.0,0.0,0.0,0.0,False,False,True,1.2495396094481512,0.7412364785750358,707.341128160786,9.702256356535608,32654.540025889102,1616857520.505004,-0.0010667981392939,0,(110),True
canonical_single_crack_theta__peak__T0800K__theta15__rate1x__seed5639,Peak,800.0,15.0,5639,2.147026003397727e-05,36.391033280047694,1694950.7468683608,2.4251235638105015e-05,41.18783496692729,1698380.8817646578,-4.796801686879597,-4.718386237971746,-0.07841544890785103,1.3877787807814457e-17,False,False,True,1.1746412416959326,0.8849580663107418,501.22578115339,0.4651612476474703,36649.2166221013,1351573602.2207675,-4.1905215921028025e-05,1,(1-10),True
canonical_single_crack_theta__peak__T0800K__theta30__rate1x__seed5639,Peak,800.0,30.0,5639,1.7169808709884792e-05,29.055305043710167,1692232.3093199518,2.4251235638105015e-05,41.18783496692729,1698380.8817646578,-12.132529923217124,-12.005189777262625,-0.12734014595449747,-1.0269562977782698e-15,False,False,True,1.078069342412018,1.3172609030448534,224.21459139968383,0.0229379275387589,50067.42511171846,898233812.2439679,-9.580519630128411e-07,1,(1-10),True
canonical_strain_rate__peak__T0800K__theta45__rate1x__seed5639,Peak,800.0,45.0,5639,1.2783771708137992e-05,21.71171346594549,1698380.8817646578,2.4251235638105015e-05,41.18783496692729,1698380.8817646578,-19.4761215009818,-19.4761215009818,0.0,0.0,False,False,True,1.0073030308588216,3.986247513934388,30.141744909919552,0.0211359352870471,141566.71712972125,207796620.0164204,4.467142271905162e-08,0,(110),True
canonical_theta0_shared__peak__T0900K__theta0__rate1x__seed6648,Peak,900.0,0.0,6648,3.3200000000000075e-05,56.38624527458679,1698380.8817646585,3.3200000000000075e-05,56.38624527458679,1698380.8817646585,0.0,0.0,0.0,0.0,False,False,True,1.000278536582839,9.095636980777815,0.2767025016176083,0.8446578216526536,320767.8459887286,54906864.40109973,-0.0001069297253158,0,(110),True
