backend,theta_deg,extension_um,physical_path_extension_um,tip_radius_um,reference_opening_m,drive_factor_system_0,drive_factor_system_1,tau_signed_system_0_Pa,tau_signed_system_1_Pa,opening_stress_Pa,sigma_nn_probe_Pa,sigma1_probe_Pa,tau_over_opening_system_0,tau_over_opening_system_1,reliable,field_snapshot_hash,topology_fingerprint,source_commit,actual_extension_um,reaction_N_per_m,compliance_m2_per_N,elastic_energy_J_per_m,native_J_J_per_m2,native_KJ_MPa_sqrt_m,KJ_native_over_U,F_over_U_N_per_m2,damage_wake_fingerprint,diagnostic_label,state_history,stochastic_clock_advanced,crack_path_rotation,crystal_orientation_rotated_relative_to_fixed_horizontal_path
PF,0.0,10.0,10.0,50.0,1e-05,0.8999285184199974,0.051649184918653,754376943.0793114,-43295610.07787452,1676526363.2355363,243460033.4327042,1676526363.2355363,0.4499642592099987,-0.0258245924593265,True,533e0010595ffb802dae3e8971162d720a9abacfb12668d4055710e5dea89419,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,9e884fb0b0845da621d2612bdf1042e481b8df49,10.0,2177971.5031570275,4.591428301749924e-12,10.88985751578525,859.9582092774376,19.559572958485173,1955957.2958485172,217797150315.70273,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,15.000000000000002,15.0,1.0,1e-05,0.227852709428513,1.086353163649418,155331736.20233062,-740588617.3651191,1363439887.038646,392158384.3254278,1363439887.038646,0.1139263547142565,-0.543176581824709,True,af6c654791ff4301edbeb3fce40fe2a7c2ebf3e5f4798fc4e162855f8e880d48,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49,15.000000000000002,2177219.658932006,4.593013827968701e-12,10.886098294660126,846.5336501553685,19.40630302159125,1940630.3021591243,217721965893.2006,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,15.000000000000002,15.0,2.0,1e-05,0.6412690151146119,0.6412991786606206,871162862.6550132,-871203839.7807896,2716996586.835911,2716968790.326297,2716996586.835911,0.3206345075573059,-0.3206495893303103,True,af6c654791ff4301edbeb3fce40fe2a7c2ebf3e5f4798fc4e162855f8e880d48,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49,15.000000000000002,2177219.658932006,4.593013827968701e-12,10.886098294660126,846.5336501553685,19.40630302159125,1940630.3021591243,217721965893.2006,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,15.000000000000002,15.0,4.0,1e-05,0.5300777447403049,0.5284545351407238,905537528.6404527,-902764582.173911,3416621571.554915,3416586501.9190283,3416621571.554915,0.2650388723701524,-0.2642272675703619,True,af6c654791ff4301edbeb3fce40fe2a7c2ebf3e5f4798fc4e162855f8e880d48,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49,15.000000000000002,2177219.658932006,4.593013827968701e-12,10.886098294660126,846.5336501553685,19.40630302159125,1940630.3021591243,217721965893.2006,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,15.000000000000002,15.0,8.0,1e-05,0.0242082795011848,2.140202876324515,12629633.329699587,-1116559215.941971,1043414368.1364433,334229467.6673015,1043414368.1364433,0.0121041397505924,-1.0701014381622576,True,af6c654791ff4301edbeb3fce40fe2a7c2ebf3e5f4798fc4e162855f8e880d48,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49,15.000000000000002,2177219.658932006,4.593013827968701e-12,10.886098294660126,846.5336501553685,19.40630302159125,1940630.3021591243,217721965893.2006,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,15.000000000000002,15.0,12.0,1e-05,1.5757504268033962,0.0498831787369392,1164166334.928656,-36853753.21939814,1477602436.434443,126342533.75694025,1477602436.434443,0.7878752134016981,-0.0249415893684696,True,af6c654791ff4301edbeb3fce40fe2a7c2ebf3e5f4798fc4e162855f8e880d48,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49,15.000000000000002,2177219.658932006,4.593013827968701e-12,10.886098294660126,846.5336501553685,19.40630302159125,1940630.3021591243,217721965893.2006,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,15.000000000000002,15.0,25.0,1e-05,1.417756745763192,0.0908838112763608,1117753482.386064,-71652416.29091002,1576791626.2452576,-9466465.784847932,1576791626.2452576,0.708878372881596,-0.0454419056381804,True,af6c654791ff4301edbeb3fce40fe2a7c2ebf3e5f4798fc4e162855f8e880d48,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49,15.000000000000002,2177219.658932006,4.593013827968701e-12,10.886098294660126,846.5336501553685,19.40630302159125,1940630.3021591243,217721965893.2006,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,15.000000000000002,15.0,50.0,1e-05,0.6582220398641769,0.6732704729421564,734839764.4684656,-751639850.6839374,2232802063.632201,2232799724.63247,2232802063.632201,0.3291110199320884,-0.3366352364710782,True,af6c654791ff4301edbeb3fce40fe2a7c2ebf3e5f4798fc4e162855f8e880d48,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49,15.000000000000002,2177219.658932006,4.593013827968701e-12,10.886098294660126,846.5336501553685,19.40630302159125,1940630.3021591243,217721965893.2006,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,20.0,20.0,1.0,1e-05,1.0666690676361996,0.2171423077249918,721869790.9891047,-146951361.99992698,1353502811.4929967,407267046.5452744,1353502811.4929967,0.5333345338180998,-0.1085711538624959,True,7d347f75d5bd1898bd7cb27460354f521b2d0467d6c8133c5b94168b52f1f34a,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9,9e884fb0b0845da621d2612bdf1042e481b8df49,20.0,2176565.2449365677,4.594394780153459e-12,10.882826224682944,833.5116253217087,19.256463290349636,1925646.3290349632,217656524493.65677,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,20.0,20.0,2.0,1e-05,0.2061501179549439,0.9893322405273974,166783311.2253423,-800407531.2399743,1618076311.3780456,500564559.1675832,1618076311.3780456,0.1030750589774719,-0.4946661202636987,True,7d347f75d5bd1898bd7cb27460354f521b2d0467d6c8133c5b94168b52f1f34a,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9,9e884fb0b0845da621d2612bdf1042e481b8df49,20.0,2176565.2449365677,4.594394780153459e-12,10.882826224682944,833.5116253217087,19.256463290349636,1925646.3290349632,217656524493.65677,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,20.0,20.0,4.0,1e-05,0.5718006793941544,0.5700067135117901,966305687.4280604,-963274002.616113,3379868972.7053137,3379633813.372523,3379868972.7053137,0.2859003396970772,-0.285003356755895,True,7d347f75d5bd1898bd7cb27460354f521b2d0467d6c8133c5b94168b52f1f34a,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9,9e884fb0b0845da621d2612bdf1042e481b8df49,20.0,2176565.2449365677,4.594394780153459e-12,10.882826224682944,833.5116253217087,19.256463290349636,1925646.3290349632,217656524493.65677,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,20.0,20.0,8.0,1e-05,0.8028669363386111,0.7795595964790096,1213233327.786877,-1178012993.9807804,3022252562.3478727,3022242145.109749,3022252562.3478727,0.4014334681693055,-0.3897797982395048,True,7d347f75d5bd1898bd7cb27460354f521b2d0467d6c8133c5b94168b52f1f34a,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9,9e884fb0b0845da621d2612bdf1042e481b8df49,20.0,2176565.2449365677,4.594394780153459e-12,10.882826224682944,833.5116253217087,19.256463290349636,1925646.3290349632,217656524493.65677,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
PF,0.0,20.0,20.0,12.0,1e-05,1.5151638105309462,0.0213233928564362,1176439493.3193898,-16556415.427507868,1552887529.5762773,294052119.1681658,1552887529.5762773,0.7575819052654731,-0.0106616964282181,True,7d347f75d5bd1898bd7cb27460354f521b2d0467d6c8133c5b94168b52f1f34a,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9,9e884fb0b0845da621d2612bdf1042e481b8df49,20.0,2176565.2449365677,4.594394780153459e-12,10.882826224682944,833.5116253217087,19.256463290349636,1925646.3290349632,217656524493.65677,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9,DETERMINISTIC FROZEN-STATE DIAGNOSTIC — NOT PRODUCTION PHYSICS,ZERO_HISTORY,False,False,True
