case_id,material_class,temperature_K,theta_deg,initial_onset_classification,reinitiation_classification,final_delta_K_reinit_MPa_sqrt_m,classification_scope,tensor_state_limitation
canonical_theta0_shared__dbtt__T1050K__theta0__rate1x__seed1009675,DBTT,1050.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T1050K__theta15__rate1x__seed1009675,DBTT,1050.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NEGATIVE_REINITIATION_SOFTENING,-0.36508440598389313,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T1050K__theta30__rate1x__seed1009675,DBTT,1050.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,5.497292273393029,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__dbtt__T1050K__theta45__rate1x__seed1009675,DBTT,1050.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,12.323455091488874,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__dbtt__T1100K__theta0__rate1x__seed1010684,DBTT,1100.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T1100K__theta15__rate1x__seed1010684,DBTT,1100.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,15.460794838361188,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T1100K__theta30__rate1x__seed1010684,DBTT,1100.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,6.5279444441839445,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__dbtt__T1100K__theta45__rate1x__seed1010684,DBTT,1100.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,13.773211016352853,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__dbtt__T1150K__theta0__rate1x__seed1011693,DBTT,1150.0,0.0,THETA0_REFERENCE,NEGATIVE_REINITIATION_SOFTENING,-3.615138928465626,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T1150K__theta15__rate1x__seed1011693,DBTT,1150.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,4.794252405758023,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T1150K__theta30__rate1x__seed1011693,DBTT,1150.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,6.141511649639327,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__dbtt__T1150K__theta45__rate1x__seed1011693,DBTT,1150.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,10.623112122906182,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__dbtt__T1200K__theta0__rate1x__seed1012702,DBTT,1200.0,0.0,THETA0_REFERENCE,NEGATIVE_REINITIATION_SOFTENING,-3.3678342510601027,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T1200K__theta15__rate1x__seed1012702,DBTT,1200.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,9.342086049219432,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T1200K__theta30__rate1x__seed1012702,DBTT,1200.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,17.129361665955678,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__dbtt__T1200K__theta45__rate1x__seed1012702,DBTT,1200.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,8.350513714942288,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__dbtt__T1250K__theta0__rate1x__seed1013711,DBTT,1250.0,0.0,THETA0_REFERENCE,NEGATIVE_REINITIATION_SOFTENING,-4.685162979764144,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T1250K__theta15__rate1x__seed1013711,DBTT,1250.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,10.064441838986681,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T1250K__theta30__rate1x__seed1013711,DBTT,1250.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,9.149837137804461,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__dbtt__T1250K__theta45__rate1x__seed1013711,DBTT,1250.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,9.562339001825976,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__dbtt__T1300K__theta0__rate1x__seed1014720,DBTT,1300.0,0.0,THETA0_REFERENCE,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,5.383725735160169,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T1300K__theta15__rate1x__seed1014720,DBTT,1300.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_STRUCTURAL_WAKE,16.035379990222218,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__dbtt__T1300K__theta30__rate1x__seed1014720,DBTT,1300.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_STRUCTURAL_WAKE,12.194895322385577,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__dbtt__T1300K__theta45__rate1x__seed1014720,DBTT,1300.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_STRUCTURAL_WAKE,10.669093125837328,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__peak__T0300K__theta0__rate1x__seed3621,Peak,300.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T0300K__theta15__rate1x__seed3621,Peak,300.0,15.0,UNRESOLVED,NEGATIVE_REINITIATION_SOFTENING,-0.040547793896273276,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T0300K__theta30__rate1x__seed3621,Peak,300.0,30.0,UNRESOLVED,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__peak__T0300K__theta45__rate1x__seed3621,Peak,300.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__peak__T0600K__theta0__rate1x__seed4630,Peak,600.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T0600K__theta15__rate1x__seed4630,Peak,600.0,15.0,LOWER_INITIAL_ONSET_STRUCTURAL_TRANSFER,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T0600K__theta30__rate1x__seed4630,Peak,600.0,30.0,LOWER_INITIAL_ONSET_STRUCTURAL_TRANSFER,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__peak__T0600K__theta45__rate1x__seed4630,Peak,600.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__peak__T0800K__theta0__rate1x__seed5639,Peak,800.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T0800K__theta15__rate1x__seed5639,Peak,800.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T0800K__theta30__rate1x__seed5639,Peak,800.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__peak__T0800K__theta45__rate1x__seed5639,Peak,800.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,4.2434389853706875,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__peak__T0900K__theta0__rate1x__seed6648,Peak,900.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T0900K__theta15__rate1x__seed6648,Peak,900.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T0900K__theta30__rate1x__seed6648,Peak,900.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__peak__T0900K__theta45__rate1x__seed6648,Peak,900.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,7.2023337331648385,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__peak__T0950K__theta0__rate1x__seed7657,Peak,950.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T0950K__theta15__rate1x__seed7657,Peak,950.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T0950K__theta30__rate1x__seed7657,Peak,950.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NEGATIVE_REINITIATION_SOFTENING,-0.6023089710369725,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__peak__T0950K__theta45__rate1x__seed7657,Peak,950.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__peak__T1000K__theta0__rate1x__seed8666,Peak,1000.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T1000K__theta15__rate1x__seed8666,Peak,1000.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T1000K__theta30__rate1x__seed8666,Peak,1000.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__peak__T1000K__theta45__rate1x__seed8666,Peak,1000.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__peak__T1050K__theta0__rate1x__seed9675,Peak,1050.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T1050K__theta15__rate1x__seed9675,Peak,1050.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T1050K__theta30__rate1x__seed9675,Peak,1050.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__peak__T1050K__theta45__rate1x__seed9675,Peak,1050.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,8.414415829256267,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__peak__T1100K__theta0__rate1x__seed10684,Peak,1100.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T1100K__theta15__rate1x__seed10684,Peak,1100.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T1100K__theta30__rate1x__seed10684,Peak,1100.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__peak__T1100K__theta45__rate1x__seed10684,Peak,1100.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__peak__T1150K__theta0__rate1x__seed11693,Peak,1150.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T1150K__theta15__rate1x__seed11693,Peak,1150.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__peak__T1150K__theta30__rate1x__seed11693,Peak,1150.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,2.7484125044893517,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
