angle_deg,h_tip_m,kappa,representation,parent_geometry_fingerprint,parent_connectivity_fingerprint,selected_element_count,reaction_N_per_m,compliance_m2_per_N,energy_J_per_m,reaction_reference_error,compliance_reference_error,energy_reference_error,outside_support_stress_l2_error,free_residual_relative,energy_reaction_identity_relative,conditioning_diagonal_ratio,support_width_m,support_footprint_m
30.0,1.25e-05,1e-06,C_V12,eda2ace85db51cfcd7aa9eedbfa7c6d17281e7ac4722ed6ca207a4961ab97544,ecce5aad79f458402abf94c51bb823293cf003c4bedbeaf194312018a1c28224,196,142070.56567595637,5.631004537735783e-12,0.05682822627038484,0.05804777943737804,0.05804777943737801,0.058047779437361384,0.056130500079369164,2.7763195130141664e-14,4.041607547744669e-14,1000001.0000000083,2.5000000000000066e-05,5.421010862427522e-20
30.0,1.25e-05,1e-08,C_V12,eda2ace85db51cfcd7aa9eedbfa7c6d17281e7ac4722ed6ca207a4961ab97544,ecce5aad79f458402abf94c51bb823293cf003c4bedbeaf194312018a1c28224,196,142069.93072766808,5.631029704192009e-12,0.05682797229106847,0.058051989253445534,0.05805198925344559,0.05805198925344632,0.05613325800500621,2.7827864176417416e-14,2.1856525206242596e-14,100000001.00000083,2.5000000000000066e-05,5.421010862427522e-20
30.0,6.25e-06,,A_INTACT,d98710f2889fd400f6ff6b3e8c1dd6bbc9dd86abf7a200d558035e8e9ea85822,00222fc4f1fcb0e7de70991d46fb54c3939cae10cfbe5e988ef5dde1c856f003,0,184615.38461538122,4.333333333333413e-12,0.07384615384615545,0.18765894047535922,0.18765894047535917,0.18765894047532944,0.27096309261321316,4.6759310375418146e-14,4.0216672584728105e-14,4.000000000000082,0.0,0.0
30.0,6.25e-06,1e-08,B_V11,d98710f2889fd400f6ff6b3e8c1dd6bbc9dd86abf7a200d558035e8e9ea85822,00222fc4f1fcb0e7de70991d46fb54c3939cae10cfbe5e988ef5dde1c856f003,96,183183.98300630978,4.367194046503749e-12,0.07327359320252615,0.18131129871850146,0.18131129871850138,0.18131129871846363,0.25767056749190204,4.668185606849703e-14,3.049289299737928e-14,100000001.00000155,1.2500000000000045e-05,5.421010862427522e-20
30.0,6.25e-06,,D_CONFORMING,d98710f2889fd400f6ff6b3e8c1dd6bbc9dd86abf7a200d558035e8e9ea85822,00222fc4f1fcb0e7de70991d46fb54c3939cae10cfbe5e988ef5dde1c856f003,0,149970.65714300785,5.334376839044868e-12,0.05998826285720774,0.0,0.0,0.0,0.0,5.5396872533590765e-14,7.680545047889823e-14,4.000000000000082,0.0,0.0
30.0,6.25e-06,0.0001,C_V12,d98710f2889fd400f6ff6b3e8c1dd6bbc9dd86abf7a200d558035e8e9ea85822,00222fc4f1fcb0e7de70991d46fb54c3939cae10cfbe5e988ef5dde1c856f003,388,145480.25426606968,5.499028057353236e-12,0.05819210170642985,0.029941876380899273,0.02994187638089929,0.029941876380940764,0.029925308038979432,5.79190935294879e-14,3.398373154814324e-14,10001.000000000166,1.2500000000000045e-05,5.421010862427522e-20
30.0,6.25e-06,1e-06,C_V12,d98710f2889fd400f6ff6b3e8c1dd6bbc9dd86abf7a200d558035e8e9ea85822,00222fc4f1fcb0e7de70991d46fb54c3939cae10cfbe5e988ef5dde1c856f003,388,145378.5503984179,5.50287506518366e-12,0.058151420159374655,0.030620034825952974,0.03062003482595298,0.030620034825902396,0.03047886536592371,5.6494458556039647e-14,1.2898987315470537e-13,1000001.0000000163,1.2500000000000045e-05,5.421010862427522e-20
30.0,6.25e-06,1e-08,C_V12,d98710f2889fd400f6ff6b3e8c1dd6bbc9dd86abf7a200d558035e8e9ea85822,00222fc4f1fcb0e7de70991d46fb54c3939cae10cfbe5e988ef5dde1c856f003,388,145377.5314336253,5.502913635352615e-12,0.058151012573449776,0.030626829253689796,0.030626829253689924,0.030626829253769878,0.030484423634981304,5.718153880657143e-14,5.846945500080456e-15,100000001.00000164,1.2500000000000045e-05,5.421010862427522e-20
45.0,2.5e-05,,A_INTACT,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,0,184615.38461538288,4.333333333333374e-12,0.0738461538461531,0.1736260145058294,0.1736260145058294,0.1736260145058352,0.25276047424110476,1.0518297795066881e-14,5.637851296924679e-16,4.000000000000028,0.0,0.0
45.0,2.5e-05,1e-08,B_V11,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,24,179234.2720647885,4.4634320812864455e-12,0.07169370882591553,0.14881596353957238,0.14881596353957244,0.14881596353958038,0.20358433626028596,1.067143963458105e-14,1.742134593338011e-15,100000001.00000036,5.0000000000000057e-05,1.0842021724855044e-19
45.0,2.5e-05,,D_CONFORMING,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,0,152561.35116815314,5.2437920474251695e-12,0.06102454046726079,0.0,0.0,0.0,0.0,1.2580123527648055e-14,7.618343178040036e-15,4.000000000000028,0.0,0.0
45.0,2.5e-05,0.0001,C_V12,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,100,136015.17474683025,5.8816966672216366e-12,0.05440606989873247,0.10845588541678351,0.10845588541678347,0.10845588541677059,0.09580797080849784,1.3467845430299903e-14,6.8871041688625985e-15,10001.000000000042,5.0000000000000057e-05,1.0842021724855044e-19
45.0,2.5e-05,1e-06,C_V12,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,100,135970.78866129555,5.883616678820677e-12,0.05438831546451901,0.10874682466971251,0.10874682466971242,0.10874682466969268,0.095927782403443,1.5191792755834198e-14,1.4671768966073237e-14,1000001.0000000042,5.0000000000000057e-05,1.0842021724855044e-19
45.0,2.5e-05,1e-08,C_V12,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,100,135970.344618276,5.883635893149532e-12,0.05438813784731098,0.10874973525628083,0.10874973525628073,0.10874973525626444,0.09592898201885011,1.3469407195367027e-14,1.071680537334346e-14,100000001.00000042,5.0000000000000057e-05,1.0842021724855044e-19
45.0,1.25e-05,,A_INTACT,eda2ace85db51cfcd7aa9eedbfa7c6d17281e7ac4722ed6ca207a4961ab97544,ecce5aad79f458402abf94c51bb823293cf003c4bedbeaf194312018a1c28224,0,184615.3846153812,4.333333333333414e-12,0.07384615384615102,0.1830276731533271,0.18302767315332705,0.18302767315333057,0.26003145632585106,2.2555301910778993e-14,1.9732479539236935e-14,4.000000000000032,0.0,0.0
