case_id,material_class,candidate_id,temperature_K,theta_deg,rate_tag,loading_rate_factor,nominal_dU_m,nominal_dt_s,nominal_opening_rate_m_per_s,seed,status,returncode,result_sha256,output_path,output_directory_exists,active_process_owned,active_process_pids,canonical_status,complete_result_preserved,cleanup_eligible_after_lock
canonical_strain_rate__peak__T1250K__theta45__rate0p01x__seed13711,Peak,v913_zeroD_sobol_0242980,1250,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,13711,COMPLETE,0,aa4fd4f7a73284f8bbdbae862dd08976bdcc1e40ab5b2c04cda831a25ac619da,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T1250K__theta45__rate0p01x__seed13711,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__peak__T1300K__theta45__rate0p01x__seed14720,Peak,v913_zeroD_sobol_0242980,1300,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,14720,COMPLETE,0,2915eef3b6f94e608d655d0ebe61351fa4e979cfed05fc0bdaf4c6525b1fd8cb,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__peak__T1300K__theta45__rate0p01x__seed14720,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__dbtt__T0300K__theta45__rate0p01x__seed1003621,DBTT,v913_zeroD_sobol_0202500,300,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,1003621,COMPLETE,0,c381b372e006f7704af762dec9329686f48238fece83687a8db8fcbe3337660a,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T0300K__theta45__rate0p01x__seed1003621,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__dbtt__T0600K__theta45__rate0p01x__seed1004630,DBTT,v913_zeroD_sobol_0202500,600,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,1004630,COMPLETE,0,7078acb5c7caa1e099bcc8e17b71204e1abbab1ec36b2be1ba131335476de532,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T0600K__theta45__rate0p01x__seed1004630,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__dbtt__T0800K__theta45__rate0p01x__seed1005639,DBTT,v913_zeroD_sobol_0202500,800,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,1005639,COMPLETE,0,36b75aba2afcd59abcaeebd30962837148e81d2c8bf58bcec63233571738c04e,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T0800K__theta45__rate0p01x__seed1005639,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__dbtt__T0900K__theta45__rate0p01x__seed1006648,DBTT,v913_zeroD_sobol_0202500,900,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,1006648,COMPLETE,0,50f687771cf9f2c4eea0eecc369487162d2be811141f72ee37b0d9e86bcb12bc,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T0900K__theta45__rate0p01x__seed1006648,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__dbtt__T0950K__theta45__rate0p01x__seed1007657,DBTT,v913_zeroD_sobol_0202500,950,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,1007657,COMPLETE,0,c2229e1ee20cced24ef7f39c24815386675a40d146458b4976260da1f2c54775,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T0950K__theta45__rate0p01x__seed1007657,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__dbtt__T1000K__theta45__rate0p01x__seed1008666,DBTT,v913_zeroD_sobol_0202500,1000,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,1008666,COMPLETE,0,fa60e70551cbfc5372047a3bb4057334d4c0bfe96875b960106586cf2084940a,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T1000K__theta45__rate0p01x__seed1008666,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__dbtt__T1050K__theta45__rate0p01x__seed1009675,DBTT,v913_zeroD_sobol_0202500,1050,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,1009675,COMPLETE,0,53be357de74027d40216aef0719483b4f66fd83fc295ea13c312acb9b9543d44,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T1050K__theta45__rate0p01x__seed1009675,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__dbtt__T1100K__theta45__rate0p01x__seed1010684,DBTT,v913_zeroD_sobol_0202500,1100,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,1010684,COMPLETE,0,755594c1fee48b6ada3a7ef1bc65c7893b38fab8e486a42d85cdfd5d0b76900c,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T1100K__theta45__rate0p01x__seed1010684,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__dbtt__T1150K__theta45__rate0p01x__seed1011693,DBTT,v913_zeroD_sobol_0202500,1150,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,1011693,COMPLETE,0,1fcb1282bca358d9cfc376293f1cd8ecff4001657e540b23f524b3b1dafe4d48,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T1150K__theta45__rate0p01x__seed1011693,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__dbtt__T1200K__theta45__rate0p01x__seed1012702,DBTT,v913_zeroD_sobol_0202500,1200,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,1012702,COMPLETE,0,69278be6ef2738f6bb288233887ecc8b6d9cee59efd04d21899dda1a4cb84abc,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T1200K__theta45__rate0p01x__seed1012702,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__dbtt__T1250K__theta45__rate0p01x__seed1013711,DBTT,v913_zeroD_sobol_0202500,1250,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,1013711,COMPLETE,0,9a375819cd927e81784afaf05a159c0279468372d98e71de233d21e816fc6f6f,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T1250K__theta45__rate0p01x__seed1013711,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__dbtt__T1300K__theta45__rate0p01x__seed1014720,DBTT,v913_zeroD_sobol_0202500,1300,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,1014720,COMPLETE,0,fa6c2115c69c7822e54f05417610936d312ac07a1ab9ae1dfd93eabe4fcc4a9a,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__dbtt__T1300K__theta45__rate0p01x__seed1014720,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__weakt__T0300K__theta45__rate0p01x__seed2003621,weak-T,oneD_v2_focused_weak_T_0016,300,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,2003621,COMPLETE,0,dc011e7e11d29654ccefba86648b9a151e0b1640f28e1b4dfb217f559264a8c8,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T0300K__theta45__rate0p01x__seed2003621,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__weakt__T0600K__theta45__rate0p01x__seed2004630,weak-T,oneD_v2_focused_weak_T_0016,600,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,2004630,COMPLETE,0,906fce226378716124fec5910551e7bd988cbfc8b803fc528179574a47baa036,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T0600K__theta45__rate0p01x__seed2004630,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__weakt__T0800K__theta45__rate0p01x__seed2005639,weak-T,oneD_v2_focused_weak_T_0016,800,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,2005639,COMPLETE,0,cabe835d8f8c309bad9d0bf60bdfd59f82df0e09dd6f0528bb7c33564f2ede86,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T0800K__theta45__rate0p01x__seed2005639,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__weakt__T0900K__theta45__rate0p01x__seed2006648,weak-T,oneD_v2_focused_weak_T_0016,900,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,2006648,COMPLETE,0,6423f382c0f597f10a4100db4f9d39afbecb7857ef5dade28f605d3373f6f43e,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T0900K__theta45__rate0p01x__seed2006648,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__weakt__T0950K__theta45__rate0p01x__seed2007657,weak-T,oneD_v2_focused_weak_T_0016,950,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,2007657,COMPLETE,0,ff299baae6fd5a927f547a4d1e3be005dd3b8f49f4d285c74a833abce7366316,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T0950K__theta45__rate0p01x__seed2007657,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__weakt__T1000K__theta45__rate0p01x__seed2008666,weak-T,oneD_v2_focused_weak_T_0016,1000,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,2008666,COMPLETE,0,815f2523c342a5b4c027a7042c3c454ab4a91e5940c26fcfb2281ced555d21ea,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T1000K__theta45__rate0p01x__seed2008666,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__weakt__T1050K__theta45__rate0p01x__seed2009675,weak-T,oneD_v2_focused_weak_T_0016,1050,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,2009675,COMPLETE,0,2070b655794e2978716b8d276631a68b829e62bbbe256841cbaa749fd2ee506f,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T1050K__theta45__rate0p01x__seed2009675,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__weakt__T1100K__theta45__rate0p01x__seed2010684,weak-T,oneD_v2_focused_weak_T_0016,1100,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,2010684,COMPLETE,0,8c9fa575619443abd67f6fb7a1336d300c73217a09a921ccda55a7c98537a47d,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T1100K__theta45__rate0p01x__seed2010684,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__weakt__T1150K__theta45__rate0p01x__seed2011693,weak-T,oneD_v2_focused_weak_T_0016,1150,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,2011693,COMPLETE,0,eac067a96010d9348054f717332e6e8bacbee3384c2844aa46462654a1c7a278,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T1150K__theta45__rate0p01x__seed2011693,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__weakt__T1200K__theta45__rate0p01x__seed2012702,weak-T,oneD_v2_focused_weak_T_0016,1200,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,2012702,COMPLETE,0,06d179fa7c6b1edca14a9572ffc2e8ec6cb073a5dee2cb1901f00fe24cd8b6ec,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T1200K__theta45__rate0p01x__seed2012702,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__weakt__T1250K__theta45__rate0p01x__seed2013711,weak-T,oneD_v2_focused_weak_T_0016,1250,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,2013711,COMPLETE,0,f66a17b072beaaebb1c712fede07eb6e21cd7d22452bd0447004aa2ed5bf1523,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T1250K__theta45__rate0p01x__seed2013711,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__weakt__T1300K__theta45__rate0p01x__seed2014720,weak-T,oneD_v2_focused_weak_T_0016,1300,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,2014720,COMPLETE,0,21afc311c6413ad356912ab37138d62984a9a0042853356f6e8ce9b7f000762a,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__weakt__T1300K__theta45__rate0p01x__seed2014720,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__ceramiclike__T0300K__theta45__rate0p01x__seed3003621,ceramic-like,oneD_v2_focused_ceramic_like_0018,300,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,3003621,COMPLETE,0,dcaaac1c9930cc03a682d38432b2953e8b10be847719c6e8dafab79fef17dbe8,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T0300K__theta45__rate0p01x__seed3003621,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__ceramiclike__T0600K__theta45__rate0p01x__seed3004630,ceramic-like,oneD_v2_focused_ceramic_like_0018,600,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,3004630,COMPLETE,0,29f4fc2eee8d4bcb3a8d74369f4e0e7bae65ed3d41e4393a11019e363399a508,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T0600K__theta45__rate0p01x__seed3004630,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__ceramiclike__T0800K__theta45__rate0p01x__seed3005639,ceramic-like,oneD_v2_focused_ceramic_like_0018,800,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,3005639,COMPLETE,0,bbcad31db52848a8ac0836f260e73e3eb8d8d3bb0743d36214da51746be4aaac,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T0800K__theta45__rate0p01x__seed3005639,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__ceramiclike__T0900K__theta45__rate0p01x__seed3006648,ceramic-like,oneD_v2_focused_ceramic_like_0018,900,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,3006648,COMPLETE,0,aeb40082f75ed0781bcd8eabeb07401ade90a8f525087faff0e17982e07e3bb4,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T0900K__theta45__rate0p01x__seed3006648,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__ceramiclike__T0950K__theta45__rate0p01x__seed3007657,ceramic-like,oneD_v2_focused_ceramic_like_0018,950,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,3007657,COMPLETE,0,f252151c88163ea5a3edfc337517707a01d7cd6139971d454db5fb5a124616f0,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T0950K__theta45__rate0p01x__seed3007657,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
canonical_strain_rate__ceramiclike__T1000K__theta45__rate0p01x__seed3008666,ceramic-like,oneD_v2_focused_ceramic_like_0018,1000,45,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,3008666,COMPLETE,0,6b88ef47a2dc22088a1410068ef838098360d1ba22ca8ee7d5aaba8f6f5b0c50,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T1000K__theta45__rate0p01x__seed3008666,True,False,,SUPPLEMENTAL_CURRENT_SOURCE_NONCANONICAL,True,False
