case_id,material_class,candidate_id,temperature_K,theta_deg,rate_tag,loading_rate_factor,nominal_dU_m,nominal_dt_s,nominal_opening_rate_m_per_s,seed,status,returncode,result_sha256,output_path,output_directory_exists,active_process_owned,active_process_pids,canonical_status,complete_result_preserved,cleanup_eligible_after_lock
canonical_strain_rate__ceramiclike__T0300K__theta45__rate100x__seed3003621,ceramic-like,oneD_v2_focused_ceramic_like_0018,300,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,3003621,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T0300K__theta45__rate100x__seed3003621,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__ceramiclike__T0600K__theta45__rate100x__seed3004630,ceramic-like,oneD_v2_focused_ceramic_like_0018,600,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,3004630,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T0600K__theta45__rate100x__seed3004630,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__ceramiclike__T0800K__theta45__rate100x__seed3005639,ceramic-like,oneD_v2_focused_ceramic_like_0018,800,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,3005639,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T0800K__theta45__rate100x__seed3005639,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__ceramiclike__T0900K__theta45__rate100x__seed3006648,ceramic-like,oneD_v2_focused_ceramic_like_0018,900,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,3006648,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T0900K__theta45__rate100x__seed3006648,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__ceramiclike__T0950K__theta45__rate100x__seed3007657,ceramic-like,oneD_v2_focused_ceramic_like_0018,950,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,3007657,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T0950K__theta45__rate100x__seed3007657,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__ceramiclike__T1000K__theta45__rate100x__seed3008666,ceramic-like,oneD_v2_focused_ceramic_like_0018,1000,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,3008666,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T1000K__theta45__rate100x__seed3008666,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__ceramiclike__T1050K__theta45__rate100x__seed3009675,ceramic-like,oneD_v2_focused_ceramic_like_0018,1050,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,3009675,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T1050K__theta45__rate100x__seed3009675,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__ceramiclike__T1100K__theta45__rate100x__seed3010684,ceramic-like,oneD_v2_focused_ceramic_like_0018,1100,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,3010684,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T1100K__theta45__rate100x__seed3010684,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__ceramiclike__T1150K__theta45__rate100x__seed3011693,ceramic-like,oneD_v2_focused_ceramic_like_0018,1150,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,3011693,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T1150K__theta45__rate100x__seed3011693,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__ceramiclike__T1200K__theta45__rate100x__seed3012702,ceramic-like,oneD_v2_focused_ceramic_like_0018,1200,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,3012702,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T1200K__theta45__rate100x__seed3012702,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__ceramiclike__T1250K__theta45__rate100x__seed3013711,ceramic-like,oneD_v2_focused_ceramic_like_0018,1250,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,3013711,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T1250K__theta45__rate100x__seed3013711,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
canonical_strain_rate__ceramiclike__T1300K__theta45__rate100x__seed3014720,ceramic-like,oneD_v2_focused_ceramic_like_0018,1300,45,rate100x,100.0,2e-07,0.084,2.3809523809523808e-06,3014720,PENDING,,,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/canonical_pf_fracture_v2_20260826/canonical_strain_rate__ceramiclike__T1300K__theta45__rate100x__seed3014720,False,False,,CANCEL_SUPERSEDED_UNSTARTED,False,False
