matrix,material_class,candidate_id,temperature_K,theta_deg,rate_tag,loading_rate_factor,nominal_dU_m,nominal_dt_s,nominal_opening_rate_m_per_s,seed,target_extension_um,planned_disposition
CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1000.0,45.0,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,8666,1000.0,RERUN_CANONICAL_SOURCE_AND_REGISTRY
CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1050.0,45.0,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,9675,1000.0,RERUN_CANONICAL_SOURCE_AND_REGISTRY
CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1100.0,45.0,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,10684,1000.0,RERUN_CANONICAL_SOURCE_AND_REGISTRY
CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1150.0,45.0,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,11693,1000.0,RERUN_CANONICAL_SOURCE_AND_REGISTRY
CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1200.0,45.0,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,12702,1000.0,RERUN_CANONICAL_SOURCE_AND_REGISTRY
CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1250.0,45.0,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,13711,1000.0,RERUN_CANONICAL_SOURCE_AND_REGISTRY
CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1300.0,45.0,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,14720,1000.0,RERUN_CANONICAL_SOURCE_AND_REGISTRY
CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,300.0,45.0,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,1003621,1000.0,RERUN_CANONICAL_SOURCE_AND_REGISTRY
CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,600.0,45.0,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,1004630,1000.0,RERUN_CANONICAL_SOURCE_AND_REGISTRY
CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,800.0,45.0,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,1005639,1000.0,RERUN_CANONICAL_SOURCE_AND_REGISTRY
CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,900.0,45.0,rate0p01x,0.01,2e-07,840.0,2.380952380952381e-10,1006648,1000.0,RERUN_CANONICAL_SOURCE_AND_REGISTRY
