outer_radius_m,q_gradient_element_count,excluded_p0_elements,active_angular_bins_of_24,active_element_count,K_I_Pa_sqrt_m,K_II_Pa_sqrt_m,h_tip_m,kappa,conforming_KI_relative_error,ADJACENT_INTACT_ELEMENT_STRESS_RMS_DIAGNOSTIC,killed_energy_fraction,git_sha
0.0006,6546,68,24,6478,7243152.742696601,-1.3369547169058729e-06,1.25e-05,1e-08,0.3419815015336368,1.9804963096052364,2.298184353606976e-11,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0008,8150,90,24,8060,8350909.503893387,-1.4533199403087173e-06,1.25e-05,1e-08,0.2416319183911539,1.9804963096052364,2.298184353606976e-11,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.001,9646,114,24,9532,9328556.914028004,-1.5724094910126648e-06,1.25e-05,1e-08,0.1530792601503261,1.9804963096052364,2.298184353606976e-11,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0006,23948,136,24,23812,7228905.94077261,1.692815757360066e-05,6.25e-06,0.0001,0.343487051006375,2.0004479398571955,1.1675781337979042e-07,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0008,28150,180,24,27970,8341300.927731512,1.9668431453440424e-05,6.25e-06,0.0001,0.24275691054812287,2.0004479398571955,1.1675781337979042e-07,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.001,31648,226,24,31422,9322485.228952222,2.2275726569049882e-05,6.25e-06,0.0001,0.15391580491004994,2.0004479398571955,1.1675781337979042e-07,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0006,23948,136,24,23812,7228197.887924884,1.528257034869587e-05,6.25e-06,1e-06,0.34355135477058385,2.0007578297184336,1.1681668369035322e-09,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0008,28150,180,24,27970,8340480.915172105,1.7058779254860856e-05,6.25e-06,1e-06,0.24283135323389274,2.0007578297184336,1.1681668369035322e-09,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.001,31648,226,24,31422,9321566.697517944,1.8449324418714626e-05,6.25e-06,1e-06,0.1539991684027398,2.0007578297184336,1.1681668369035322e-09,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0006,23948,136,24,23812,7228190.807410943,-8.970013055120426e-06,6.25e-06,1e-08,0.3435519978069058,2.0007609295839615,1.1681727264885772e-11,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.0008,28150,180,24,27970,8340472.715056219,-1.0409372222826141e-05,6.25e-06,1e-08,0.2428320976598691,2.0007609295839615,1.1681727264885772e-11,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
0.001,31648,226,24,31422,9321557.512209758,-1.1487637895035866e-05,6.25e-06,1e-08,0.15400000203710795,2.0007609295839615,1.1681727264885772e-11,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
