h_tip_m,representation,policy,kappa,kappa_E_over_t_support_Pa_per_m,extrapolated_COD_m,transmitted_face_traction_relative,killed_energy_J_per_m,reaction_N_per_m,compliance_m2_per_N,global_G_energy_J_per_m2,global_G_compliance_J_per_m2,free_residual_relative,conditioning_diagonal_ratio,git_sha
1.25e-05,causal_p0,fixed_1e-4,0.0001,1680000000000.0,3.7632002887359176e-08,1.1654448077462036,1.6951006556389534e-06,1844887.9510617708,4.336306709248026e-12,3.9265722586367957,3.9265722561727348,8.694015843254828e-14,155682.23333333555,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
1.25e-05,causal_p0,fixed_1e-6,1e-06,16800000000.0,3.7643552843927995e-08,1.1655841778834692,1.6957802987184827e-08,1844704.9058375324,4.336736989577117e-12,3.9273362374636633,3.9273362345937866,9.021154095665745e-14,15566682.233333558,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
1.25e-05,causal_p0,fixed_1e-8,1e-08,168000000.0,3.7643668379242e-08,1.1655855720114268,1.695787097959864e-10,1844703.0753851817,4.3367412928118884e-12,3.9273438792175597,3.9273438763381625,9.254891445472135e-14,1556666682.2333555,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
1.25e-05,causal_p0,coupled_p1,8.333333333333333e-07,14000000000.0,3.7643572294235475e-08,1.1655844125832258,1.4131512028043537e-08,1844704.5976811426,4.3367377140254736e-12,3.927337522977581,3.927337520983434,9.135007642858101e-14,18680015.566666935,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
1.25e-05,causal_p0,coupled_p2,6.944444444444445e-09,116666666.66666667,3.764366873585037e-08,1.1655855763152123,1.177629943712897e-10,1844703.069734877,4.336741306095278e-12,3.9273439033049584,3.927343899463645,8.61951330779337e-14,2241600015.566698,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
1.25e-05,complete_corridor,fixed_1e-4,0.0001,1680000000000.0,2.993107874876938e-06,0.40403003153452927,0.005110341610392277,1743516.4263816103,4.588428235576031e-12,520.5554755327668,520.548224315913,9.617092518469867e-14,155682.23333333555,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
1.25e-05,complete_corridor,fixed_1e-6,1e-06,16800000000.0,3.032784417630882e-06,0.4075533482810858,5.239381573089832e-05,1742063.285182261,4.5922556706446004e-12,530.1285411279632,530.1208696469564,9.815356149667907e-14,15566682.233333558,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
1.25e-05,complete_corridor,fixed_1e-8,1e-08,168000000.0,3.03318633652197e-06,0.4075910565665793,5.24069676348677e-07,1742048.5914584838,4.592294405118868e-12,530.2258935129167,530.218217672363,1.0102308190774236e-13,1556666682.2333555,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
1.25e-05,complete_corridor,coupled_p1,8.333333333333333e-07,14000000000.0,3.03285207350566e-06,0.40755969298741657,4.3663357922131744e-05,1742060.8117199717,4.592262190951554e-12,530.1449281346127,530.1372559186149,9.89302737559724e-14,18680015.566666935,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
1.25e-05,complete_corridor,coupled_p2,6.944444444444445e-09,116666666.66666667,3.033187577174729e-06,0.40759117302783116,3.6393755718730005e-07,1742048.5461014663,4.592294524686591e-12,530.2261940336628,530.2185181810919,9.33202185073084e-14,2241600015.566698,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
6.25e-06,causal_p0,fixed_1e-4,0.0001,3360000000000.0,1.887338354567645e-08,1.1709208695145192,8.619562067319656e-07,1845607.119945319,4.334617001389234e-12,1.966437033180668,1.9664370308158263,2.57458245729458e-13,311197.7833333402,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
6.25e-06,causal_p0,fixed_1e-6,1e-06,33600000000.0,1.8879196167195472e-08,1.1710635877163962,8.62305344741092e-09,1845424.2097549164,4.3350466292313615e-12,1.9668209174028561,1.9668209193548636,2.3995117484644927e-13,31116697.783334017,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
6.25e-06,causal_p0,fixed_1e-8,1e-08,336000000.0,1.8879254311476754e-08,1.1710650153457,8.623088375714197e-11,1845422.3806505098,4.3350509259457485e-12,1.966824758294905,1.9668247580161822,2.468553120436855e-13,3111666697.7834,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
6.25e-06,causal_p0,coupled_p1,4.1666666666666667e-07,14000000000.0,1.8879230427210325e-08,1.171064428905587,3.592947511662725e-09,1845423.1320046647,4.335049160952957e-12,1.9668231798508629,1.9668231845434776,2.496482147635971e-13,74680031.11666831,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
6.25e-06,causal_p0,coupled_p2,1.7361111111111113e-09,58333333.333333336,1.8879254796796566e-08,1.1710650272568872,1.497064004729762e-11,1845422.3653879957,4.335050961798666e-12,1.9668247908821712,1.9668247888662655,2.6364689945862323e-13,17923200031.117058,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
6.25e-06,complete_corridor,fixed_1e-4,0.0001,3360000000000.0,2.9396656563076914e-06,0.40188318372118653,0.009850131712842092,1745657.7121784938,4.58279990641258e-12,508.94768698210413,508.9409267520817,2.757649754310431e-13,311197.7833333402,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
6.25e-06,complete_corridor,fixed_1e-6,1e-06,33600000000.0,3.017283538257017e-06,0.40878672131718324,0.00010350464690470094,1742986.104647996,4.589824312808069e-12,527.6823294601396,527.6747716942604,2.5679005123043807e-13,31116697.783334017,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
6.25e-06,complete_corridor,fixed_1e-8,1e-08,336000000.0,3.0180797964832348e-06,0.40886544978238026,1.0355660109655231e-06,1742958.7552882698,4.5898963333053e-12,527.8760056309206,527.8684393103664,2.666496663938934e-13,3111666697.7834,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
6.25e-06,complete_corridor,coupled_p1,4.1666666666666667e-07,14000000000.0,3.017752664623514e-06,0.4088330861312618,4.313968953492695e-05,1742969.9912665447,4.589866744743395e-12,527.7964327647754,527.7888699556864,2.656660446157168e-13,74680031.11666831,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
6.25e-06,complete_corridor,coupled_p2,1.7361111111111113e-09,58333333.333333336,3.0180864448547675e-06,0.4088661077908326,1.797865189973749e-07,1742958.526945202,4.5898969346225395e-12,527.8776228635529,527.8700564622803,2.8625177831550386e-13,17923200031.117058,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
