representation,h_tip_m,y_m,u_y_m,epsilon_yy,sigma_yy_Pa,git_sha
complete_corridor,6.25e-06,-3.7500000000000003e-05,-1.5239466640378495e-06,0.00038266953342815145,-5177.197286492337,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,6.25e-06,-3.125e-05,-1.5215615256966292e-06,0.0003897140386926668,-5378.073339537797,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,6.25e-06,-2.5e-05,-1.5190752032943367e-06,0.00039677046683388346,-4100.532883886626,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,6.25e-06,-1.8750000000000002e-05,-1.516601903886129e-06,0.00040383225749120427,-2158.5384772577163,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,6.25e-06,-1.25e-05,-1.5140273052282636e-06,0.0004108928204526615,-369.2148548263831,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,6.25e-06,-6.25e-06,-1.5114657354531312e-06,0.1211212723964643,561.9919173089784,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,6.25e-06,0.0,-6.416274575451325e-20,0.2418281225790932,682.4339795477754,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,6.25e-06,6.25e-06,1.5114657354530031e-06,0.12112127239646453,561.9919196406681,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,6.25e-06,1.25e-05,1.514027305228137e-06,0.000410892820452962,-369.21485045137524,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,6.25e-06,1.8750000000000002e-05,1.5166019038860041e-06,0.0004038322574915058,-2158.5384676402646,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,6.25e-06,2.5e-05,1.5190752032942139e-06,0.0003967704668341584,-4100.532877779482,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,6.25e-06,3.125e-05,1.5215615256965083e-06,0.0003897140386928307,-5378.073351601182,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
complete_corridor,6.25e-06,3.7500000000000003e-05,1.5239466640377283e-06,0.0003826695334282384,-5177.197308744562,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,6.25e-06,-3.7500000000000003e-05,-1.5112599960536519e-06,0.0003773391808215297,-7098.082903353257,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,6.25e-06,-3.125e-05,-1.5089082295731194e-06,0.0003844199501832454,-8507.668960457398,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,6.25e-06,-2.5e-05,-1.506454695835495e-06,0.00039151779958228404,-7799.973178178669,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,6.25e-06,-1.8750000000000002e-05,-1.5040142734084227e-06,0.0003986261170473501,-5794.816467220007,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,6.25e-06,-1.25e-05,-1.501471857453529e-06,0.00040573825674595576,-3315.6111997066837,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,6.25e-06,-6.25e-06,-1.4989425391876159e-06,0.0004128475076916046,-1195.8616693188342,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,6.25e-06,0.0,1.4963112879082475e-06,0.0004164003201280372,-388.10307860442117,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,6.25e-06,6.25e-06,1.498942539188541e-06,0.0004128475076909412,-1195.861691347105,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,6.25e-06,1.25e-05,1.5014718574544506e-06,0.00040573825674514814,-3315.6112588386713,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,6.25e-06,1.8750000000000002e-05,1.504014273409338e-06,0.0003986261170464172,-5794.816562775464,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,6.25e-06,2.5e-05,1.5064546958364044e-06,0.0003915177995814486,-7799.973247694881,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,6.25e-06,3.125e-05,1.5089082295740242e-06,0.0003844199501825308,-8507.668998159315,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
conforming_slit,6.25e-06,3.7500000000000003e-05,1.5112599960545527e-06,0.0003773391808209474,-7098.082909306198,9386e7d76fcb98bcae17851a3a9a3a19b03f4888
