mesh,h_m,delta_a_over_physical_crack_length,state,physical_p0_x_m,physical_p0_y_m,physical_p1_x_m,physical_p1_y_m,physical_crack_length_m,selected_element_count,selected_element_ids,selected_element_area_m2,represented_intersection_length_sum_m,maximum_normal_support_distance_m,endpoint_support_overshoot_m,support_fingerprint,new_support_vs_base,removed_support_vs_base,reaction_N_per_m,compliance_m2_per_N,energy_J_per_m,mechanical_fingerprint,git_sha
fine,0.0001,0.025,plus,0.0005,0.0,0.0020375000000000002,0.0,0.0015375000000000002,34,6623 6625 6814 6816 7007 7009 7198 7200 7391 7393 7582 7584 7775 7777 7966 7968 8159 8161 8350 8352 8543 8545 8734 8736 8927 8929 9118 9120 9311 9313 9502 9504 9695 9697,2.889020871091916e-07,0.003075000000002955,0.00023269238626472054,1.3831696258341086e-05,c07bcf2139003705559348882ee66bc5d79513d71f597cdffa80defc3994d2c4,,,1829881.1214010555,4.371868700342003e-12,7.319524485604377,0c6e608817c0cfa1a213ef98ac34df3974de9e85027189eb1728f7eba89af979,c7154cf97e512377fd4404f9278aa9669dd261ac
fine,0.0001,0.05,base,0.0005,0.0,0.002,0.0,0.0015,34,6623 6625 6814 6816 7007 7009 7198 7200 7391 7393 7582 7584 7775 7777 7966 7968 8159 8161 8350 8352 8543 8545 8734 8736 8927 8929 9118 9120 9311 9313 9502 9504 9695 9697,2.889020871091916e-07,0.0030000000000030293,0.00023269238626472054,5.133169625834129e-05,c07bcf2139003705559348882ee66bc5d79513d71f597cdffa80defc3994d2c4,,,1829881.1214010555,4.371868700342003e-12,7.319524485604377,0c6e608817c0cfa1a213ef98ac34df3974de9e85027189eb1728f7eba89af979,c7154cf97e512377fd4404f9278aa9669dd261ac
fine,0.0001,0.05,minus,0.0005,0.0,0.001925,0.0,0.001425,32,6814 6816 7007 7009 7198 7200 7391 7393 7582 7584 7775 7777 7966 7968 8159 8161 8350 8352 8543 8545 8734 8736 8927 8929 9118 9120 9311 9313 9502 9504 9695 9697,2.7822099394621136e-07,0.0028500000000028546,0.00023269238626472054,4.6285485436508775e-05,c0e8bc054d02db59597544f17a3fecb114180994f9b61dc8dc26b8fdd90e7dc8,,6623 6625,1830713.99858587,4.369879733360633e-12,7.322855994343601,2834189420f971cb8ae02668e6e1b7354068b8bd9269cf5311aeb700299db7f2,c7154cf97e512377fd4404f9278aa9669dd261ac
fine,0.0001,0.05,plus,0.0005,0.0,0.002075,0.0,0.001575,36,6430 6432 6623 6625 6814 6816 7007 7009 7198 7200 7391 7393 7582 7584 7775 7777 7966 7968 8159 8161 8350 8352 8543 8545 8734 8736 8927 8929 9118 9120 9311 9313 9502 9504 9695 9697,2.985336694376224e-07,0.0031500000000031963,0.00023269238626472054,5.522812646352763e-05,ef24b7f382534212ed9320b440ee4def039c92cd93832fac29ef64052211b266,6430 6432,,1829377.2000232206,4.373072978005003e-12,7.317508800093006,51fc60d098de7c832dd40d3f8f7877efcf4cf8c7d6a08a9da7b40c2f6b5dadfc,c7154cf97e512377fd4404f9278aa9669dd261ac
fine,0.0001,0.1,base,0.0005,0.0,0.002,0.0,0.0015,34,6623 6625 6814 6816 7007 7009 7198 7200 7391 7393 7582 7584 7775 7777 7966 7968 8159 8161 8350 8352 8543 8545 8734 8736 8927 8929 9118 9120 9311 9313 9502 9504 9695 9697,2.889020871091916e-07,0.0030000000000030293,0.00023269238626472054,5.133169625834129e-05,c07bcf2139003705559348882ee66bc5d79513d71f597cdffa80defc3994d2c4,,,1829881.1214010555,4.371868700342003e-12,7.319524485604377,0c6e608817c0cfa1a213ef98ac34df3974de9e85027189eb1728f7eba89af979,c7154cf97e512377fd4404f9278aa9669dd261ac
fine,0.0001,0.1,minus,0.0005,0.0,0.00185,0.0,0.00135,30,7007 7009 7198 7200 7391 7393 7582 7584 7775 7777 7966 7968 8159 8161 8350 8352 8543 8545 8734 8736 8927 8929 9118 9120 9311 9313 9502 9504 9695 9697,2.673091364247717e-07,0.002700000000002674,0.00023269238626472054,3.8940801763633244e-05,9655c256509876a7a979e669a391c27002f23ca536af858eaeccad843383922c,,6623 6625 6814 6816,1831282.4955689115,4.3685231630604846e-12,7.325129982275774,607fe6aeede294d760f5fd97cda51c6e6bc9d66efe01886ebf15f9b70eaa7fe1,c7154cf97e512377fd4404f9278aa9669dd261ac
fine,0.0001,0.1,plus,0.0005,0.0,0.00215,0.0,0.00165,38,6239 6241 6430 6432 6623 6625 6814 6816 7007 7009 7198 7200 7391 7393 7582 7584 7775 7777 7966 7968 8159 8161 8350 8352 8543 8545 8734 8736 8927 8929 9118 9120 9311 9313 9502 9504 9695 9697,3.0795256698277563e-07,0.003300000000003357,0.00023269238626472054,5.678068991968755e-05,b7e4a19301d6ad82761c5f2714a19b0f1333771f92481d7004e88c14789caecb,6239 6241 6430 6432,,1828626.5637003086,4.37486808887411e-12,7.314506254801329,0bde9e7aabb7258569b850362878382a9e08e63f709f6132a163d6cb2f9afbf2,c7154cf97e512377fd4404f9278aa9669dd261ac
finer,7.5e-05,0.025,base,0.0005,0.0,0.002,0.0,0.0015,46,11646 11648 11903 11905 12158 12160 12415 12417 12670 12672 12927 12929 13182 13184 13439 13441 13694 13696 13951 13953 14206 14208 14463 14465 14718 14720 14975 14977 15230 15232 15487 15489 15742 15744 15999 16001 16254 16256 16511 16513 16766 16768 17023 17025 17278 17280,2.213754225686931e-07,0.003000000000003252,0.00017163595171496257,5.9140740991868185e-05,f96df34f04e3825a95aafc9452a84d3a3ef1d8ac5389ae58f31ed9dd32e1a2f4,,,1833347.886839881,4.363601724160219e-12,7.333391547359478,1240ea92b0e63d70a040af236af1c0e773d2b0a3374c150abc57f61600a4a1d6,c7154cf97e512377fd4404f9278aa9669dd261ac
finer,7.5e-05,0.025,minus,0.0005,0.0,0.0019625,0.0,0.0014624999999999998,44,11903 11905 12158 12160 12415 12417 12670 12672 12927 12929 13182 13184 13439 13441 13694 13696 13951 13953 14206 14208 14463 14465 14718 14720 14975 14977 15230 15232 15487 15489 15742 15744 15999 16001 16254 16256 16511 16513 16766 16768 17023 17025 17278 17280,2.1563209549668782e-07,0.0029250000000030844,0.00017163595171496257,3.6240113853157254e-05,48f7c14e6b09917545ceac614903ede5fc08de020e630ff2e7e0ab6eae8f5baa,,11646 11648,1833649.0847577052,4.36288495247012e-12,7.334596339030706,7b356c2436d8752d2700099aefb814d166619a66396638bbd1b529d7d9306ec9,c7154cf97e512377fd4404f9278aa9669dd261ac
finer,7.5e-05,0.025,plus,0.0005,0.0,0.0020375000000000002,0.0,0.0015375000000000002,46,11646 11648 11903 11905 12158 12160 12415 12417 12670 12672 12927 12929 13182 13184 13439 13441 13694 13696 13951 13953 14206 14208 14463 14465 14718 14720 14975 14977 15230 15232 15487 15489 15742 15744 15999 16001 16254 16256 16511 16513 16766 16768 17023 17025 17278 17280,2.213754225686931e-07,0.0030750000000031768,0.00017163595171496257,2.164074099186798e-05,f96df34f04e3825a95aafc9452a84d3a3ef1d8ac5389ae58f31ed9dd32e1a2f4,,,1833347.886839881,4.363601724160219e-12,7.333391547359478,1240ea92b0e63d70a040af236af1c0e773d2b0a3374c150abc57f61600a4a1d6,c7154cf97e512377fd4404f9278aa9669dd261ac
finer,7.5e-05,0.05,base,0.0005,0.0,0.002,0.0,0.0015,46,11646 11648 11903 11905 12158 12160 12415 12417 12670 12672 12927 12929 13182 13184 13439 13441 13694 13696 13951 13953 14206 14208 14463 14465 14718 14720 14975 14977 15230 15232 15487 15489 15742 15744 15999 16001 16254 16256 16511 16513 16766 16768 17023 17025 17278 17280,2.213754225686931e-07,0.003000000000003252,0.00017163595171496257,5.9140740991868185e-05,f96df34f04e3825a95aafc9452a84d3a3ef1d8ac5389ae58f31ed9dd32e1a2f4,,,1833347.886839881,4.363601724160219e-12,7.333391547359478,1240ea92b0e63d70a040af236af1c0e773d2b0a3374c150abc57f61600a4a1d6,c7154cf97e512377fd4404f9278aa9669dd261ac
finer,7.5e-05,0.05,minus,0.0005,0.0,0.001925,0.0,0.001425,42,12158 12160 12415 12417 12670 12672 12927 12929 13182 13184 13439 13441 13694 13696 13951 13953 14206 14208 14463 14465 14718 14720 14975 14977 15230 15232 15487 15489 15742 15744 15999 16001 16254 16256 16511 16513 16766 16768 17023 17025 17278 17280,2.0942952051409547e-07,0.002850000000002913,0.00017163595171496257,1.2675364404309431e-05,4ab90161228dbdfc74676e2734949d30e199079df99d5325aaf530c0610b3082,,11646 11648 11903 11905,1834131.073008989,4.3617384371966265e-12,7.336524292035873,24782063578c344923f385adba9043177adf996388b804e09b851daa4fbb7334,c7154cf97e512377fd4404f9278aa9669dd261ac
finer,7.5e-05,0.05,plus,0.0005,0.0,0.002075,0.0,0.001575,48,11391 11393 11646 11648 11903 11905 12158 12160 12415 12417 12670 12672 12927 12929 13182 13184 13439 13441 13694 13696 13951 13953 14206 14208 14463 14465 14718 14720 14975 14977 15230 15232 15487 15489 15742 15744 15999 16001 16254 16256 16511 16513 16766 16768 17023 17025 17278 17280,2.2702481672129657e-07,0.0031500000000033402,0.00017163595171496257,4.322542272946518e-05,c09c88997de924de6acf2a9684dbdbfe89899acb18ff85f80a46324eca20d741,11391 11393,,1832901.9288020167,4.364663419405529e-12,7.331607715207983,67a0e956b36c29edca4f29430416bf3ede0feb241cec8ff560dacdd089ddf655,c7154cf97e512377fd4404f9278aa9669dd261ac
finer,7.5e-05,0.1,base,0.0005,0.0,0.002,0.0,0.0015,46,11646 11648 11903 11905 12158 12160 12415 12417 12670 12672 12927 12929 13182 13184 13439 13441 13694 13696 13951 13953 14206 14208 14463 14465 14718 14720 14975 14977 15230 15232 15487 15489 15742 15744 15999 16001 16254 16256 16511 16513 16766 16768 17023 17025 17278 17280,2.213754225686931e-07,0.003000000000003252,0.00017163595171496257,5.9140740991868185e-05,f96df34f04e3825a95aafc9452a84d3a3ef1d8ac5389ae58f31ed9dd32e1a2f4,,,1833347.886839881,4.363601724160219e-12,7.333391547359478,1240ea92b0e63d70a040af236af1c0e773d2b0a3374c150abc57f61600a4a1d6,c7154cf97e512377fd4404f9278aa9669dd261ac
finer,7.5e-05,0.1,minus,0.0005,0.0,0.00185,0.0,0.00135,40,12415 12417 12670 12672 12927 12929 13182 13184 13439 13441 13694 13696 13951 13953 14206 14208 14463 14465 14718 14720 14975 14977 15230 15232 15487 15489 15742 15744 15999 16001 16254 16256 16511 16513 16766 16768 17023 17025 17278 17280,2.0312713398005923e-07,0.002700000000002812,0.00017163595171496257,2.5314182304838565e-05,a71440ec8257d80759de42b99b1d4c91dacdd3132c307cd1f94f980e7cddbdb9,,11646 11648 11903 11905 12158 12160,1834460.837988633,4.36095436562793e-12,7.3378433519544926,f25f50dff77e2f6af133c709fcc823d28f691670052f85e46398e293ac2c1c39,c7154cf97e512377fd4404f9278aa9669dd261ac
finer,7.5e-05,0.1,plus,0.0005,0.0,0.00215,0.0,0.00165,50,11134 11136 11391 11393 11646 11648 11903 11905 12158 12160 12415 12417 12670 12672 12927 12929 13182 13184 13439 13441 13694 13696 13951 13953 14206 14208 14463 14465 14718 14720 14975 14977 15230 15232 15487 15489 15742 15744 15999 16001 16254 16256 16511 16513 16766 16768 17023 17025 17278 17280,2.3224387929357787e-07,0.003300000000003424,0.00017163595171496257,2.6665178362217292e-05,f139ed473d74c2e7f7419739df1293058898bb218c5b7a38249a6151fdb5c95d,11134 11136 11391 11393,,1832627.6581429136,4.365316633989236e-12,7.3305106325715865,eda4bf8b1a35816aa9edb7ac8443bb3428d30a5a5335c6e5ce5c057fe5255af5,c7154cf97e512377fd4404f9278aa9669dd261ac
