mesh,radius_m,d_over_R,family,outer_radius_m,outer_over_h,effective_tip_x_m,K_I_Pa_sqrt_m,K_II_Pa_sqrt_m,active_elements,reaction_rescale_to_control,reaction_normalized_K_I_Pa_sqrt_m,reaction_normalized_K_II_Pa_sqrt_m,solver_identity,git_sha
coarse,0.0001,32,matched_control,0.0004725,2.3625,0.0019716172297243885,5840166.443737292,-3.163011403847e-10,28,1.0006859587445043,5840166.443737292,-3.163011403847e-10,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,32,matched_control,0.00103625,5.18125,0.0019716172297243885,12089357.683691278,1.649347238008426e-08,136,1.0006859587445043,12089357.683691278,1.649347238008426e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,32,matched_control,0.0016,8.0,0.0019716172297243885,12903642.881505977,2.2098702727855126e-08,304,1.0006859587445043,12903642.881505977,2.2098702727855126e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,64,void,0.0004725,2.3625,0.0019454638389277592,5795121.630288718,-3.13666888280108e-09,18,1.0007047375668603,5799205.670206107,-3.1388794111975916e-09,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,64,void,0.00103625,5.18125,0.0019454638389277592,6847991.593509962,6.1084106773146646e-09,56,1.0007047375668603,6852817.630443452,6.112715503792779e-09,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,64,void,0.0016,8.0,0.0019454638389277592,9407826.584800897,1.624837240165701e-08,90,1.0007047375668603,9414456.633617714,1.6259823240088793e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,64,matched_control,0.0004725,2.3625,0.0019454638389277592,5795798.25389215,-4.495026707168929e-09,18,1.0007047375668603,5795798.25389215,-4.495026707168929e-09,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,64,matched_control,0.00103625,5.18125,0.0019454638389277592,6848758.32352736,-1.4660185625555195e-10,56,1.0007047375668603,6848758.32352736,-1.4660185625555195e-10,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.0001,64,matched_control,0.0016,8.0,0.0019454638389277592,9409004.794363583,-9.040447802425703e-09,90,1.0007047375668603,9409004.794363583,-9.040447802425703e-09,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,8,void,0.0004725,2.3625,0.0019990050489015134,5000324.178323354,-2.5007833312926235e-08,96,1.001904137817303,5009845.484690074,-2.505545167406619e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,8,void,0.0006862499999999999,3.4312499999999995,0.0019990050489015134,7127529.215201416,-3.072417231038037e-08,276,1.001904137817303,7141101.013124013,-3.07826753687819e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,8,void,0.0008999999999999998,4.499999999999998,0.0019990050489015134,10187758.96674694,-3.687933857645362e-08,546,1.001904137817303,10207157.86386909,-3.694956191971417e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,8,matched_control,0.0004725,2.3625,0.0019990050489015134,4995051.886742051,5.81520696480356e-09,96,1.001904137817303,4995051.886742051,5.81520696480356e-09,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,8,matched_control,0.0006862499999999999,3.4312499999999995,0.0019990050489015134,7114938.603324688,5.3119789133013485e-09,276,1.001904137817303,7114938.603324688,5.3119789133013485e-09,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,8,matched_control,0.0008999999999999998,4.499999999999998,0.0019990050489015134,10163993.75936553,2.194828311492625e-09,546,1.001904137817303,10163993.75936553,2.194828311492625e-09,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,16,void,0.0004725,2.3625,0.0019634712528985234,8176831.917626878,3.081387766171382e-08,46,1.001577059610909,8189727.268989359,3.08624729836296e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,16,void,0.00103625,5.18125,0.0019634712528985234,13837881.927157028,2.7519344540470892e-08,228,1.001577059610909,13859705.091844875,2.7562744187264358e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,16,void,0.0016,8.0,0.0019634712528985234,14082669.059239617,1.901944336102912e-08,566,1.001577059610909,14104878.267826742,1.9049438156975774e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,16,matched_control,0.0004725,2.3625,0.0019634712528985234,8183225.335455306,4.76505663667297e-08,46,1.001577059610909,8183225.335455306,4.76505663667297e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,16,matched_control,0.00103625,5.18125,0.0019634712528985234,13845273.627611944,6.301455543501174e-08,228,1.001577059610909,13845273.627611944,6.301455543501174e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,16,matched_control,0.0016,8.0,0.0019634712528985234,14090016.8914865,2.590371763827958e-08,566,1.001577059610909,14090016.8914865,2.590371763827958e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,32,void,0.0004725,2.3625,0.0018954219714284644,4677986.276610269,1.4464716483881125e-08,24,1.0016482708710823,4685696.865125329,1.4488558254719971e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,32,void,0.00103625,5.18125,0.0018954219714284644,8620898.869196782,2.6741094842614272e-08,78,1.0016482708710823,8635108.445685426,2.6785171410304202e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,32,void,0.0016,8.0,0.0018954219714284644,11508784.830366882,3.919156290565089e-08,166,1.0016482708710823,11527754.425164329,3.9256161217180465e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,32,matched_control,0.0004725,2.3625,0.0018954219714284644,4677352.478704813,2.565532484472159e-08,24,1.0016482708710823,4677352.478704813,2.565532484472159e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,32,matched_control,0.00103625,5.18125,0.0018954219714284644,8623945.734607676,2.7774943349749778e-08,78,1.0016482708710823,8623945.734607676,2.7774943349749778e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,32,matched_control,0.0016,8.0,0.0018954219714284644,11513680.908487562,3.925264701242403e-08,166,1.0016482708710823,11513680.908487562,3.925264701242403e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,64,void,0.0004725,2.3625,0.001959430339062835,2470376.3212781004,-1.5063340730257964e-08,16,1.0016919266810203,2474556.0168882315,-1.5088826798344786e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,64,void,0.00103625,5.18125,0.001959430339062835,5953728.826648303,-2.70638384473852e-08,32,1.0016919266810203,5963802.099301669,-2.7109628477745154e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,64,void,0.0016,8.0,0.001959430339062835,7831875.583929905,-9.472617857845715e-09,74,1.0016919266810203,7845126.543192787,-9.488644832738512e-09,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,64,matched_control,0.0004725,2.3625,0.001959430339062835,2470280.4415170047,-6.169494784087811e-09,16,1.0016919266810203,2470280.4415170047,-6.169494784087811e-09,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,64,matched_control,0.00103625,5.18125,0.001959430339062835,5953980.707458336,-3.1619567485659945e-08,32,1.0016919266810203,5953980.707458336,-3.1619567485659945e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
coarse,0.00015,64,matched_control,0.0016,8.0,0.001959430339062835,7832191.49234668,-1.0735531765380523e-08,74,1.0016919266810203,7832191.49234668,-1.0735531765380523e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,8,void,0.0004725,3.5437499999999997,0.0019984238365541545,6164333.571994383,-7.611232414201005e-08,478,1.001033640437545,6170705.276444913,-7.619099691803876e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,8,void,0.0005362500000000002,4.021875000000001,0.0019984238365541545,6662780.226820854,-7.705836424565915e-08,654,1.001033640437545,6669667.145889771,-7.713801488699454e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,8,void,0.0006000000000000003,4.500000000000002,0.0019984238365541545,7049161.2772067115,-7.67006255322569e-08,868,1.001033640437545,7056447.575353609,-7.677990640039204e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,8,matched_control,0.0004725,3.5437499999999997,0.0019984238365541545,6144531.658964119,-1.2346854146922664e-07,478,1.001033640437545,6144531.658964119,-1.2346854146922664e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,8,matched_control,0.0005362500000000002,4.021875000000001,0.0019984238365541545,6638884.099958126,-1.297727076199659e-07,654,1.001033640437545,6638884.099958126,-1.297727076199659e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,8,matched_control,0.0006000000000000003,4.500000000000002,0.0019984238365541545,7021412.781791663,-1.342693986304346e-07,868,1.001033640437545,7021412.781791663,-1.342693986304346e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,16,void,0.0004725,3.5437499999999997,0.0019881209054496965,5875565.533486493,-1.7929731529371235e-07,136,1.000734064863454,5879878.579697547,-1.7942893115298108e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,16,void,0.0007695833333333333,5.771875,0.0019881209054496965,8708587.997820567,-2.1802463898788733e-07,460,1.000734064863454,8714980.666280065,-2.1818468321473556e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,16,void,0.0010666666666666667,8.0,0.0019881209054496965,11680575.46597975,-2.2659402333878356e-07,1034,1.000734064863454,11689149.766014248,-2.2676035804958523e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,16,matched_control,0.0004725,3.5437499999999997,0.0019881209054496965,5877250.619834832,2.5423300682900466e-08,136,1.000734064863454,5877250.619834832,2.5423300682900466e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,16,matched_control,0.0007695833333333333,5.771875,0.0019881209054496965,8707786.743591597,2.830465708817316e-08,460,1.000734064863454,8707786.743591597,2.830465708817316e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,16,matched_control,0.0010666666666666667,8.0,0.0019881209054496965,11677101.943438483,3.836716607400549e-08,1034,1.000734064863454,11677101.943438483,3.836716607400549e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,32,void,0.0004725,3.5437499999999997,0.001989519499387598,5517920.354012736,1.325036444123097e-07,44,1.0007192670675096,5521889.212404518,1.3259894992006048e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,32,void,0.0007695833333333333,5.771875,0.001989519499387598,8382395.392829553,2.2400000084513673e-07,144,1.0007192670675096,8388424.57378246,2.2416111666886676e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,32,void,0.0010666666666666667,8.0,0.001989519499387598,11504143.676923957,2.6967564168475714e-07,284,1.0007192670675096,11512418.228610666,2.698696104927305e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,32,matched_control,0.0004725,3.5437499999999997,0.001989519499387598,5521175.456562552,3.497675953830377e-08,44,1.0007192670675096,5521175.456562552,3.497675953830377e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,32,matched_control,0.0007695833333333333,5.771875,0.001989519499387598,8386366.558156835,2.918674976754413e-08,144,1.0007192670675096,8386366.558156835,2.918674976754413e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,32,matched_control,0.0010666666666666667,8.0,0.001989519499387598,11508352.943255544,4.421000405273221e-08,284,1.0007192670675096,11508352.943255544,4.421000405273221e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,64,void,0.0004725,3.5437499999999997,0.0019796382917056923,5962757.645334686,5.438928867080977e-08,14,1.00073838903543,5967160.480200928,5.4429449125209136e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,64,void,0.0007695833333333333,5.771875,0.0019796382917056923,7069658.636717286,8.188744466174373e-08,46,1.00073838903543,7074878.795138871,8.194790945302135e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,64,void,0.0010666666666666667,8.0,0.0019796382917056923,8874068.811793335,9.641591768206932e-08,70,1.00073838903543,8880621.326903615,9.648711013852668e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,64,matched_control,0.0004725,3.5437499999999997,0.0019796382917056923,5963687.774652883,1.0868084277078251e-07,14,1.00073838903543,5963687.774652883,1.0868084277078251e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,64,matched_control,0.0007695833333333333,5.771875,0.0019796382917056923,7070661.013060448,1.5562321527461105e-07,46,1.00073838903543,7070661.013060448,1.5562321527461105e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.0001,64,matched_control,0.0010666666666666667,8.0,0.0019796382917056923,8875197.975549389,1.9434557588511068e-07,70,1.00073838903543,8875197.975549389,1.9434557588511068e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.00015,8,void,0.0004725,3.5437499999999997,0.001983056875942045,5933177.002070177,-7.152948903135472e-09,218,1.0018467932509811,5944134.353314477,-7.166158920894395e-09,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.00015,8,void,0.0006862499999999999,5.146874999999999,0.001983056875942045,7804239.481131014,1.0859895189013977e-08,542,1.0018467932509811,7818652.297933808,1.0879951170155411e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.00015,8,void,0.0008999999999999998,6.749999999999998,0.001983056875942045,10263303.14083027,3.769389275417561e-08,1124,1.0018467932509811,10282257.339803528,3.776350558091723e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.00015,8,matched_control,0.0004725,3.5437499999999997,0.001983056875942045,5931541.087909083,7.238161232084012e-08,218,1.0018467932509811,5931541.087909083,7.238161232084012e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.00015,8,matched_control,0.0006862499999999999,5.146874999999999,0.001983056875942045,7792460.524803856,7.786887398740535e-08,542,1.0018467932509811,7792460.524803856,7.786887398740535e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.00015,8,matched_control,0.0008999999999999998,6.749999999999998,0.001983056875942045,10240689.123893255,9.530183663234604e-08,1124,1.0018467932509811,10240689.123893255,9.530183663234604e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.00015,16,void,0.0004725,3.5437499999999997,0.0019844542739116317,7170146.379342658,8.828538446077142e-08,84,1.0015596659334256,7181329.412388194,8.842308016733427e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.00015,16,void,0.0007695833333333333,5.771875,0.0019844542739116317,11064785.706351317,1.0664674201523673e-07,234,1.0015596659334256,11082043.075678168,1.0681307530566873e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.00015,16,void,0.0010666666666666667,8.0,0.0019844542739116317,13058325.335900607,9.951234502343567e-08,450,1.0015596659334256,13078691.9610746,9.966755103792402e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.00015,16,matched_control,0.0004725,3.5437499999999997,0.0019844542739116317,7179550.027050548,9.429004760048858e-08,84,1.0015596659334256,7179550.027050548,9.429004760048858e-08,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.00015,16,matched_control,0.0007695833333333333,5.771875,0.0019844542739116317,11073202.947652392,1.2250140825995745e-07,234,1.0015596659334256,11073202.947652392,1.2250140825995745e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.00015,16,matched_control,0.0010666666666666667,8.0,0.0019844542739116317,13065910.35971728,1.3234670180418977e-07,450,1.0015596659334256,13065910.35971728,1.3234670180418977e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
medium,0.00015,32,void,0.0004725,3.5437499999999997,0.0019773119399688725,7185778.436590624,1.4291772106579654e-07,32,1.0016777767992433,7197834.568936039,1.4315750510240146e-07,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
