Kmax,R,action_source,candidate_id,committed_length_m,cycles_total,energy_admitted_length_m,energy_gate_reason,event_K_Pa_sqrt_m,geometry_advanced,hazard_event_index,partial_block_hazard_action,physical_hazard_action,producer_head,projected_extension_m,proposed_length_m,result_path,seed,threshold_action
16.5,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,2.2973400956248823e-06,5.859492179883797,2.2973400956248734e-06,stochastic_proposal_reached,16484102.505046632,True,2,0.004735693787404665,0.004735693787404665,f2d692263518b64a9bbef5619fea9fe359dee037,6.813524415480595e-06,2.2973400956248734e-06,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_16.5_R_0.1_seed_1720__attempt0,1720,0.004735693787404665
16.5,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,2.2973400956248535e-06,11.841066247613414,2.2973400956248734e-06,stochastic_proposal_reached,16484102.505046632,True,3,0.3950191108768781,0.4743474603364672,f2d692263518b64a9bbef5619fea9fe359dee037,9.072674407600238e-06,2.2973400956248734e-06,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_16.5_R_0.1_seed_1720__attempt0,1720,0.4743474603364672
16.5,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,4.88526134735925e-06,25.72850601948024,4.885261347359207e-06,stochastic_proposal_reached,14657410.570531404,True,4,0.9862201711193127,1.0632429557402874,f2d692263518b64a9bbef5619fea9fe359dee037,1.3901491504277573e-05,4.885261347359207e-06,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_16.5_R_0.1_seed_1720__attempt0,1720,1.063242955769338
16.5,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,1.8103921928511132e-05,73.82150651652793,1.8103921928511085e-05,stochastic_proposal_reached,15248661.8713464,True,5,3.8595435844294794,3.9401919555618057,f2d692263518b64a9bbef5619fea9fe359dee037,3.09080229287268e-05,1.8103921928511085e-05,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_16.5_R_0.1_seed_1720__attempt0,1720,3.9401919556857865
16.5,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,1.837872076499903e-05,137.81613153558567,1.8378720764998988e-05,stochastic_proposal_reached,16484102.505046632,True,6,4.613335825985095,4.685684778076527,f2d692263518b64a9bbef5619fea9fe359dee037,4.881011339240228e-05,1.8378720764998988e-05,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_16.5_R_0.1_seed_1720__attempt0,1720,4.685684778076526
16.5,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,3.915429283998443e-06,148.8840081718514,3.915429283998476e-06,stochastic_proposal_reached,15734280.105880212,True,7,0.7770497291844639,0.8521657919641812,f2d692263518b64a9bbef5619fea9fe359dee037,5.212124456775041e-05,3.915429283998476e-06,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_16.5_R_0.1_seed_1720__attempt0,1720,0.8521657919641812
16.5,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,7.942972636582512e-06,174.94672794643043,7.942972636582507e-06,stochastic_proposal_reached,15734280.105880212,True,8,1.6631609495274176,1.7287324266239865,f2d692263518b64a9bbef5619fea9fe359dee037,5.988467515265217e-05,7.942972636582507e-06,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_16.5_R_0.1_seed_1720__attempt0,1720,1.7287324266244588
16.5,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,2.297340095624919e-06,178.0009566218903,2.2973400956248734e-06,stochastic_proposal_reached,16105956.211501159,True,9,0.1534892104273548,0.22319952712576382,f2d692263518b64a9bbef5619fea9fe359dee037,6.212243646061164e-05,2.2973400956248734e-06,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_16.5_R_0.1_seed_1720__attempt0,1720,0.2231995271257637
16.5,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,8.718789407138025e-06,204.006090580666,8.718789407138008e-06,stochastic_proposal_reached,16484102.505046632,True,10,1.825659699791374,1.8975835192495756,f2d692263518b64a9bbef5619fea9fe359dee037,7.069628804572982e-05,8.718789407138008e-06,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_16.5_R_0.1_seed_1720__attempt0,1720,1.8975835192495756
16.5,0.1,checked_event_transaction,P40_TRANSFER_CALIBRATED_GEN2,2.6488656860629307e-06,210.971752995065,2.6488656860629024e-06,stochastic_proposal_reached,16357330.706993986,True,11,0.4932416729365916,0.5765070855437302,f2d692263518b64a9bbef5619fea9fe359dee037,7.307393604208878e-05,2.6488656860629024e-06,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_worktrees/v10230-prospective-paris-candidate-design/runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_16.5_R_0.1_seed_1720__attempt0,1720,0.5765070855437306
