condition_id,observable,T_K,Kdot,Kmax,R,frequency_Hz,cycles_max,target_rate_s
fat_T1100_K20_f1000_R01,fatigue_life,1100.0,,20.0,0.1,1000.0,1000000000000.0,
fat_T1100_K28_f1000_R01,fatigue_life,1100.0,,28.0,0.1,1000.0,1000000000000.0,
fat_T1100_K40_f1000_R01,fatigue_life,1100.0,,40.0,0.1,1000.0,1000000000000.0,
fat_T1100_K56_f1000_R01,fatigue_life,1100.0,,56.0,0.1,1000.0,1000000000000.0,
fat_T700_K10_f100_R01,fatigue_life,700.0,,10.0,0.1,100.0,1000000000000.0,
fat_T700_K10_f10000_R01,fatigue_life,700.0,,10.0,0.1,10000.0,1000000000000.0,
fat_T700_K10_f1000_R05,fatigue_life,700.0,,10.0,0.5,1000.0,1000000000000.0,
fat_T700_K20_f100_R01,fatigue_life,700.0,,20.0,0.1,100.0,1000000000000.0,
fat_T700_K20_f10000_R01,fatigue_life,700.0,,20.0,0.1,10000.0,1000000000000.0,
fat_T700_K20_f1000_R05,fatigue_life,700.0,,20.0,0.5,1000.0,1000000000000.0,
fat_T700_K40_f100_R01,fatigue_life,700.0,,40.0,0.1,100.0,1000000000000.0,
fat_T700_K40_f10000_R01,fatigue_life,700.0,,40.0,0.1,10000.0,1000000000000.0,
fat_T700_K40_f1000_R05,fatigue_life,700.0,,40.0,0.5,1000.0,1000000000000.0,
sigy_T300_r0.0001,strength,300.0,,,,,,0.0001
sigy_T500_r0.0001,strength,500.0,,,,,,0.0001
sigy_T700_r0.0001,strength,700.0,,,,,,0.0001
sigy_T900_r0.0001,strength,900.0,,,,,,0.0001
sigy_T1100_r0.0001,strength,1100.0,,,,,,0.0001
sigy_T300_r1,strength,300.0,,,,,,1.0
sigy_T500_r1,strength,500.0,,,,,,1.0
sigy_T700_r1,strength,700.0,,,,,,1.0
sigy_T900_r1,strength,900.0,,,,,,1.0
sigy_T1100_r1,strength,1100.0,,,,,,1.0
sigy_T300_r100,strength,300.0,,,,,,100.0
sigy_T500_r100,strength,500.0,,,,,,100.0
sigy_T700_r100,strength,700.0,,,,,,100.0
sigy_T900_r100,strength,900.0,,,,,,100.0
sigy_T1100_r100,strength,1100.0,,,,,,100.0
