analysis_family,context_id,row_class,column_class,observed,expected,standardized_residual
strength_vs_fracture_class,ctx_shifted_ductile_case64,plateau,ceramic_like,766,710.7442708333333,2.072624514227393
strength_vs_fracture_class,ctx_shifted_ductile_case64,plateau,peak_shaped,0,55.25572916666667,-7.433419749123997
strength_vs_fracture_class,ctx_shifted_ductile_case64,strong_softening,ceramic_like,474,439.8078125,1.6304046922241744
strength_vs_fracture_class,ctx_shifted_ductile_case64,strong_softening,peak_shaped,0,34.1921875,-5.847408614078548
fracture_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,ceramic_like,intermediate_temperature_window,1852,1906.76171875,-1.2540904432475093
fracture_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,ceramic_like,low_temperature_endurance,580,572.4924479166667,0.31377148474474686
fracture_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,ceramic_like,no_endurance,1131,1083.7458333333334,1.4354113910256074
fracture_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,peak_shaped,intermediate_temperature_window,203,148.23828125,4.497766288120314
fracture_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,peak_shaped,low_temperature_endurance,37,44.50755208333333,-1.1253341526180967
fracture_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,peak_shaped,no_endurance,37,84.25416666666666,-5.1480696618821735
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,highT_anomaly,intermediate_temperature_window,381,381.56640625,-0.0289963258183737
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,highT_anomaly,low_temperature_endurance,149,114.56276041666666,3.217411407418244
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,highT_anomaly,no_endurance,183,216.87083333333334,-2.2999866102649724
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,lowT_anomaly,intermediate_temperature_window,389,342.5,2.5125960053560914
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,lowT_anomaly,low_temperature_endurance,88,102.83333333333333,-1.462755701048824
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,lowT_anomaly,no_endurance,163,194.66666666666666,-2.269637792195608
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,midT_anomaly,intermediate_temperature_window,486,434.546875,2.468274412969726
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,midT_anomaly,low_temperature_endurance,47,130.46979166666668,-7.307592898696219
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,midT_anomaly,no_endurance,279,246.98333333333332,2.0372404500956565
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,ordinary_softening,intermediate_temperature_window,231,232.79296875,-0.11751350796072055
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,ordinary_softening,low_temperature_endurance,99,69.89453125,3.481392583343156
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,ordinary_softening,no_endurance,105,132.3125,-2.374438998456801
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,plateau,intermediate_temperature_window,415,409.9296875,0.2504263602432283
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,plateau,low_temperature_endurance,156,123.07864583333334,2.967469994287276
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,plateau,no_endurance,195,232.99166666666667,-2.4889613468082534
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,strong_softening,intermediate_temperature_window,153,253.6640625,-6.3204060697979285
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,strong_softening,low_temperature_endurance,78,76.1609375,0.2107319317012706
strength_vs_fatigue_temperature_phenotype,ctx_shifted_ductile_case64,strong_softening,no_endurance,243,144.175,8.230417063702365
fracture_vs_growth_threshold_class,ctx_shifted_ductile_case64,ceramic_like,threshold_loss_by_500K,8,7.333333333333333,0.2461829819586656
fracture_vs_growth_threshold_class,ctx_shifted_ductile_case64,ceramic_like,threshold_loss_by_700K,80,80.66666666666667,-0.07422696190252107
fracture_vs_growth_threshold_class,ctx_shifted_ductile_case64,peak_shaped,threshold_loss_by_500K,0,0.6666666666666666,-0.816496580927726
fracture_vs_growth_threshold_class,ctx_shifted_ductile_case64,peak_shaped,threshold_loss_by_700K,8,7.333333333333333,0.2461829819586656
strength_vs_growth_threshold_class,ctx_shifted_ductile_case64,highT_anomaly,threshold_loss_by_500K,0,1.5,-1.2247448713915892
strength_vs_growth_threshold_class,ctx_shifted_ductile_case64,highT_anomaly,threshold_loss_by_700K,18,16.5,0.3692744729379982
strength_vs_growth_threshold_class,ctx_shifted_ductile_case64,lowT_anomaly,threshold_loss_by_500K,0,1.5,-1.2247448713915892
strength_vs_growth_threshold_class,ctx_shifted_ductile_case64,lowT_anomaly,threshold_loss_by_700K,18,16.5,0.3692744729379982
strength_vs_growth_threshold_class,ctx_shifted_ductile_case64,midT_anomaly,threshold_loss_by_500K,0,1.25,-1.118033988749895
strength_vs_growth_threshold_class,ctx_shifted_ductile_case64,midT_anomaly,threshold_loss_by_700K,15,13.75,0.337099931231621
strength_vs_growth_threshold_class,ctx_shifted_ductile_case64,ordinary_softening,threshold_loss_by_500K,1,1.25,-0.22360679774997896
strength_vs_growth_threshold_class,ctx_shifted_ductile_case64,ordinary_softening,threshold_loss_by_700K,14,13.75,0.06741998624632421
strength_vs_growth_threshold_class,ctx_shifted_ductile_case64,plateau,threshold_loss_by_500K,0,1.25,-1.118033988749895
strength_vs_growth_threshold_class,ctx_shifted_ductile_case64,plateau,threshold_loss_by_700K,15,13.75,0.337099931231621
strength_vs_growth_threshold_class,ctx_shifted_ductile_case64,strong_softening,threshold_loss_by_500K,7,1.25,5.142956348249516
strength_vs_growth_threshold_class,ctx_shifted_ductile_case64,strong_softening,threshold_loss_by_700K,8,13.75,-1.5506596836654567
growth_threshold_vs_SN_temperature_phenotype,ctx_shifted_ductile_case64,threshold_loss_by_500K,intermediate_temperature_window,2,2.6666666666666665,-0.4082482904638629
growth_threshold_vs_SN_temperature_phenotype,ctx_shifted_ductile_case64,threshold_loss_by_500K,low_temperature_endurance,0,2.6666666666666665,-1.632993161855452
growth_threshold_vs_SN_temperature_phenotype,ctx_shifted_ductile_case64,threshold_loss_by_500K,no_endurance,6,2.6666666666666665,2.041241452319315
growth_threshold_vs_SN_temperature_phenotype,ctx_shifted_ductile_case64,threshold_loss_by_700K,intermediate_temperature_window,30,29.333333333333332,0.12309149097933296
growth_threshold_vs_SN_temperature_phenotype,ctx_shifted_ductile_case64,threshold_loss_by_700K,low_temperature_endurance,32,29.333333333333332,0.4923659639173312
growth_threshold_vs_SN_temperature_phenotype,ctx_shifted_ductile_case64,threshold_loss_by_700K,no_endurance,26,29.333333333333332,-0.6154574548966635
strength_vs_fracture_class,ctx_steep_cleavage_case35,highT_anomaly,ceramic_like,660,551.0895833333333,4.639362614831886
strength_vs_fracture_class,ctx_steep_cleavage_case35,highT_anomaly,peak_shaped,53,161.91041666666666,-8.559177332325277
strength_vs_fracture_class,ctx_steep_cleavage_case35,lowT_anomaly,ceramic_like,529,494.6666666666667,1.5436884220252143
strength_vs_fracture_class,ctx_steep_cleavage_case35,lowT_anomaly,peak_shaped,111,145.33333333333334,-2.8479565075880555
strength_vs_fracture_class,ctx_steep_cleavage_case35,midT_anomaly,ceramic_like,104,627.6083333333333,-20.90076581013225
strength_vs_fracture_class,ctx_steep_cleavage_case35,midT_anomaly,peak_shaped,708,184.39166666666668,38.55990052995796
strength_vs_fracture_class,ctx_steep_cleavage_case35,ordinary_softening,ceramic_like,435,336.21875,5.387205630134023
strength_vs_fracture_class,ctx_steep_cleavage_case35,ordinary_softening,peak_shaped,0,98.78125,-9.93887569094211
strength_vs_fracture_class,ctx_steep_cleavage_case35,plateau,ceramic_like,766,592.0541666666667,7.148802669305683
strength_vs_fracture_class,ctx_steep_cleavage_case35,plateau,peak_shaped,0,173.94583333333333,-13.188852616256401
strength_vs_fracture_class,ctx_steep_cleavage_case35,strong_softening,ceramic_like,474,366.3625,5.623518073733422
strength_vs_fracture_class,ctx_steep_cleavage_case35,strong_softening,peak_shaped,0,107.6375,-10.374849396497282
fracture_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,ceramic_like,intermediate_temperature_window,1537,1588.34375,-1.2882950434096325
fracture_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,ceramic_like,low_temperature_endurance,563,476.88958333333335,3.9431815448971834
fracture_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,ceramic_like,no_endurance,868,902.7666666666667,-1.1571117300353069
fracture_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,peak_shaped,intermediate_temperature_window,518,466.65625,2.376780314098882
fracture_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,peak_shaped,low_temperature_endurance,54,140.11041666666668,-7.274790288741066
fracture_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,peak_shaped,no_endurance,300,265.23333333333335,2.1347597316543814
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,highT_anomaly,intermediate_temperature_window,381,381.56640625,-0.0289963258183737
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,highT_anomaly,low_temperature_endurance,149,114.56276041666666,3.217411407418244
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,highT_anomaly,no_endurance,183,216.87083333333334,-2.2999866102649724
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,lowT_anomaly,intermediate_temperature_window,389,342.5,2.5125960053560914
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,lowT_anomaly,low_temperature_endurance,88,102.83333333333333,-1.462755701048824
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,lowT_anomaly,no_endurance,163,194.66666666666666,-2.269637792195608
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,midT_anomaly,intermediate_temperature_window,486,434.546875,2.468274412969726
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,midT_anomaly,low_temperature_endurance,47,130.46979166666668,-7.307592898696219
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,midT_anomaly,no_endurance,279,246.98333333333332,2.0372404500956565
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,ordinary_softening,intermediate_temperature_window,231,232.79296875,-0.11751350796072055
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,ordinary_softening,low_temperature_endurance,99,69.89453125,3.481392583343156
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,ordinary_softening,no_endurance,105,132.3125,-2.374438998456801
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,plateau,intermediate_temperature_window,415,409.9296875,0.2504263602432283
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,plateau,low_temperature_endurance,156,123.07864583333334,2.967469994287276
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,plateau,no_endurance,195,232.99166666666667,-2.4889613468082534
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,strong_softening,intermediate_temperature_window,153,253.6640625,-6.3204060697979285
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,strong_softening,low_temperature_endurance,78,76.1609375,0.2107319317012706
strength_vs_fatigue_temperature_phenotype,ctx_steep_cleavage_case35,strong_softening,no_endurance,243,144.175,8.230417063702365
fracture_vs_growth_threshold_class,ctx_steep_cleavage_case35,ceramic_like,intermediate_threshold_window,0,8.708333333333334,-2.950988534937629
fracture_vs_growth_threshold_class,ctx_steep_cleavage_case35,ceramic_like,mixed_or_unresolved,1,0.7916666666666666,0.23414645289542355
fracture_vs_growth_threshold_class,ctx_steep_cleavage_case35,ceramic_like,threshold_loss_by_300K,2,1.5833333333333333,0.331133089266261
fracture_vs_growth_threshold_class,ctx_steep_cleavage_case35,ceramic_like,threshold_loss_by_500K,5,3.9583333333333335,0.5235673853646193
fracture_vs_growth_threshold_class,ctx_steep_cleavage_case35,ceramic_like,threshold_loss_by_700K,68,60.958333333333336,0.9019011084804367
fracture_vs_growth_threshold_class,ctx_steep_cleavage_case35,peak_shaped,intermediate_threshold_window,11,2.2916666666666665,5.752535672785235
fracture_vs_growth_threshold_class,ctx_steep_cleavage_case35,peak_shaped,mixed_or_unresolved,0,0.20833333333333334,-0.45643546458763845
fracture_vs_growth_threshold_class,ctx_steep_cleavage_case35,peak_shaped,threshold_loss_by_300K,0,0.4166666666666667,-0.6454972243679029
fracture_vs_growth_threshold_class,ctx_steep_cleavage_case35,peak_shaped,threshold_loss_by_500K,0,1.0416666666666667,-1.0206207261596576
fracture_vs_growth_threshold_class,ctx_steep_cleavage_case35,peak_shaped,threshold_loss_by_700K,9,16.041666666666668,-1.758128924742812
strength_vs_growth_threshold_class,ctx_steep_cleavage_case35,highT_anomaly,intermediate_threshold_window,2,2.0625,-0.04351941398892446
strength_vs_growth_threshold_class,ctx_steep_cleavage_case35,highT_anomaly,mixed_or_unresolved,0,0.1875,-0.43301270189221935
strength_vs_growth_threshold_class,ctx_steep_cleavage_case35,highT_anomaly,threshold_loss_by_300K,0,0.375,-0.6123724356957946
strength_vs_growth_threshold_class,ctx_steep_cleavage_case35,highT_anomaly,threshold_loss_by_500K,0,0.9375,-0.9682458365518541
strength_vs_growth_threshold_class,ctx_steep_cleavage_case35,highT_anomaly,threshold_loss_by_700K,16,14.4375,0.41121980934985564
strength_vs_growth_threshold_class,ctx_steep_cleavage_case35,lowT_anomaly,intermediate_threshold_window,4,2.0625,1.3491018336566583
strength_vs_growth_threshold_class,ctx_steep_cleavage_case35,lowT_anomaly,mixed_or_unresolved,0,0.1875,-0.43301270189221935
strength_vs_growth_threshold_class,ctx_steep_cleavage_case35,lowT_anomaly,threshold_loss_by_300K,0,0.375,-0.6123724356957946
strength_vs_growth_threshold_class,ctx_steep_cleavage_case35,lowT_anomaly,threshold_loss_by_500K,0,0.9375,-0.9682458365518541
strength_vs_growth_threshold_class,ctx_steep_cleavage_case35,lowT_anomaly,threshold_loss_by_700K,14,14.4375,-0.11514154661795957
strength_vs_growth_threshold_class,ctx_steep_cleavage_case35,midT_anomaly,intermediate_threshold_window,5,1.71875,2.5028392967696798
strength_vs_growth_threshold_class,ctx_steep_cleavage_case35,midT_anomaly,mixed_or_unresolved,0,0.15625,-0.3952847075210474
strength_vs_growth_threshold_class,ctx_steep_cleavage_case35,midT_anomaly,threshold_loss_by_300K,0,0.3125,-0.5590169943749475
strength_vs_growth_threshold_class,ctx_steep_cleavage_case35,midT_anomaly,threshold_loss_by_500K,0,0.78125,-0.8838834764831843
strength_vs_growth_threshold_class,ctx_steep_cleavage_case35,midT_anomaly,threshold_loss_by_700K,10,12.03125,-0.5856093507521133
strength_vs_growth_threshold_class,ctx_steep_cleavage_case35,ordinary_softening,intermediate_threshold_window,0,1.71875,-1.3110110602126894
