figure_panel,scientific_question,analysis_family,context,temperature_K,SN_definition,metric,estimate,ci95_low,ci95_high,p_value,n
C,SN_endurance_vs_DKth_same_T,SN_endurance_vs_DKth_same_T,Steep cleavage,100.0,strict_endurance_vs_continuous,AUC,0.8189655172413793,0.6887620344444019,0.9281416973971572,,87
C,SN_endurance_vs_DKth_same_T,SN_endurance_vs_DKth_same_T,Slow threshold,100.0,strict_endurance_vs_continuous,AUC,0.7636741973840666,0.6435144716394716,0.8702715780296425,,87
C,SN_endurance_vs_DKth_same_T,SN_endurance_vs_DKth_same_T,Higher barrier,100.0,strict_endurance_vs_continuous,AUC,0.7922116527942925,0.6669675925925925,0.8934889713258052,,87
C,SN_endurance_vs_DKth_same_T,SN_endurance_vs_DKth_same_T,Strong plastic shielding,100.0,strict_endurance_vs_continuous,AUC,0.5,0.5,0.5,,96
C,SN_endurance_vs_strength_metric::available_anomaly_gain_frac_exact,SN_endurance_vs_strength_metric::available_anomaly_gain_frac_exact,strength_only,100.0,strict_endurance_vs_continuous,AUC,0.46116930149849283,0.4412328790915374,0.48102037372330003,,2997
C,SN_endurance_vs_Kc_same_T,SN_endurance_vs_Kc_same_T,FCC-like,300.0,strict_endurance_vs_continuous,AUC,0.918178402611711,0.9094580241346003,0.9271798012016257,,3777
C,SN_endurance_vs_Kc_same_T,SN_endurance_vs_Kc_same_T,Shifted ductile,300.0,strict_endurance_vs_continuous,AUC,0.9331001488747517,0.9251633610545426,0.9411040048905867,,3777
C,SN_endurance_vs_Kc_same_T,SN_endurance_vs_Kc_same_T,Steep cleavage,300.0,strict_endurance_vs_continuous,AUC,0.9223952982882506,0.9138608797964594,0.9310968350556783,,3777
C,SN_endurance_vs_Kc_same_T,SN_endurance_vs_Kc_same_T,Slow threshold,300.0,strict_endurance_vs_continuous,AUC,0.9326994732688303,0.9242350690029487,0.9409984759717304,,3777
C,SN_endurance_vs_Kc_same_T,SN_endurance_vs_Kc_same_T,Higher barrier,300.0,strict_endurance_vs_continuous,AUC,0.9327175255312583,0.9245561656242846,0.9408681890739858,,3777
C,SN_endurance_vs_Kc_same_T,SN_endurance_vs_Kc_same_T,Strong plastic shielding,300.0,strict_endurance_vs_continuous,AUC,0.1318819314341225,0.11829608996196644,0.14548918630666605,,3777
C,SN_endurance_vs_DKth_same_T,SN_endurance_vs_DKth_same_T,FCC-like,300.0,strict_endurance_vs_continuous,AUC,0.9922360248447205,0.9784815464331754,1.0,,95
C,SN_endurance_vs_DKth_same_T,SN_endurance_vs_DKth_same_T,Shifted ductile,300.0,strict_endurance_vs_continuous,AUC,0.9960070984915705,0.9862636144883485,1.0,,95
C,SN_endurance_vs_DKth_same_T,SN_endurance_vs_DKth_same_T,Steep cleavage,300.0,strict_endurance_vs_continuous,AUC,0.9920141969831411,0.9773297853309482,1.0,,95
C,SN_endurance_vs_DKth_same_T,SN_endurance_vs_DKth_same_T,Slow threshold,300.0,strict_endurance_vs_continuous,AUC,0.9986690328305236,0.9933510638297872,1.0,,95
C,SN_endurance_vs_DKth_same_T,SN_endurance_vs_DKth_same_T,Higher barrier,300.0,strict_endurance_vs_continuous,AUC,0.9960070984915705,0.9862636144883485,1.0,,95
C,SN_endurance_vs_DKth_same_T,SN_endurance_vs_DKth_same_T,Strong plastic shielding,300.0,strict_endurance_vs_continuous,AUC,0.0026619343389529724,0.0,0.00976085970620132,,95
C,SN_endurance_vs_strength_metric::available_anomaly_gain_frac_exact,SN_endurance_vs_strength_metric::available_anomaly_gain_frac_exact,strength_only,300.0,strict_endurance_vs_continuous,AUC,0.49427136837841606,0.47722610806833216,0.5102056089149115,,3777
C,SN_endurance_vs_Kc_same_T,SN_endurance_vs_Kc_same_T,FCC-like,500.0,strict_endurance_vs_continuous,AUC,0.48535653070333123,0.47545835223839467,0.4953076228001194,,2938
C,SN_endurance_vs_Kc_same_T,SN_endurance_vs_Kc_same_T,Shifted ductile,500.0,strict_endurance_vs_continuous,AUC,0.5294233002082662,0.5132163624668598,0.5449138715954133,,2938
C,SN_endurance_vs_Kc_same_T,SN_endurance_vs_Kc_same_T,Steep cleavage,500.0,strict_endurance_vs_continuous,AUC,0.3753119037528109,0.35759348983691885,0.3943412432269748,,2938
C,SN_endurance_vs_Kc_same_T,SN_endurance_vs_Kc_same_T,Slow threshold,500.0,strict_endurance_vs_continuous,AUC,0.42954256973865185,0.4129310707421977,0.44738758944374024,,2938
C,SN_endurance_vs_Kc_same_T,SN_endurance_vs_Kc_same_T,Higher barrier,500.0,strict_endurance_vs_continuous,AUC,0.38124778646789126,0.36397704629567185,0.40057611394400994,,2938
C,SN_endurance_vs_Kc_same_T,SN_endurance_vs_Kc_same_T,Strong plastic shielding,500.0,strict_endurance_vs_continuous,AUC,0.6047822473787225,0.5861673720649163,0.6223363882013475,,2938
C,SN_endurance_vs_DKth_same_T,SN_endurance_vs_DKth_same_T,FCC-like,500.0,strict_endurance_vs_continuous,AUC,0.6675020885547202,0.4999868697478992,0.8189845722853533,,82
C,SN_endurance_vs_DKth_same_T,SN_endurance_vs_DKth_same_T,Shifted ductile,500.0,strict_endurance_vs_continuous,AUC,0.6111111111111112,0.4729592005015808,0.7470613302139038,,82
C,SN_endurance_vs_DKth_same_T,SN_endurance_vs_DKth_same_T,Steep cleavage,500.0,strict_endurance_vs_continuous,AUC,0.42063492063492064,0.25997628558634994,0.589786473607038,,82
C,SN_endurance_vs_DKth_same_T,SN_endurance_vs_DKth_same_T,Slow threshold,500.0,strict_endurance_vs_continuous,AUC,0.5071010860484545,0.3318194240067269,0.6837579240518615,,82
C,SN_endurance_vs_DKth_same_T,SN_endurance_vs_DKth_same_T,Higher barrier,500.0,strict_endurance_vs_continuous,AUC,0.4678362573099415,0.2980025902176663,0.6501796789670774,,82
C,SN_endurance_vs_DKth_same_T,SN_endurance_vs_DKth_same_T,Strong plastic shielding,500.0,strict_endurance_vs_continuous,AUC,0.6299081035923141,0.4914006331699346,0.7669835541263238,,82
C,SN_endurance_vs_strength_metric::available_anomaly_gain_frac_exact,SN_endurance_vs_strength_metric::available_anomaly_gain_frac_exact,strength_only,500.0,strict_endurance_vs_continuous,AUC,0.47844345327214527,0.46183028489544503,0.4964417193683787,,2808
