framework,class,T_K,Kc_first_MPa_sqrt_m,n_growth_events,case_dir,source_file,crack_extension_um,n_r_curve_points,K_mean_all_points_MPa_sqrt_m,K_median_all_points_MPa_sqrt_m,K_std_all_points_MPa_sqrt_m,K_first_rcurve_MPa_sqrt_m,K_last_rcurve_MPa_sqrt_m,is_complete,K_analytic_interp_MPa_sqrt_m,error_vs_analytic_MPa_sqrt_m,relative_error_vs_analytic,percent_error_vs_analytic
FEM/CZM,ceramic,400,10.63357500753692,135,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/ceramic/T400_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,500.387221507801,135,13.499166940587543,13.392846987968271,2.276718705414695,10.63357500753692,15.797945322906497,True,10.58,0.05357500753692079,0.005063800334302532,0.5063800334302532
PF sharp-front,ceramic,400,10.35953092310053,134,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/ceramic/T400_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,503.08119815160825,134,15.50189683155678,15.429685715127995,2.370219107107931,10.35953092310053,14.917121061326574,True,10.58,-0.22046907689946948,-0.02083828704153776,-2.083828704153776
FEM/CZM,ceramic,500,9.391240202806369,130,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/ceramic/T500_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,500.8686013279354,130,13.063994387125497,12.966234081801407,3.2030844487034686,9.391240202806369,12.140179563237156,True,9.48,-0.08875979719363158,-0.009362847805235398,-0.9362847805235398
PF sharp-front,ceramic,500,9.105376296930537,32,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/ceramic/T500_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,123.97616943044464,32,11.665318947580213,10.558383569421032,2.313436192200661,9.105376296930537,9.97679829875863,False,9.48,-0.3746237030694637,-0.03951726825627254,-3.951726825627254
FEM/CZM,ceramic,600,8.149772064265631,136,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/ceramic/T600_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,501.7930724438887,136,11.351697884582617,9.862147495290342,3.4497084795473882,8.14977206426563,13.834698616371124,True,8.36,-0.21022793573436793,-0.02514688226487655,-2.514688226487655
PF sharp-front,ceramic,600,7.874015847311582,27,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/ceramic/T600_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,105.06213207314848,27,10.446174583826807,9.526128355330211,2.1436156296096476,7.874015847311581,7.824786521313777,False,8.36,-0.48598415268841766,-0.058132075680432736,-5.813207568043274
FEM/CZM,ceramic,700,6.692313586482256,129,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/ceramic/T700_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,502.0203694522877,129,9.50813776079043,9.72573313883946,1.7963929703937525,6.692313586482256,11.409526266918483,True,7.12,-0.42768641351774406,-0.06006831650530113,-6.006831650530113
PF sharp-front,ceramic,700,6.622861188643316,133,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/ceramic/T700_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,501.4248065801591,133,12.17832129918952,12.99653289429729,2.4620102954937657,6.622861188643316,12.755213544503164,True,7.12,-0.4971388113566837,-0.06982286676357917,-6.9822866763579166
FEM/CZM,ceramic,800,5.459509747322313,136,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/ceramic/T800_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,501.424291007643,136,8.126303832182487,6.503157159184751,2.846620733970782,5.459509747322313,12.520615698116693,True,5.68,-0.22049025267768663,-0.038818706457339196,-3.8818706457339194
PF sharp-front,ceramic,800,5.139640682145098,26,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/ceramic/T800_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,100.06649634953406,26,7.3453723941176,6.462642930907764,1.6350845889211398,5.139640682145098,5.790532769310713,False,5.68,-0.540359317854902,-0.09513368272093345,-9.513368272093345
