framework,class,T_K,Kc_first_MPa_sqrt_m,crack_extension_um,n_growth_events,case_dir,record_source,source_priority,source_file,rate_factor,rate_label,n_r_curve_points,K_mean_all_points_MPa_sqrt_m,K_median_all_points_MPa_sqrt_m,K_p10_all_points_MPa_sqrt_m,K_p90_all_points_MPa_sqrt_m,is_complete,first_passage_MPa_sqrt_m,K_analytic_interp_MPa_sqrt_m,error_vs_analytic_MPa_sqrt_m,relative_error_vs_analytic,percent_error_vs_analytic
FEM/CZM,DBTT,600.0,22.73499202927529,502.15429550520287,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T600_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T600_th45/summary.json,10.0,10x,129,27.719216469722046,26.662539394100193,22.691223056078915,35.334667031066196,True,22.73499202927529,20.96,1.774992029275289,0.08468473422114928,8.468473422114927
FEM/CZM,DBTT,700.0,22.145427099335812,503.69712330909664,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T700_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T700_th45/summary.json,10.0,10x,134,26.331171613401008,26.105641828240145,22.130142464210845,31.447707610031046,True,22.145427099335812,20.22,1.9254270993358134,0.0952238921531065,9.52238921531065
FEM/CZM,DBTT,800.0,22.024903829426208,500.1888415496352,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T800_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T800_th45/summary.json,10.0,10x,129,27.25042523909014,26.425424052842597,21.766939248404107,34.37849968053448,True,22.024903829426208,19.98,2.0449038294262074,0.10234753901032069,10.23475390103207
FEM/CZM,DBTT,900.0,23.800275538613963,503.11539540574154,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T900_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T900_th45/summary.json,10.0,10x,129,26.475811714298697,25.79949721697891,21.68055473297605,31.895058564902772,True,23.800275538613963,21.82,1.980275538613963,0.09075506593097905,9.075506593097906
FEM/CZM,DBTT,1000.0,32.704916995264,502.4173700777471,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T1000_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T1000_th45/summary.json,10.0,10x,129,28.933299429652863,29.1395705634302,23.23732108074961,33.228315087231465,True,32.704916995264,32.0,0.704916995264,0.022028656102,2.2028656102
FEM/CZM,DBTT,1100.0,44.86863336357993,502.5160165706298,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T1100_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T1100_th45/summary.json,10.0,10x,141,33.077893933354886,33.994280349401606,26.500556900083435,37.7975981150296,True,44.86863336357993,44.76,0.10863336357993347,0.002427018846736673,0.2427018846736673
FEM/CZM,DBTT,1200.0,50.59368648953897,500.2114002106582,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T1200_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_10x/DBTT/T1200_th45/summary.json,10.0,10x,138,38.27825163183909,39.467648791351195,30.023369859585095,47.505152602592474,True,50.59368648953897,50.7,-0.10631351046103532,-0.0020969134213221956,-0.20969134213221957
FEM/CZM,DBTT,300.0,26.959293515683573,501.73971370430417,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T300_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T300_th45/summary.json,100.0,100x,130,33.52552027088031,32.48876297157152,27.210546149592265,39.51275307138476,True,26.959293515683573,26.4,0.5592935156835743,0.021185360442559635,2.1185360442559635
FEM/CZM,DBTT,400.0,25.08450519801196,502.5063323611464,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T400_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T400_th45/summary.json,100.0,100x,131,30.53050950161503,30.269327481083025,25.193410352012453,38.122582128107,True,25.08450519801196,23.96,1.1245051980119598,0.04693260425759432,4.693260425759432
FEM/CZM,DBTT,500.0,23.795758784016236,500.71782958328936,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T500_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_100x/DBTT/T500_th45/summary.json,100.0,100x,127,28.316998642912374,28.216290162684516,24.01434102922052,32.43613455456002,True,23.795758784016236,22.46,1.3357587840162353,0.05947278646554921,5.9472786465549206
