regime,noise_realization,acquisition,n_observations,cost,cost_per_observation,nfev,success,condition_number,effective_rank,full_column_rank,true_cleave_H0_eV,fit_cleave_H0_eV,abs_error_cleave_H0_eV,true_cleave_S_sigma_max_kB,fit_cleave_S_sigma_max_kB,abs_error_cleave_S_sigma_max_kB,true_chi_shield,fit_chi_shield,abs_error_chi_shield,true_sat_strength,fit_sat_strength,abs_error_sat_strength,true_emit_H0_eV,fit_emit_H0_eV,abs_error_emit_H0_eV,true_emit_S_T_c0_kB,fit_emit_S_T_c0_kB,abs_error_emit_S_T_c0_kB,true_emit_S_T_c1,fit_emit_S_T_c1,abs_error_emit_S_T_c1,true_emit_S_sigma_max_kB,fit_emit_S_sigma_max_kB,abs_error_emit_S_sigma_max_kB,rmse_G_cleave_eV,rmse_G_emit_eV,holdout_n_total,holdout_n_Kc,holdout_rmse_Kc_absolute,holdout_nrmse_Kc_sigma,holdout_n_fatigue_life,holdout_rmse_fatigue_life_decades,holdout_nrmse_fatigue_life_sigma,holdout_n_strength,holdout_rmse_strength_absolute,holdout_nrmse_strength_sigma
peak,0,F_add_strength,61,88.61429014842692,1.4526932811217528,28,True,59135.276431916536,8,True,3.6,3.304811127881444,0.29518887211855604,1.0,5.388665246190855,4.388665246190855,0.1,0.02522812588792654,0.07477187411207346,0.0,0.18354813052948665,0.18354813052948665,1.8,1.7820280406264135,0.017971959373586532,-20.0,-18.703620501873647,1.2963794981263526,0.02,0.01847805619044272,0.0015219438095572801,8.0,9.148783789178923,1.148783789178923,0.21491060072300877,0.053549820686244524,14,13.0,3.469607363057847,6.0325987796544425,,,,,,
peak,0,G_full_universe,75,69.71959642667966,0.9295946190223955,17,True,11522.528712576552,8,True,3.6,3.1376272956455655,0.46237270435443456,1.0,5.007874312718402,4.007874312718402,0.1,0.12354856217148344,0.023548562171483434,0.0,0.18589756992200177,0.18589756992200177,1.8,1.8058579651575974,0.0058579651575974,-20.0,-18.493580061107238,1.506419938892762,0.02,0.018494297244228623,0.0015057027557713772,8.0,9.314136217526773,1.314136217526773,0.21318560198952646,0.057212507173711534,0,,,,,,,,,
peak,1,A_sparse_fracture,4,12997.345893539947,3249.3364733849867,18,True,inf,2,False,3.6,2.0000000201780495,1.5999999798219506,1.0,9.596658645514264e-05,0.9999040334135448,0.1,0.020990465550515813,0.07900953444948419,0.0,0.015000000000000124,0.015000000000000124,1.8,2.4735008505644913,0.6735008505644913,-20.0,-37.41833053823921,17.41833053823921,0.02,0.0002500000000000011,0.01975,8.0,15.974946567090646,7.974946567090646,0.531214075037634,2.9837904140537557,71,24.0,5.101812847079274,58.02874719893343,7.0,5.863139890985205,29.315699454926023,10.0,246.12873763019724,5826.586083638626
peak,1,B_dense_fracture,10,572.8536924169242,57.28536924169242,30,False,20127161.706927534,8,True,3.6,2.640337729580348,0.9596622704196522,1.0,1.1079505492726573,0.10795054927265735,0.1,0.0009168774207744731,0.09908312257922554,0.0,0.6204510725834789,0.6204510725834789,1.8,1.7932500307109935,0.006749969289006508,-20.0,-23.841830244208154,3.841830244208154,0.02,0.02399430009113966,0.003994300091139661,8.0,7.7250264887108875,0.2749735112891125,0.3064651999859401,0.045736889811292904,65,18.0,4.137941110994552,9.247680853819757,7.0,4.616796094004176,23.08398047002088,10.0,75.75493666166652,362.5432645135854
peak,1,C_rate_fracture,16,83.20819548187674,5.200512217617296,30,False,166174.13650516703,8,True,3.6,3.559297892407861,0.040702107592139214,1.0,2.1626924007660437,1.1626924007660437,0.1,0.06403913614792862,0.03596086385207138,0.0,0.33111513320317143,0.33111513320317143,1.8,1.7241718167403086,0.07582818325969143,-20.0,-23.54842543881217,3.5484254388121705,0.02,0.023561259964903155,0.0035612599649031546,8.0,8.950509813950704,0.9505098139507044,0.05667344188733431,0.07655098976907726,59,13.0,2.0903786493224175,4.28029412039239,7.0,0.2134959689734437,1.0674798448672185,10.0,75.7566133890655,362.56121378226396
peak,1,D_add_fatigue,37,83.6882918071251,2.2618457245168946,30,False,105123.91180058949,8,True,3.6,3.607042461279889,0.007042461279888723,1.0,2.1859321450822478,1.1859321450822478,0.1,0.049061361337777235,0.05093863866222277,0.0,0.2953020386143942,0.2953020386143942,1.8,1.73890782861151,0.06109217138848999,-20.0,-21.716824242780266,1.716824242780266,0.02,0.022208616026671874,0.002208616026671873,8.0,8.881348845365284,0.8813488453652845,0.061127126964837616,0.04488391257933673,38,13.0,2.287222765775659,4.511936800717449,3.0,0.28832685753965903,1.441634287698295,10.0,75.75325610624746,362.50944606575666
peak,1,E_add_fatigue_protocols,46,85.86933251806414,1.8667246199579162,27,True,69725.05059759086,8,True,3.6,3.6197086206858464,0.019708620685846334,1.0,2.079730586764626,1.0797305867646259,0.1,0.03921614585392136,0.06078385414607865,0.0,0.32420389479841544,0.32420389479841544,1.8,1.7199076966947011,0.08009230330529893,-20.0,-20.98276584743488,0.9827658474348802,0.02,0.021661044377380322,0.0016610443773803218,8.0,9.123536202878272,1.123536202878272,0.057223626330561154,0.04879150917083298,29,13.0,2.7087006706172536,5.1367370257303255,,,,10.0,75.75317186846921,362.64490387123647
peak,1,F_add_strength,61,47.2678294201666,0.7748824495109279,30,False,38326.08899537381,8,True,3.6,3.329831014415018,0.27016898558498204,1.0,4.305112857334925,3.305112857334925,0.1,0.0731137830596128,0.026886216940387203,0.0,0.19976525968488593,0.19976525968488593,1.8,1.7847662633361974,0.015233736663802677,-20.0,-19.2390083696292,0.7609916303707998,0.02,0.019176254229558667,0.000823745770441333,8.0,8.42572999274732,0.4257299927473195,0.16451628207723729,0.01903007496145483,14,13.0,2.284716930450986,4.136797101876297,,,,,,
peak,1,G_full_universe,75,91.89703862274622,1.225293848303283,13,True,44559.60665359384,8,True,3.6,3.2704108566804546,0.3295891433195455,1.0,3.8116865087076324,2.8116865087076324,0.1,0.1198346300477353,0.019834630047735294,0.0,0.23321919832745272,0.23321919832745272,1.8,1.788117142778928,0.011882857221072074,-20.0,-19.183602449248685,0.816397550751315,0.02,0.019180638889264513,0.0008193611107354878,8.0,8.732926462443093,0.7329264624430927,0.15024884086748702,0.031343158694078055,0,,,,,,,,,
peak,2,A_sparse_fracture,4,0.3436385890951848,0.0859096472737962,22,True,inf,3,False,3.6,3.673372894470973,0.07337289447097284,1.0,2.5028665437479525,1.5028665437479525,0.1,0.04689934338169254,0.053100656618307464,0.0,2.9996590596871244,2.9996590596871244,1.8,1.872361181489424,0.07236118148942405,-20.0,-13.534795101846981,6.465204898153019,0.02,0.047588336301328575,0.027588336301328575,8.0,7.16905820497939,0.8309417950206104,0.08661181034108385,0.29855472899410945,71,24.0,4.327780299539405,166.86303042786633,7.0,3.1222754454189716,15.61137722709486,10.0,2.5011831344471935,22.200806697706927
