candidate_id,temperature_K,Kdot,threshold_action,threshold_mode,tier,K,K_over_K_FP,cumulative_action,action_over_threshold,cleavage_stress_Pa,renewal_rate_s
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,2.0576894660955304e-06,0.09375,0.00703998376705373,0.09374999977471107,820.8993279621574,171.06526236691886
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,2.4006377104447856e-06,0.109375,0.008213314395036505,0.10937499973903375,957.715882622517,171.0652623743669
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,2.743585954794041e-06,0.125,0.009386645023072463,0.12499999970406465,1094.5324372828766,171.06526238241892
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,3.086534199143296e-06,0.140625,0.010559975651165626,0.14062499966985734,1231.3489919432361,171.06526239104286
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,3.4294824434925512e-06,0.15625,0.011733306279319799,0.1562499996364625,1368.1655466035959,171.06526240020494
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,3.772430687841806e-06,0.171875,0.012906636907538587,0.1718749996039281,1504.9821012639554,171.06526240988057
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,4.115378932191061e-06,0.1875,0.014079967535825447,0.18749999957230024,1641.7986559243147,171.06526242004975
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,4.458327176540316e-06,0.203125,0.01525329816418369,0.2031249995416229,1778.6152105846745,171.06526243069166
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,4.801275420889571e-06,0.21875,0.016426628792616495,0.21874999951193858,1915.431765245034,171.0652624417882
P25_TRANSFER_V1_RANK1,325.0,0.05,0.07509316036236147,EXPONENTIAL_CRN_1720_ENGINE1,F1_EMISSION_BLUNTING,5.1442236652388264e-06,0.234375,0.017599959421126944,0.23437499948328816,2052.2483199053936,171.0652624533271
