class,replicate,seed,bin_start_um,bin_end_um,bin_center_um,K_median_MPa_sqrt_m,K_mean_MPa_sqrt_m,K_p10_MPa_sqrt_m,K_p90_MPa_sqrt_m,n,complete
ceramic,3,1103,575.0,600.0,587.5,16.94130724241554,16.907583542242552,16.57329570731594,17.256007697820415,7,True
ceramic,3,1103,600.0,625.0,612.5,16.953653303797545,15.78429001921855,13.069384726785346,17.329832027072758,6,True
ceramic,3,1103,625.0,650.0,637.5,15.15446921964771,15.082522153175198,12.381677359398948,17.711419880478935,6,True
ceramic,3,1103,650.0,675.0,662.5,16.975028300104643,16.770219256149723,15.286894211042267,17.73665545334309,7,True
ceramic,3,1103,675.0,700.0,687.5,13.548896622495718,13.55117318749681,10.65108258306823,16.45354035692648,6,True
ceramic,3,1103,700.0,725.0,712.5,9.598142092851042,10.369394250760083,9.064142650218884,12.346306145303062,7,True
ceramic,3,1103,725.0,750.0,737.5,16.831026906189315,16.752429105957543,15.388813721342052,18.037446690341255,6,True
ceramic,3,1103,750.0,775.0,762.5,18.98987445240139,18.899321665568785,18.64397742152021,19.073826519939495,7,True
ceramic,3,1103,775.0,800.0,787.5,18.411215829172818,18.38746772512135,18.248465524919766,18.502721821271464,6,True
ceramic,3,1103,800.0,825.0,812.5,18.814613388799618,18.293086094710663,17.149755951538815,18.914888943793564,6,True
ceramic,3,1103,825.0,850.0,837.5,15.807088863623411,16.458934529999894,15.698833865458196,17.53543688631103,7,True
ceramic,3,1103,850.0,875.0,862.5,16.098112709014426,15.983255834202255,15.059404306669872,16.79225048692247,6,True
ceramic,3,1103,875.0,900.0,887.5,11.480853244680151,11.74865066910171,10.552260938218758,13.225108431408067,7,True
ceramic,3,1103,900.0,925.0,912.5,15.070040051204275,14.787985489756975,13.625627009553906,15.783982331099226,7,True
ceramic,3,1103,925.0,950.0,937.5,16.099067511081238,16.10093654898606,16.072090543451424,16.131520767157483,7,True
ceramic,3,1103,950.0,975.0,962.5,15.94495361034964,15.861106440767921,15.671766336447671,16.021305284833097,7,True
ceramic,3,1103,975.0,1000.0,987.5,15.901452791939366,15.907309275671839,15.749269584415657,16.09239690176981,7,True
ceramic,4,1104,0.0,25.0,12.5,9.242995530243684,9.243495868886109,8.999926201339665,9.48756587507498,6,True
ceramic,4,1104,25.0,50.0,37.5,9.450766605014108,9.442800596160732,9.213146255593628,9.664488927874455,6,True
ceramic,4,1104,50.0,75.0,62.5,10.075172410784235,9.994125417582586,9.533844038913319,10.48603455209393,7,True
ceramic,4,1104,75.0,100.0,87.5,9.400905962220586,9.280083531464824,8.940355299485692,9.498989332688193,6,True
ceramic,4,1104,100.0,125.0,112.5,9.491308861005372,9.486406931767576,9.352380880191904,9.615531054105453,6,True
ceramic,4,1104,125.0,150.0,137.5,11.69963492931378,11.817783131085358,9.40943279172409,13.949698568969772,7,True
ceramic,4,1104,150.0,175.0,162.5,11.84471579662925,11.228031158374888,9.888535503913154,11.932214044291204,7,True
ceramic,4,1104,175.0,200.0,187.5,9.167524489921794,9.227366246417375,8.920650902158625,9.593923347171707,6,True
ceramic,4,1104,200.0,225.0,212.5,10.814376153370944,11.094471961814067,10.202946181866809,12.127440041858016,5,True
ceramic,4,1104,225.0,250.0,237.5,13.63579536664819,13.47035907264559,12.955440140668141,13.864651381978526,5,True
ceramic,4,1104,250.0,275.0,262.5,13.8599617532595,13.79358586946762,13.389348163223207,14.180380938934396,5,True
ceramic,4,1104,275.0,300.0,287.5,13.290548218583545,13.2987821694029,12.601519943529784,14.004278346095377,6,True
ceramic,4,1104,300.0,325.0,312.5,12.054794125805124,11.91794083006542,11.382209395293557,12.316818969097584,6,True
ceramic,4,1104,325.0,350.0,337.5,14.057789507977276,14.121160311966191,13.469855660625688,14.69969453765168,7,True
ceramic,4,1104,350.0,375.0,362.5,12.07176446346041,12.184675080909123,11.784452479175899,12.683457824105503,8,True
ceramic,4,1104,375.0,400.0,387.5,12.475867150003031,12.551526461675156,12.18365004474165,12.94189867217362,7,True
ceramic,4,1104,400.0,425.0,412.5,13.536441244361,13.437202684013183,12.945202071208781,13.834420355496778,7,True
ceramic,4,1104,425.0,450.0,437.5,11.341636970555475,11.444924271772456,11.098311078525501,11.841309576810612,7,True
ceramic,4,1104,450.0,475.0,462.5,15.352688401010932,15.739905197875567,14.00077333799852,17.948394295617373,7,True
ceramic,4,1104,475.0,500.0,487.5,14.789894107592247,14.83839994184479,14.674739597151415,15.0505661207907,6,True
ceramic,4,1104,500.0,525.0,512.5,15.51870497821498,15.604571762329998,15.183076028718043,16.18409760608551,7,True
ceramic,4,1104,525.0,550.0,537.5,16.25441569276049,16.249818316806074,16.229507104448306,16.265532153209435,6,True
ceramic,4,1104,550.0,575.0,562.5,16.378656884567874,16.561444937280164,16.172076277213293,17.116688079072272,7,True
ceramic,4,1104,575.0,600.0,587.5,18.516726024963823,18.331485251687724,17.87263399382576,18.6163235862139,7,True
ceramic,4,1104,600.0,625.0,612.5,14.83159554483335,15.339604476382934,14.535708554358985,16.518193443939587,7,True
ceramic,4,1104,625.0,650.0,637.5,15.27096909577286,15.360789138201042,15.193678640195147,15.605154105786351,7,True
ceramic,4,1104,650.0,675.0,662.5,13.735226856027488,14.07053919208972,13.425789816635122,14.87762118719553,7,True
ceramic,4,1104,675.0,700.0,687.5,15.348166346359084,15.251545728838037,14.452307269687807,15.984864952755796,7,True
ceramic,4,1104,700.0,725.0,712.5,18.088860915114168,17.801407257769146,16.020975016877948,19.29438584131532,6,True
ceramic,4,1104,725.0,750.0,737.5,18.33780660668576,18.249832895077787,17.588354887775438,18.82333719077216,6,True
ceramic,4,1104,750.0,775.0,762.5,18.515218062567428,18.464381745295423,18.226856131066686,18.66513632058801,7,True
ceramic,4,1104,775.0,800.0,787.5,17.52364227963364,17.534777890955585,17.31575971555098,17.751352407694316,7,True
