attempt_count,bridge_element_audit,case_id,cavity_area_m2,cavity_boundary_components,cavity_perimeter_m,cavity_traction_l2_normalized,compliance_m2_per_N,conditioning,crack_free_surface_components,crack_graph_length_m,energy_reaction_identity,error,failure_classification,family,free_residual_norm_N_per_m,geometry_fingerprint,hoop_stress_concentration,initial_error,internal_boundary_components,ligament_ratio,mesh_elements,mesh_fingerprint,mesh_maximum_aspect_ratio,mesh_minimum_quality,mesh_nodes,no_solid_inside_void,offset_ratio,opening_scale,perturbation_ratio,reaction_bottom_N_per_m,reaction_top_N_per_m,recovery,resolution,segments,sigma_xx_max_Pa,sigma_xx_min_Pa,sigma_xy_abs_max_Pa,sigma_yy_max_Pa,sigma_yy_min_Pa,status,stored_energy_J_per_m,support_cavity_overlap,symmetry_error,theta_deg,topology_classification,v12_support_certified,v12_support_elements,wall_seconds
,PASS,STATIC-0020,7.879312268573135e-09,1,0.0003151724907429256,1.001793468071533,1.1257792464687213e-11,SOLVED,1,0.0005972190398280965,FINITE,,,core,8.131663527265038e-10,b13380a78b52eef737bcf69f6671b514da65dbfbbf062cd21eeb509e314f96e9,12.939917365937308,,1,1.0,1024,01c5fc3041621af47b946f806e46ae0ef5f7c0bd471f7b413142c406804bc0b8,4.42027925806725,0.26307284906654793,544,True,-0.5,1.0,,-35530.94456614714,35530.944566148,,16,,89417426.39111553,-22424065.903186005,101249111.69607909,460768244.12223256,-14614242.210287794,PASS,0.007106188913229507,0,2.4163810136689627e-14,0.0,ONE_CRACK_ONE_VOID,True,112,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,,STATIC-0021,7.879312268573131e-09,,0.00031517249074292553,1.062605728742531,1.0728028304810526e-11,,,0.0006046359830908244,,,MESH_CONVERGENCE_FAILURE_RECOVERED,core,4.995975171480062e-10,,10.115108730035232,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),1,1.0,768,,3.498398323592133,0.3117878388141192,416,,0.0,1.0,,-37285.50938112558,37285.509381126176,one_local_mesh_refinement,8,,65437321.75927723,-18352182.415729586,74409553.43868655,378911794.8769037,-11907619.00704701,RECOVERED_PASS,0.007457101876225226,,1.6001619242060098e-14,0.0,,True,80,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,PASS,STATIC-0022,7.879312268573131e-09,1,0.00031517249074292553,1.062605728742531,1.0728028304810526e-11,SOLVED,1,0.0006046359830908244,FINITE,,,core,4.995975171480062e-10,642f9236c7fb9879a501e9b6db9d7bb41c70b50be5d99cea91c4cfd59d4a4e1d,10.115108730035232,,1,1.0,768,f9764278d1ebac08c1f0ce861ef818fba799c503535bf41b379c2a2c230b9ab8,3.498398323592133,0.3117878388141192,416,True,0.0,1.0,,-37285.50938112558,37285.509381126176,,12,,65437321.75927723,-18352182.415729586,74409553.43868655,378911794.8769037,-11907619.00704701,PASS,0.007457101876225226,0,1.6001619242060098e-14,0.0,ONE_CRACK_ONE_VOID,True,80,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,PASS,STATIC-0023,7.879312268573131e-09,1,0.00031517249074292553,0.9995160940977051,1.1256642016733232e-11,SOLVED,1,0.0005972190398280965,FINITE,,,core,6.721234755549796e-10,863f5c6ce36e471f51c076de7588092bebc777c88b90f54a7e076c61fd9cb9c9,12.886075386635023,,1,1.0,1024,454fdd80a4cadbb5d70e72078b058b71538fae0634d02a5dcddc4025390fd727,4.42027925806725,0.26307284906654793,544,True,0.0,1.0,,-35534.57588909658,35534.57588909656,,16,,86240612.5350551,-22300714.936991606,99127474.03548461,459227908.37092084,-13952681.848768696,PASS,0.007106915177819279,0,6.142713764384043e-16,0.0,ONE_CRACK_ONE_VOID,True,112,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,,STATIC-0024,7.879312268573135e-09,,0.0003151724907429256,1.0651626475331342,1.0732617853445518e-11,,,0.0006046359830908244,,,MESH_CONVERGENCE_FAILURE_RECOVERED,core,4.661917732438279e-10,,10.159832661922298,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),1,1.0,768,,3.498398323592133,0.3117878388141192,416,,0.5,1.0,,-37269.56512027358,37269.56512027371,one_local_mesh_refinement,8,,68614505.64844455,-18457536.106615197,76108825.70895977,380086813.5910205,-12920209.5401965,RECOVERED_PASS,0.0074539130240547724,,3.514053266590405e-15,0.0,,True,80,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,PASS,STATIC-0025,7.879312268573135e-09,1,0.0003151724907429256,1.0651626475331342,1.0732617853445518e-11,SOLVED,1,0.0006046359830908244,FINITE,,,core,4.661917732438279e-10,997865ee1dcc20addea9fe6a61675ded9c3771ecfb29b0e8790212b6afe7d5dc,10.159832661922298,,1,1.0,768,ce790257d15e0e25dcc11ac025a52d4bc446ff7f6e7f3446bfe12283c3f88687,3.498398323592133,0.3117878388141192,416,True,0.5,1.0,,-37269.56512027358,37269.56512027371,,12,,68614505.64844455,-18457536.106615197,76108825.70895977,380086813.5910205,-12920209.5401965,PASS,0.0074539130240547724,0,3.514053266590405e-15,0.0,ONE_CRACK_ONE_VOID,True,80,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,PASS,STATIC-0026,7.879312268573135e-09,1,0.0003151724907429256,1.0017934680715468,1.1257792464687466e-11,SOLVED,1,0.0005972190398280965,FINITE,,,core,7.960329545840929e-10,b43c7bb001ef84a5266973567ecb790a72c4046ee474026df0b839c645f3ffb7,12.939917365937708,,1,1.0,1024,9a48dcbaa0506fb36a10ab5ead05231775953d5dcfe4f9c1e8321099c069135f,4.42027925806725,0.26307284906654793,544,True,0.5,1.0,,-35530.944566147264,35530.9445661472,,16,,89417426.39111628,-22424065.903186392,101249111.69608028,460768244.12223595,-14614242.210288301,PASS,0.007106188913229475,0,1.84300246805264e-15,0.0,ONE_CRACK_ONE_VOID,True,112,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,,STATIC-0027,,,,,,,,,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,,,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,1.0,,,,,,,1.0,1.0,,,,one_local_mesh_refinement_failed,8,,,,,,,OUTSIDE_ENVELOPE,,,,0.0,,,,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,,STATIC-0028,7.879312268573141e-09,,0.0003151724907429256,0.9536279259714768,1.0819523637509176e-11,,,0.0005972190398280965,,,MESH_CONVERGENCE_FAILURE_RECOVERED,core,7.39476897320223e-10,,12.423265463599222,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),1,1.0,1024,,4.42027925806725,0.26307284906654804,544,,1.0,1.0,,-36970.204364015226,36970.20436401452,one_local_mesh_refinement,12,,89431783.77538677,-24834504.88438818,100680026.83307196,460254932.8184187,-12965431.904764475,RECOVERED_PASS,0.0073940408728028996,,1.9090180882601817e-14,0.0,,True,112,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,PASS,STATIC-0029,7.879312268573141e-09,1,0.0003151724907429256,0.9536279259714768,1.0819523637509176e-11,SOLVED,1,0.0005972190398280965,FINITE,,,core,7.39476897320223e-10,ae152a97fb4b6f57834a442a93cec2a7a7b4021ac620b009f05dbbc18337f3b9,12.423265463599222,,1,1.0,1024,0ce0b6730d2aecabee2efd1c4fce472c80fb624f00fd3d9f0e584e41644acda2,4.42027925806725,0.26307284906654804,544,True,1.0,1.0,,-36970.204364015226,36970.20436401452,,16,,89431783.77538677,-24834504.88438818,100680026.83307196,460254932.8184187,-12965431.904764475,PASS,0.0073940408728028996,0,1.9090180882601817e-14,0.0,ONE_CRACK_ONE_VOID,True,112,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
