attempt_count,case_id,error,failure_classification,family,initial_error,ligament_ratio,offset_ratio,opening_scale,recovery,resolution,status,theta_deg,wall_seconds
,STATIC-0031,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0033,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0036,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0039,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
2,STATIC-0042,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),2.0,1.0,1.0,one_local_mesh_refinement_failed,8,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,STATIC-0043,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
2,STATIC-0045,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),4.0,-1.0,1.0,one_local_mesh_refinement_failed,8,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,STATIC-0046,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0048,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0051,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0054,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
2,STATIC-0057,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),4.0,1.0,1.0,one_local_mesh_refinement_failed,8,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,STATIC-0058,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
2,STATIC-0060,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,-1.0,1.0,one_local_mesh_refinement_failed,8,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0061,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,-1.0,1.0,one_local_mesh_refinement_failed,12,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0062,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,-1.0,1.0,one_local_mesh_refinement_failed,16,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0063,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,-0.5,1.0,one_local_mesh_refinement_failed,8,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0064,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,-0.5,1.0,one_local_mesh_refinement_failed,12,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0065,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,-0.5,1.0,one_local_mesh_refinement_failed,16,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0066,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,0.0,1.0,one_local_mesh_refinement_failed,8,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0067,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,0.0,1.0,one_local_mesh_refinement_failed,12,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0068,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,0.0,1.0,one_local_mesh_refinement_failed,16,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0069,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,0.5,1.0,one_local_mesh_refinement_failed,8,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0070,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,0.5,1.0,one_local_mesh_refinement_failed,12,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0071,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,0.5,1.0,one_local_mesh_refinement_failed,16,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0072,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,1.0,1.0,one_local_mesh_refinement_failed,8,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0073,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,1.0,1.0,one_local_mesh_refinement_failed,12,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0074,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,core,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,1.0,1.0,one_local_mesh_refinement_failed,16,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
,STATIC-0075,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0081,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0084,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0087,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0090,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0096,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0099,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
,STATIC-0102,,MESH_CONVERGENCE_FAILURE,,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),,,,one_local_mesh_refinement,,RECOVERED_PASS,,
2,STATIC-0105,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,convergence,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,-1.0,1.0,one_local_mesh_refinement_failed,10,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0106,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,convergence,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,-1.0,1.0,one_local_mesh_refinement_failed,14,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0108,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,convergence,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,0.0,1.0,one_local_mesh_refinement_failed,10,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0109,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,convergence,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,0.0,1.0,one_local_mesh_refinement_failed,14,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0111,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,convergence,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,1.0,1.0,one_local_mesh_refinement_failed,10,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0112,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,convergence,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,1.0,1.0,one_local_mesh_refinement_failed,14,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0124,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,orientation,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),1.0,0.0,1.0,one_local_mesh_refinement_failed,16,OUTSIDE_ENVELOPE,30.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0125,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,orientation,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),1.0,0.0,1.0,one_local_mesh_refinement_failed,16,OUTSIDE_ENVELOPE,45.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0130,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,orientation,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),2.0,0.5,1.0,one_local_mesh_refinement_failed,16,OUTSIDE_ENVELOPE,30.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0131,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,orientation,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),2.0,0.5,1.0,one_local_mesh_refinement_failed,16,OUTSIDE_ENVELOPE,45.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0136,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,orientation,RuntimeError: v12_support_not_certified: INSUFFICIENT_OPPOSITE_SIDE_SEEDS; junction_detail=(),4.0,-0.5,1.0,one_local_mesh_refinement_failed,16,OUTSIDE_ENVELOPE,30.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0137,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,orientation,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),4.0,-0.5,1.0,one_local_mesh_refinement_failed,16,OUTSIDE_ENVELOPE,45.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
2,STATIC-0141,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,far_limit,RuntimeError: v12_support_not_certified: CERTIFICATE_ARC_TOO_SHORT; junction_detail=(),8.0,0.0,1.0,one_local_mesh_refinement_failed,16,OUTSIDE_ENVELOPE,0.0,NOT_INCLUDED_IN_DETERMINISTIC_AGGREGATE
