attempt_count,case_id,configuration_hash,expected_output_paths,failure_classification,geometry_parameters,kinetic_parameters,mesh_level,seed,source_sha,status,timestep_control
1,STATIC-0023,d0a1c024654dd5ea028b6da3de0e0c651e925685c4973baf123d1219102a16c5,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 1.0, ""offset_ratio"": 0.0, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
2,STATIC-0024,cb7e2b96f759c494b1f2a40f8257b64885a3ffcbb617f535383a5bc74042f8fa,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 1.0, ""offset_ratio"": 0.5, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,RECOVERED_PASS,static
1,STATIC-0025,66756812722e63ba2bd9440f47ca71b90ff6904d6fde285bf4d1fb9b89ab7972,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 1.0, ""offset_ratio"": 0.5, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
1,STATIC-0026,1fa45cad366bd55107bb9a5b3e6a10a8039bab664df8219625f80c0a5f24fc1f,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 1.0, ""offset_ratio"": 0.5, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
2,STATIC-0027,6bab6cbb111c0026837fb8fc84b4188a16197c4e1690734ea0605bcd21223202,static_mechanics_matrix.csv,OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,"{""family"": ""core"", ""ligament_ratio"": 1.0, ""offset_ratio"": 1.0, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,OUTSIDE_ENVELOPE,static
2,STATIC-0028,21de830afed91e9a54679a97c173da13dbd4d982b886858d424a8cbeb3401597,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 1.0, ""offset_ratio"": 1.0, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,RECOVERED_PASS,static
1,STATIC-0029,4cdbb905040bca531c36d07cbb51b9fa390e25d7195e599877f65b57bbeb5a6c,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 1.0, ""offset_ratio"": 1.0, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
2,STATIC-0030,21eb47f79751058edb02e522211cc7a330e7c62059e7cf51479378c6010472b5,static_mechanics_matrix.csv,OUTSIDE_DEMONSTRATED_GEOMETRY_ENVELOPE,"{""family"": ""core"", ""ligament_ratio"": 2.0, ""offset_ratio"": -1.0, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,OUTSIDE_ENVELOPE,static
2,STATIC-0031,d371ee2d583c7a78aad12e3f4d8c7c386a89b2773b27de30700778c7f3d32bbd,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 2.0, ""offset_ratio"": -1.0, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,RECOVERED_PASS,static
1,STATIC-0032,d0bad10a6dd6cc7b7249032bc12ef527e5bc31867835b2cc8a3235e6c6ee3310,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 2.0, ""offset_ratio"": -1.0, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
2,STATIC-0033,7f8a0c75b8a4225af7b5e91df70b995cf5af3bf318a4a5a1fe722183745e7957,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 2.0, ""offset_ratio"": -0.5, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,RECOVERED_PASS,static
1,STATIC-0034,81e3acabaa694ab897cb257c0616ec8f5d67ad4eed8a7a580e93ad6205b100e4,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 2.0, ""offset_ratio"": -0.5, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
1,STATIC-0035,32982f6cd68548e16d6edc80f8d029020e2dfeb99336a31ca299d85f9fddf744,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 2.0, ""offset_ratio"": -0.5, ""opening_scale"": 1.0, ""resolution"": 16, ""theta_deg"": 0.0}",{},16,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
2,STATIC-0036,61561e0a0525caf1049ea5503d17ace9e9a2947dc5afa8be757ae661f8d1fc21,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 2.0, ""offset_ratio"": 0.0, ""opening_scale"": 1.0, ""resolution"": 8, ""theta_deg"": 0.0}",{},8,0,ba0803a10ce540feb92bb1d8988712d315173d59,RECOVERED_PASS,static
1,STATIC-0037,28d69811f6de3dc54c934d253db005dc57c3829cc03524fca67d65d5f1b3b3ad,static_mechanics_matrix.csv,,"{""family"": ""core"", ""ligament_ratio"": 2.0, ""offset_ratio"": 0.0, ""opening_scale"": 1.0, ""resolution"": 12, ""theta_deg"": 0.0}",{},12,0,ba0803a10ce540feb92bb1d8988712d315173d59,PASS,static
