backend,theta_deg,extension_um,physical_path_extension_um,tip_radius_um,reference_opening_m,drive_factor_system_0,drive_factor_system_1,tau_signed_system_0_Pa,tau_signed_system_1_Pa,opening_stress_Pa,sigma_nn_probe_Pa,sigma1_probe_Pa,tau_over_opening_system_0,tau_over_opening_system_1,reliable,field_snapshot_hash,topology_fingerprint,source_commit
PF,45.0,15.000000000000002,15.0,50.0,1e-05,0.21933513569243246,0.007232348415389185,244865971.80055633,-8074201.233394037,2232802063.632204,2232799724.6324735,2232802063.632204,0.10966756784621623,-0.0036161742076945926,True,06daa220f6827fcaa8d1a1279ec0f428d8eecae3badd2302409509c1b5fb5a44,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,20.0,20.0,1.0,1e-05,0.2159995336691662,0.008949357910498725,146177988.05119625,-6056490.546458554,1353502811.492996,407267046.5452715,1353502811.492996,0.1079997668345831,-0.004474678955249362,True,750a5b28c841c1cddc8e66fd674b0696e45fed11249d33811677de433e52cba2,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,20.0,20.0,2.0,1e-05,0.3818304311389568,0.022158963072346202,-308915387.7946083,-17927446.616032265,1618076311.3780575,500564559.16759235,1618076311.3780575,-0.1909152155694784,-0.011079481536173101,True,750a5b28c841c1cddc8e66fd674b0696e45fed11249d33811677de433e52cba2,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,20.0,20.0,4.0,1e-05,0.26451146083356325,0.014402325531867207,-447007039.69816,-24338986.59997984,3379868972.705324,3379633813.3725333,3379868972.705324,-0.13225573041678163,-0.0072011627659336035,True,750a5b28c841c1cddc8e66fd674b0696e45fed11249d33811677de433e52cba2,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,20.0,20.0,8.0,1e-05,0.44409804817758036,0.0014943924314468832,-671088232.0191923,-2258215.677546811,3022252562.3478804,3022242145.109757,3022252562.3478804,-0.22204902408879018,-0.0007471962157234416,True,750a5b28c841c1cddc8e66fd674b0696e45fed11249d33811677de433e52cba2,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,20.0,20.0,12.0,1e-05,0.8026556970337076,0.0049900178662789394,623217011.2334955,3874468.2584536686,1552887529.576267,294052119.16815704,1552887529.576267,0.4013278485168538,0.0024950089331394697,True,750a5b28c841c1cddc8e66fd674b0696e45fed11249d33811677de433e52cba2,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,20.0,20.0,25.0,1e-05,0.5670823579456676,0.008160530577100311,453813107.36264944,-6530543.027890541,1600519222.663349,36380017.763156354,1600519222.663349,0.2835411789728338,-0.004080265288550156,True,750a5b28c841c1cddc8e66fd674b0696e45fed11249d33811677de433e52cba2,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,20.0,20.0,50.0,1e-05,0.23827166871024927,0.006042078291027027,282134696.03168166,-7154354.234667791,2368176607.473817,2368167171.8220124,2368176607.473817,0.11913583435512463,-0.0030210391455135137,True,750a5b28c841c1cddc8e66fd674b0696e45fed11249d33811677de433e52cba2,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,25.0,25.0,1.0,1e-05,0.2075684034716609,0.046742825964268396,-136484347.8415242,-30735237.210002657,1315078263.9242902,423125679.92029476,1315078263.9242902,-0.10378420173583044,-0.023371412982134198,True,017a0c1953b4fcd1545e9634e126642742f2b2bb40ca7e83c463d12a279a770b,82c2cc073e6a585581cfba547c17939ee0ea538877aa408cad818c656b6b7f1a,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,25.0,25.0,2.0,1e-05,0.4874890516691414,0.015035110733554657,-266942148.64234322,-8233015.1837227335,1095171871.9767957,397761493.8838604,1095171871.9767957,-0.2437445258345707,-0.0075175553667773285,True,017a0c1953b4fcd1545e9634e126642742f2b2bb40ca7e83c463d12a279a770b,82c2cc073e6a585581cfba547c17939ee0ea538877aa408cad818c656b6b7f1a,9e884fb0b0845da621d2612bdf1042e481b8df49
