candidate_id,result_path,run_args_sha256,producer_head,executed_multihit_m,executed_multihit_tau
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_21_R_0.1_seed_1720__attempt0,20d94046e304cf27fe1c7dd752590c04aed3723008bee5f71a0ad553f3bfda45,f2d692263518b64a9bbef5619fea9fe359dee037,3.0,1e-06
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_21_R_0.5_seed_1720__attempt0,1c26d5bfbff848a8796cec16b9db1fe69afe633b7eb8c3505ca767afc94bd10f,c3f3292d63df4ccd8ef7da2c9a0ce3cd14de085c,3.0,1e-06
P25_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P25_TRANSFER_V1_RANK1/K_24.3_R_0.1_seed_1720__attempt0,0dabf236dfa2a13c8d5a6f82c127c679cc8dab89cadeb85b601346b9e229c9be,7d415be264ed9bafd08ee29395c750ff991239ac,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_12.75_R_0.1_seed_1720__attempt0,fae6b9df139fff8f0ec46b65061abd194cf0eb64c78c6d27fa1652d0ec1d2dba,7d415be264ed9bafd08ee29395c750ff991239ac,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_12_R_0.1_seed_1720__attempt0,6b286eb08142bfbea9f7183bca7944b5703c4760b5b58e5ad03fdd826782d7a1,7d415be264ed9bafd08ee29395c750ff991239ac,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_13.5_R_0.1_seed_1720__attempt0,4b2883a3e3d22938a6ea71d3d9afcb620487276c7ebc5df8d0129416dc85e3b0,7d415be264ed9bafd08ee29395c750ff991239ac,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_15_R_-0.95_seed_1720__attempt0,d7040647780d457878f7e6eae63f7a2db6b6c9aa7e614b7e976e664bcbfcb222,c3f3292d63df4ccd8ef7da2c9a0ce3cd14de085c,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_15_R_0.1_seed_1001723__attempt0,7d576866f2a5e47d0a4bfd58f46a649f6f5429744ddf36326d925b27e222e686,3771f079442b30963b0e8585eb20803b4e593365,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_15_R_0.1_seed_1720__attempt0,785cc5ad913a796d3454e86b53f4cff4eec9c633bfc686684abf60b8bc9d0522,f2d692263518b64a9bbef5619fea9fe359dee037,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_15_R_0.5_seed_1720__attempt0,5d0d43ed9fc49cbbec5dc0ab2b732b9147e4cf67b5c88ef1862af56d993eea6d,c3f3292d63df4ccd8ef7da2c9a0ce3cd14de085c,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_16.5_R_0.1_seed_1720__attempt0,dfc927d38eabe419a165b006ddbdc8deecdeab044604707a307288cafc3af377,f2d692263518b64a9bbef5619fea9fe359dee037,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_18_R_-0.95_seed_1720__attempt0,a492248d66106cf98cfdf5d79709bd9b9c6b7a59de38ea650ac68d4313867b47,c3f3292d63df4ccd8ef7da2c9a0ce3cd14de085c,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_18_R_0.1_seed_1001723__attempt0,c518d47f9e658a40cd3d671e1e0a9871910a348bb9a0511441d1fc1d875f133b,3771f079442b30963b0e8585eb20803b4e593365,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_18_R_0.1_seed_1720__attempt0,c5b90c829bd7c167519c158fa4933018bf012158f5aaa79ed6988f1dbb131402,7d415be264ed9bafd08ee29395c750ff991239ac,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_18_R_0.5_seed_1720__attempt0,66004bae5fddc6fa0393e3823ab98474ea389c3d15eadca649ce565af5dd88f5,c3f3292d63df4ccd8ef7da2c9a0ce3cd14de085c,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_19.5_R_0.1_seed_1720__attempt0,79733555418f1e8c75da815dbf9ac2a2794eeeabc119bd126e83f87c89d69ba3,f2d692263518b64a9bbef5619fea9fe359dee037,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_21_R_-0.95_seed_1720__attempt0,d9d5b79678fa922f0e0ab2aa6b34d95318de05e119edb9682f81b10dd9c93628,c3f3292d63df4ccd8ef7da2c9a0ce3cd14de085c,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_21_R_0.1_seed_1001723__attempt0,d6f6664155321c097bcd8b394e0bdfd42ae6ebfb0f2a78b89eb6e72437366322,3771f079442b30963b0e8585eb20803b4e593365,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_21_R_0.1_seed_1720__attempt0,c988f9f75f07b61ffe64bb31b74bb0278c884efd86c7d639d5fceb07a1f971d3,7d415be264ed9bafd08ee29395c750ff991239ac,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_21_R_0.5_seed_1720__attempt0,d3a5267d94cb41696ca353ec5063e4b3b7ae1b9df3292a166dcc7047df2eba67,c3f3292d63df4ccd8ef7da2c9a0ce3cd14de085c,3.0,1e-06
P40_TRANSFER_CALIBRATED_GEN2,runs/prospective_paris_transfer_v1/P40_TRANSFER_CALIBRATED_GEN2/K_24.3_R_0.1_seed_1720__attempt0,aa1205254f5e032083d5f85a731856c714ec1599cc2fab156a2764b084cc5af9,7d415be264ed9bafd08ee29395c750ff991239ac,3.0,1e-06
P55_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P55_TRANSFER_V1_RANK1/K_13.5_R_0.1_seed_1720__attempt0,eef507b7efe171cc9b273bf1a834f8ae4d98670ce16ccb997db4e0ebe2fd54d6,f2d692263518b64a9bbef5619fea9fe359dee037,3.0,1e-06
P55_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P55_TRANSFER_V1_RANK1/K_18_R_0.1_seed_1720__attempt0,228a740026164d2d0edcbc4c2c73be56693844b365da58952ff45ec49f3d60f8,f2d692263518b64a9bbef5619fea9fe359dee037,3.0,1e-06
P55_TRANSFER_V1_RANK1,runs/prospective_paris_transfer_v1/P55_TRANSFER_V1_RANK1/K_21_R_0.1_seed_1720__attempt0,68b4a60e19423fffe436f4e96b3508f17ebfed5e569e8160e4de632f59e855de,f2d692263518b64a9bbef5619fea9fe359dee037,3.0,1e-06
P40_RADIUS_SCALED_ENVELOPE_V1,runs/prospective_paris_p40_pilot_v1/P40_RADIUS_SCALED_ENVELOPE_V1/K_13.5_R_0.1_seed_1720__attempt2,b78e2922d64bb6e376aa41c46e09adebc65bdca0204fcb29d462add15fcaed5a,ef390c94189713fb43c2859ea26ca6808918091c,3.0,1e-06
P40_RADIUS_SCALED_ENVELOPE_V1,runs/prospective_paris_p40_pilot_v1/P40_RADIUS_SCALED_ENVELOPE_V1/K_18_R_0.1_seed_1720__attempt2,e8636527e2646371cf19015606387fb5fc0aa475f33b48026c5d18d65f43f9a9,ef390c94189713fb43c2859ea26ca6808918091c,3.0,1e-06
P40_RADIUS_SCALED_ENVELOPE_V1,runs/prospective_paris_p40_pilot_v1/P40_RADIUS_SCALED_ENVELOPE_V1/K_21_R_0.1_seed_1720__attempt2,c8cb28e5598a08b59e7aa4b25bbf1e20821f6df9de626488ff9e77bc56314ab8,ef390c94189713fb43c2859ea26ca6808918091c,3.0,1e-06
