candidate_id,parameter,A_NATIVE_value,candidate_value,changed,absolute_difference,relative_difference,active_in_cleavage,active_in_emission,active_in_transport,explicit_thermal_coordinate,active_in_state,provenance_only_in_scoped_manifest
P40_TRANSFER_CALIBRATED_GEN2,exact_spatial_Tref_active,1,1,False,0.0,0.0,False,False,False,False,False,False
P40_TRANSFER_CALIBRATED_GEN2,explicit_recovery_active,0,0,False,0.0,0.0,False,False,False,False,False,False
P40_TRANSFER_CALIBRATED_GEN2,generator,seeded_scrambled_sobol_global_300K_existing_physics,seeded_scrambled_sobol_global_300K_existing_physics,False,,,False,False,False,False,False,False
P40_TRANSFER_CALIBRATED_GEN2,generator_seed,1914,1914,False,0.0,0.0,False,False,False,False,False,False
P40_TRANSFER_CALIBRATED_GEN2,legacy_source_refresh_active,0,0,False,0.0,0.0,False,False,False,False,False,False
P40_TRANSFER_CALIBRATED_GEN2,legacy_source_sites_active,0,0,False,0.0,0.0,False,False,False,False,False,False
P40_TRANSFER_CALIBRATED_GEN2,material_class,DBTT,DBTT,False,,,False,False,False,False,False,False
P40_TRANSFER_CALIBRATED_GEN2,max_K_shield_MPa_sqrt_m,0,0,False,0.0,0.0,False,False,False,False,False,False
P40_TRANSFER_CALIBRATED_GEN2,mechanism_summary,exact qualified Candidate A plus audited PT subset,P40 opening-cleavage design from one frozen transfer update; unchanged A_NATIVE background,True,,,False,False,False,False,False,False
P40_TRANSFER_CALIBRATED_GEN2,mobile_shield_fraction,0,0,False,0.0,0.0,False,False,False,False,True,False
P40_TRANSFER_CALIBRATED_GEN2,n_bins_recommended,80,80,False,0.0,0.0,False,False,False,False,False,False
P40_TRANSFER_CALIBRATED_GEN2,n_slip_channels,2,2,False,0.0,0.0,False,False,False,False,False,False
P40_TRANSFER_CALIBRATED_GEN2,option_key,A_NATIVE,P40_TRANSFER_CALIBRATED_GEN2,True,,,False,False,False,False,False,False
P40_TRANSFER_CALIBRATED_GEN2,peierls_H0_eV,3.6593758589588106,3.6593758589588106,False,0.0,0.0,False,False,True,False,True,False
P40_TRANSFER_CALIBRATED_GEN2,peierls_activation_entropy_kB,-17.06620840355754,-17.06620840355754,False,0.0,0.0,False,False,True,True,True,False
