case_id,alias,temperature_K,package,roles,accepted_step,projected_extension_m,checkpoint_generation,metadata_sha256
weakT_V2_P40_1200K_theta0,weakT_V2_P40,1200,milestone_500um,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1037,0.0005064614852632956,fc0c442874bd41b1c4ec4758,0cd4963075ed472be208d5bc2b36c9cd72803d672192675a2cc7fde7348fef6a
weakT_V2_P40_1200K_theta0,weakT_V2_P40,1200,milestone_750um,FIRST_ACCEPTED_AT_OR_BEYOND_750UM,1607,0.0007524061539595259,20299cda5d139c43f704bdb3,b87e6edead3c456f947bbf0c66588cd0b1b989cf7a24d88cebb3dc4fbf5827ae
weakT_V2_P40_1200K_theta0,weakT_V2_P40,1200,terminal,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,2143,0.0010000106212350874,432aaef815a748a887f0cc85,97173dd2a31ef5c7a5562df091ed79bd375b98e6b4180675b88b2d6e41530322
ceramic_V2_P25_300K_theta0,ceramic_V2_P25,300,first_post_event,FIRST_ACCEPTED_POST_EVENT,30,2.4335696912706475e-06,ad4ee65c75e1ae1e33b29668,5f7afbff30f1796f679e776049981fa8f7f6a1b6a43ea5d262c888258b38c705
ceramic_V2_P25_300K_theta0,ceramic_V2_P25,300,initial,INITIAL_ACCEPTED_STATE,0,0.0,f375d21d0407b5ea5074ba06,c56376c3bb7bbe5ee2e749c69727d8256156e7ce14fdc84a1da006174d07057d
ceramic_V2_P25_300K_theta0,ceramic_V2_P25,300,last_pre_first_event,LAST_ACCEPTED_PRE_FIRST_EVENT,29,0.0,d04486822fde2ec9ea463faa,67f17cc97f18c722907628fa2e6c12bdb770cd7536299004bef04b0c8988fccb
ceramic_V2_P25_300K_theta0,ceramic_V2_P25,300,milestone_250um,FIRST_ACCEPTED_AT_OR_BEYOND_250UM,465,0.0002543796503985268,90a20da1cef7f68eb0fef6e9,ad72e8281d7f27855b5ba3e38305da8f42bb179b300ce35d29f6f000c35a1d9c
ceramic_V2_P25_300K_theta0,ceramic_V2_P25,300,milestone_500um,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1033,0.0005064614852632956,d958c1cfa2164a70a2911e99,617f041d2b8bd9a02e668a3a05fda8f8e216ae0a826f0e49ec55dec57744bd90
ceramic_V2_P25_300K_theta0,ceramic_V2_P25,300,milestone_750um,FIRST_ACCEPTED_AT_OR_BEYOND_750UM,1598,0.0007524061539595259,4c81cadfed9e8b18e0842805,9705c72cd4be71865fc514725515f4c5bad408dcdf6780835629b3e40187c2f8
ceramic_V2_P25_300K_theta0,ceramic_V2_P25,300,terminal,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,2128,0.0010000106212350874,78d00dc030ba0673cbbab933,a6a6a8d9017b633c4accc262828f7651935ee4354966def18e826398c82eae1f
ceramic_V2_P25_1200K_theta0,ceramic_V2_P25,1200,first_post_event,FIRST_ACCEPTED_POST_EVENT,20,2.4335696912706475e-06,29d8af0b3cdfc1c8f4929e10,001547fadae5d45fa6eeb0d4af99ad8b15cf4b2bbbe4e30cdfd7bbf3fd3868b7
ceramic_V2_P25_1200K_theta0,ceramic_V2_P25,1200,initial,INITIAL_ACCEPTED_STATE,0,0.0,eef9e5936a5693c1156fb9bd,67decd47089fe9c2f5e484ead6b681db0e55a2bb49f09312143796e3810486fc
ceramic_V2_P25_1200K_theta0,ceramic_V2_P25,1200,last_pre_first_event,LAST_ACCEPTED_PRE_FIRST_EVENT,19,0.0,0e22dfb0b36d756ae4c4b80c,79424a05b9673a301edbcab2782079f63969ad6b8bc376020a1170a0992e7e62
ceramic_V2_P25_1200K_theta0,ceramic_V2_P25,1200,milestone_250um,FIRST_ACCEPTED_AT_OR_BEYOND_250UM,460,0.0002543796503985268,9378c5541e267669b9e4b00b,522df6aeeabdf119c92748504d2aa35a4a4674c8e61125d27ded26d87cc3becd
ceramic_V2_P25_1200K_theta0,ceramic_V2_P25,1200,milestone_500um,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1026,0.0005064614852632956,6f2688d2c7c4be84a1fd5f28,fba1c30c1dd04617e3df8f92859dfb826c053bcaf4660f8e5c68d338ba050882
ceramic_V2_P25_1200K_theta0,ceramic_V2_P25,1200,milestone_750um,FIRST_ACCEPTED_AT_OR_BEYOND_750UM,1590,0.0007524061539595259,81a403c67951e0a04fdc4344,ddfaef1bdb1d9dada650b46d298a630e33f44f71c1bdf6fc4139cc6d3cdd3a35
ceramic_V2_P25_1200K_theta0,ceramic_V2_P25,1200,terminal,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,2119,0.0010000106212350874,2f675be3cf5da36db54c9988,abe0c6c5a549cbc321fc5bed4099ff124f1034295ce1be2b9cfb405bb74bd7d0
ceramic_V2_P40_300K_theta0,ceramic_V2_P40,300,first_post_event,FIRST_ACCEPTED_POST_EVENT,32,2.4335696912706475e-06,d50abb70d45563a3b09dd36d,4f5a54ff0060a7f6384fb61f4193337b280c7e09468e64ae3cd8e4b22f81326a
ceramic_V2_P40_300K_theta0,ceramic_V2_P40,300,initial,INITIAL_ACCEPTED_STATE,0,0.0,270764a36c5147001f76f05d,9522b1ce7b0fa078b3e3f2733df871179b905066269567e20c8701619b09532a
ceramic_V2_P40_300K_theta0,ceramic_V2_P40,300,last_pre_first_event,LAST_ACCEPTED_PRE_FIRST_EVENT,31,0.0,20901d99d85a04a4ad7e02dc,f70f91e437cdfe0e6dad7dacf32dbba99e822fecc0dd064254b8da95aea5f722
ceramic_V2_P40_300K_theta0,ceramic_V2_P40,300,milestone_250um,FIRST_ACCEPTED_AT_OR_BEYOND_250UM,466,0.0002543796503985268,3959fffb5491abcffc09dfe4,253d7559763bb114dab5d30c8774aa1b957fd6e8ac92d1f498aa6c3b95edf95c
ceramic_V2_P40_300K_theta0,ceramic_V2_P40,300,milestone_500um,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1035,0.0005064614852632956,ef6d45932fcb0f3441ddff5f,dee98d9e702beab89dd907b1b7d030eaf4f0d22b9c8b1d81db2631cec1f55446
ceramic_V2_P40_300K_theta0,ceramic_V2_P40,300,milestone_750um,FIRST_ACCEPTED_AT_OR_BEYOND_750UM,1599,0.0007524061539595259,1c7482fcb2fd2f7faacf42ee,86677185ce10b5fddd33c2b795b13a56504441162edcc81d95d271c7e287436c
ceramic_V2_P40_300K_theta0,ceramic_V2_P40,300,terminal,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,2132,0.0010000106212350874,977816aac7ac89711214d59b,bcc99da7b6431e4853118d5f40785049d9eb5c8ce3b35f3d5dad982a0fd5f3b8
ceramic_V2_P40_1200K_theta0,ceramic_V2_P40,1200,first_post_event,FIRST_ACCEPTED_POST_EVENT,12,2.4335696912706475e-06,a3a72651a1a6ff82448c4d88,d8778b2c26056792a1fe621b870578e3117a2c8dbf0723d5ca9ac3813114cbda
ceramic_V2_P40_1200K_theta0,ceramic_V2_P40,1200,initial,INITIAL_ACCEPTED_STATE,0,0.0,a03df286f5fd789dd6438376,97b005ac32198d6f16cce9629d7c4edcce7864fde9a90e247f70fb59dcdc3996
ceramic_V2_P40_1200K_theta0,ceramic_V2_P40,1200,last_pre_first_event,LAST_ACCEPTED_PRE_FIRST_EVENT,11,0.0,c4a160703bf1509d67e92a20,feebb3f73ffac8176e34c80f687783b1a76860d0ab5ce5963fed7d0f778abe70
ceramic_V2_P40_1200K_theta0,ceramic_V2_P40,1200,milestone_250um,FIRST_ACCEPTED_AT_OR_BEYOND_250UM,457,0.0002543796503985268,da8f60d8dd8ebbe146d935ee,dc7b0494b2328894be3c213461d21c049ad31edcb1b3aa66f696b4349438a70c
ceramic_V2_P40_1200K_theta0,ceramic_V2_P40,1200,milestone_500um,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,896,0.0005064614852632956,505d1f196f24ec8e2be906dd,bf83a9a7d8b3d3207c26c61d18345016061e43c381442944ea2de887b407f9de
ceramic_V2_P40_1200K_theta0,ceramic_V2_P40,1200,milestone_750um,FIRST_ACCEPTED_AT_OR_BEYOND_750UM,1272,0.0007524061539595259,b4cfc5f08b7c841b7c7ff3c2,1424de72861e88fbf4186c46e365fe5509c890dfbaccab975414521476332310
ceramic_V2_P40_1200K_theta0,ceramic_V2_P40,1200,terminal,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,1635,0.0010000106212350874,f84b43d885c4f2d21dee99c9,13722024daa8f29c34ab04fe20ff25ba1b86f8afe3108a7968e65d5b334ab468
