candidate_id,temperature_K,grid_root,adaptive_root,absolute_error
P40_TJBSV2_S_038278,1200,7.0165479671,7.016560897,1.29299e-05
P40_TJBSV2_S_043821,300,5.8294512657,5.8294937352,4.2469500000000004e-05
P40_TJBSV2_S_043821,450,6.8383249419,6.8383410562,1.61143e-05
P40_TJBSV2_S_043821,600,7.8261944177,7.8262207723,2.63546e-05
P40_TJBSV2_S_043821,750,8.2569277388,8.2569667202,3.89815e-05
P40_TJBSV2_S_043821,900,8.4836619547,8.4836827021,2.07474e-05
P40_TJBSV2_S_043821,1050,8.622886096,8.622920754,3.46579e-05
P40_TJBSV2_S_043821,1200,8.7169907528,8.7170429268,5.2174000000000006e-05
P40_TJBSV2_S_001565,300,5.5295137341,5.5295761859,6.24518e-05
P40_TJBSV2_S_001565,450,8.5536081522,8.5536224484,1.42962e-05
P40_TJBSV2_S_001565,600,9.609173808,9.6092316766,5.78685e-05
P40_TJBSV2_S_001565,750,9.9959790671,9.9960074947,2.8427700000000002e-05
P40_TJBSV2_S_001565,900,10.1964850342,10.1965643496,7.93155e-05
P40_TJBSV2_S_001565,1050,10.3192040478,10.3192480021,4.39543e-05
P40_TJBSV2_S_001565,1200,10.4019526802,10.4020210463,6.83661e-05
P40_TJBSV2_S_006687,300,5.8411686542,5.8412197552,5.1100900000000004e-05
P40_TJBSV2_S_006687,450,9.459959361,9.4599835502,2.4189300000000002e-05
P40_TJBSV2_S_006687,600,11.1182623901,11.1183031965,4.08064e-05
P40_TJBSV2_S_006687,750,11.7750149764,11.7750677686,5.27922e-05
P40_TJBSV2_S_006687,900,12.1285401581,12.1286120196,7.18615e-05
P40_TJBSV2_S_006687,1050,12.3496906217,12.3497634403,7.281860000000001e-05
P40_TJBSV2_S_006687,1200,12.5011460442,12.5012102354,6.41912e-05
P40_TJBSV2_S_054071,300,5.8735644111,5.8736381864,7.37753e-05
P40_TJBSV2_S_054071,450,8.7593447396,8.7593561755,1.14359e-05
P40_TJBSV2_S_054071,600,11.3781019532,11.3781325718,3.06186e-05
P40_TJBSV2_S_054071,750,12.5695591719,12.5696018028,4.26308e-05
P40_TJBSV2_S_054071,900,13.2563555852,13.2564032639,4.76787e-05
P40_TJBSV2_S_054071,1050,13.7053050275,13.7053388864,3.38589e-05
P40_TJBSV2_S_054071,1200,14.0223524627,14.022396167,4.37043e-05
P40_TJBSV2_S_026081,300,5.2714721175,5.2715156875,4.357e-05
P40_TJBSV2_S_026081,450,12.5772644083,12.577311015,4.66067e-05
P40_TJBSV2_S_026081,600,13.8405244468,13.840650048,0.0001256012
P40_TJBSV2_S_026081,750,14.317449971,14.3176034659,0.00015349500000000002
P40_TJBSV2_S_026081,900,14.5681491288,14.5683199153,0.0001707864
P40_TJBSV2_S_026081,1050,14.7227450694,14.722902489,0.0001574197
P40_TJBSV2_S_026081,1200,14.8275586967,14.8277398485,0.0001811519
P40_TJBSV2_S_044474,300,5.5200257314,5.520057029,3.12975e-05
P40_TJBSV2_S_044474,450,14.5915606783,14.5915913921,3.0713900000000004e-05
P40_TJBSV2_S_044474,600,16.7149541068,16.7150693419,0.00011523510000000001
P40_TJBSV2_S_044474,750,17.6032298522,17.6033042559,7.440370000000001e-05
P40_TJBSV2_S_044474,900,18.0952184499,18.0952939438,7.54939e-05
P40_TJBSV2_S_044474,1050,18.4084056481,18.4085539098,0.0001482617
P40_TJBSV2_S_044474,1200,18.6255874726,18.6257046509,0.0001171783
P40_TJBSV2_S_038503,300,5.0212081344,5.021243053,3.49186e-05
P40_TJBSV2_S_038503,450,14.9494703545,14.9495289035,5.8549000000000005e-05
P40_TJBSV2_S_038503,600,17.8259038622,17.8259918529,8.79907e-05
P40_TJBSV2_S_038503,750,19.1438932358,19.143957354,6.41183e-05
P40_TJBSV2_S_038503,900,19.9142412485,19.9143601294,0.00011888090000000001
P40_TJBSV2_S_038503,1050,20.4228422198,20.4228926727,5.04528e-05
P40_TJBSV2_S_038503,1200,20.7845750628,20.7846640169,8.895410000000001e-05
P40_TJBSV2_S_000589,300,3.8465249411,3.8465391201,1.4179000000000001e-05
P40_TJBSV2_S_000589,450,19.9025197245,19.9025833442,6.36197e-05
P40_TJBSV2_S_000589,600,24.5900096419,24.5900826138,7.29719e-05
P40_TJBSV2_S_000589,750,27.3336817626,27.333778241,9.64785e-05
P40_TJBSV2_S_000589,900,29.2864732607,29.2865624362,8.917550000000001e-05
P40_TJBSV2_S_000589,1050,30.8056981535,30.8057306097,3.24562e-05
P40_TJBSV2_S_000589,1200,32.0490341187,32.0491125265,7.84078e-05
