representation,h_tip_m,kappa,r_inner_m,r_outer_m,r_inner_over_h_tip,support_width_over_r_inner,root_clearance_m,exterior_clearance_m,patch_clearance_m,q_gradient_element_count,raw_q_gradient_support_overlap,exact_excluded_element_count,exact_mask_total,damage_skips,branch_cut_skips,line_of_sight_skips,final_active_element_count,active_angular_coverage_fraction,K_I_int,K_II_int,mode_II_to_mode_I,support_width_m,killed_region_energy_fraction,equilibrium_residual,conditioning
CONFORMING,6.25e-06,,0.00025,0.00027,40.0,0.07999999999999999,2.999999999999997e-05,2.999999999999997e-05,2.999999999999997e-05,1664,0,0,0,0,0,0,2264,1.0,4381382.982041133,-5.975856586691203e-07,1.3639201620094989e-13,0.0,0.0,5.298697801295777e-14,4.000000000000035
CONFORMING,6.25e-06,,0.00026,0.00028,41.599999999999994,0.07692307692307693,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,1752,0,0,0,0,0,0,2312,1.0,4381398.448789873,-6.086319437108056e-07,1.3891271264746707e-13,0.0,0.0,5.298697801295777e-14,4.000000000000035
V12_FIXED,6.25e-06,1e-08,0.00024,0.00026,38.4,0.08333333333333322,3.9999999999999996e-05,3.9999999999999996e-05,3.9999999999999996e-05,1608,24,32,388,0,0,0,2136,1.0,4347098.375269876,-2.5162272983553127e-07,5.7882915939281e-14,1.2499999999999979e-05,6.080026102013132e-08,5.925788196316453e-14,100000001.00000073
V12_FIXED,6.25e-06,1e-08,0.00025,0.00027,40.0,0.07999999999999999,2.999999999999997e-05,2.999999999999997e-05,2.999999999999997e-05,1664,24,38,388,0,0,0,2226,1.0,4347026.898519027,-2.634675278592173e-07,6.060867209010764e-14,1.2499999999999979e-05,6.080026102013132e-08,5.925788196316453e-14,100000001.00000073
V12_FIXED,6.25e-06,1e-08,0.00026,0.00028,41.599999999999994,0.07692307692307693,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,1752,28,32,388,0,0,0,2280,1.0,4346971.075238973,-2.7057032103066044e-07,6.224341417219713e-14,1.2499999999999979e-05,6.080026102013132e-08,5.925788196316453e-14,100000001.00000073
V12_JOINT_P2,6.25e-06,6.25e-08,0.00024,0.00026,38.4,0.08333333333333322,3.9999999999999996e-05,3.9999999999999996e-05,3.9999999999999996e-05,1608,24,32,388,0,0,0,2136,1.0,4347100.425013315,-1.6114562641915822e-06,3.7069681089473486e-13,1.2499999999999979e-05,3.800006097212123e-07,5.945695868740683e-14,16000001.000000121
V12_JOINT_P2,6.25e-06,6.25e-08,0.00025,0.00027,40.0,0.07999999999999999,2.999999999999997e-05,2.999999999999997e-05,2.999999999999997e-05,1664,24,38,388,0,0,0,2226,1.0,4347029.07310408,-1.5687453761631377e-06,3.608775901383482e-13,1.2499999999999979e-05,3.800006097212123e-07,5.945695868740683e-14,16000001.000000121
V12_JOINT_P2,6.25e-06,6.25e-08,0.00026,0.00028,41.599999999999994,0.07692307692307693,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,1752,28,32,388,0,0,0,2280,1.0,4346973.363191354,-1.525158446916553e-06,3.5085525479200306e-13,1.2499999999999979e-05,3.800006097212123e-07,5.945695868740683e-14,16000001.000000121
CONFORMING,3.125e-06,,0.00024,0.00026,76.8,0.08333333333333322,3.9999999999999996e-05,3.9999999999999996e-05,3.9999999999999996e-05,6408,0,0,0,0,0,0,7552,1.0,4377769.771017685,3.1211476876286305e-06,7.12953821439328e-13,0.0,0.0,1.1594430289004432e-13,4.000000000000054
CONFORMING,3.125e-06,,0.00025,0.00027,80.0,0.07999999999999999,2.999999999999997e-05,2.999999999999997e-05,2.999999999999997e-05,6680,0,0,0,0,0,0,7904,1.0,4377773.067501678,3.0536787437166637e-06,6.975415803038295e-13,0.0,0.0,1.1594430289004432e-13,4.000000000000054
CONFORMING,3.125e-06,,0.00026,0.00028,83.19999999999999,0.07692307692307693,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,6936,0,0,0,0,0,0,8168,1.0,4377776.791345835,2.9751904581892647e-06,6.796121867315713e-13,0.0,0.0,1.1594430289004432e-13,4.000000000000054
V12_FIXED,3.125e-06,1e-08,0.00024,0.00026,76.8,0.08333333333333322,3.9999999999999996e-05,3.9999999999999996e-05,3.9999999999999996e-05,6408,48,64,772,0,0,0,7488,1.0,4359424.314253606,2.2080282759347102e-06,5.06495380299487e-13,6.250000000000016e-06,1.1252341575407986e-07,1.272004022318684e-13,100000001.00000194
V12_FIXED,3.125e-06,1e-08,0.00025,0.00027,80.0,0.07999999999999999,2.999999999999997e-05,2.999999999999997e-05,2.999999999999997e-05,6680,52,62,772,0,0,0,7842,1.0,4359406.137684941,2.2007518614937926e-06,5.048283623930713e-13,6.250000000000016e-06,1.1252341575407986e-07,1.272004022318684e-13,100000001.00000194
V12_FIXED,3.125e-06,1e-08,0.00026,0.00028,83.19999999999999,0.07692307692307693,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,6936,52,56,772,0,0,0,8112,1.0,4359391.3577728225,2.1947882039361813e-06,5.034620716084277e-13,6.250000000000016e-06,1.1252341575407986e-07,1.272004022318684e-13,100000001.00000194
V12_JOINT_P2,3.125e-06,1.5625e-08,0.00024,0.00026,76.8,0.08333333333333322,3.9999999999999996e-05,3.9999999999999996e-05,3.9999999999999996e-05,6408,48,64,772,0,0,0,7488,1.0,4359424.724249604,1.91595564588705e-06,4.394973573530042e-13,6.250000000000016e-06,1.7581773778097424e-07,1.2423522252815848e-13,64000001.00000123
V12_JOINT_P2,3.125e-06,1.5625e-08,0.00025,0.00027,80.0,0.07999999999999999,2.999999999999997e-05,2.999999999999997e-05,2.999999999999997e-05,6680,52,62,772,0,0,0,7842,1.0,4359406.572943557,1.8074379021599458e-06,4.146064084450669e-13,6.250000000000016e-06,1.7581773778097424e-07,1.2423522252815848e-13,64000001.00000123
V12_JOINT_P2,3.125e-06,1.5625e-08,0.00026,0.00028,83.19999999999999,0.07692307692307693,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,6936,52,56,772,0,0,0,8112,1.0,4359391.815607755,1.684325414478784e-06,3.8636706350836863e-13,6.250000000000016e-06,1.7581773778097424e-07,1.2423522252815848e-13,64000001.00000123
