candidate_id,integration_role,Kmax_MPa_sqrt_m,DeltaK_MPa_sqrt_m,seed,backstress_Pa,committed_advance_m,cumulative_extension_m,cycles,event_index,event_length_factor,explicit_cycles,front_width_m,interval_cycles,mobile_m2,periodic_projection_cycles,phase_fraction,physical_hazard_action,proposed_advance_m,retained_m2,shielding_MPa_sqrt_m,threshold_action,tip_radius_m
P25_TJBSV2_S_002987,EXPLICIT_CYCLE_OVERLAP,6.0,5.4,1720,5.519085298626457e-126,6.847168980152932e-06,1.6036529362652427e-05,3157.0701455166113,4,1.3694337960305862,2120,1e-05,2120.4479920573913,1.404331760937264e-253,0.0,0.44799205739155923,1.4902384268643758,6.847168980152932e-06,4.948642358868174e-300,1.1037559346e-313,1.4902384268643758,1e-06
P25_TJBSV2_S_002987,EXPLICIT_CYCLE_OVERLAP,6.0,5.4,1720,0.0,1.2851577741021596e-05,2.8888107103674025e-05,7140.415348786115,5,2.570315548204319,3983,1e-05,3983.3452032695036,0.0,0.0,0.345203269503898,2.797055987813155,1.2851577741021596e-05,0.0,0.0,2.797055987813155,1e-06
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,6.0,5.4,1720,43932291.94709278,2.2973400956248734e-06,2.2973400956248734e-06,533.4276847721353,0,0.45946801912497465,92,8.235501972929877e-06,533.4276847721353,4449110907707.687,441.0,0.4276847721353647,0.3753690264272723,2.2973400956248734e-06,1.3332343303824782e-34,2.973674793210383e-48,0.3753690264272723,1.0003337623398672e-06
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,6.0,5.4,1720,34842528.344944656,2.2973400956248734e-06,4.594680191249747e-06,842.8123452434235,1,0.45946801912497465,49,8.77595568238679e-06,309.38466047128816,2798496925095.373,260.0,0.38466047128812875,0.2176813454772713,2.2973400956248734e-06,5.3373539045550654e-36,1.1904550015498914e-49,0.2176813454772713,1.000209936974197e-06
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,6.0,5.4,1720,22317357.663588528,2.2973400956248734e-06,6.89202028687462e-06,906.2846222280793,2,0.45946801912497465,63,9.438891241242772e-06,63.47227698465588,1148129979488.6704,0.0,0.47227698465591317,0.04468101397612416,2.2973400956248734e-06,1.1802951320152595e-34,2.6325558850677085e-48,0.04468101397612416,1.0000861301406899e-06
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,6.0,5.4,1720,29897708.760309037,2.2973400956248734e-06,9.189360382499494e-06,1036.6065190911097,3,0.45946801912497465,55,9.054618881252398e-06,130.32189686303036,2060541302041.7717,75.0,0.321896863030382,0.09162504074279444,2.2973400956248734e-06,3.379852203815915e-38,7.53849572743948e-52,0.09162504074279443,1.0001545771954506e-06
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,6.0,5.4,1720,2.8014392491756416e-129,6.847168980152932e-06,1.6036529362652427e-05,3156.112276572805,4,1.3694337960305862,89,1e-05,2119.5057574816956,3.61824460845456e-260,2030.0,0.5057574816955821,1.4902384268643758,6.847168980152932e-06,3.8160033496019174e-306,8.5113e-320,1.4902384268643758,1e-06
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,6.0,5.4,1720,0.0,1.2851577741021596e-05,2.8888107103674025e-05,7134.826281993995,5,2.570315548204319,113,1e-05,3978.7140054211895,0.0,3865.0,0.7140054211897819,2.797055987813155,1.2851577741021596e-05,0.0,0.0,2.797055987813155,1e-06
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,12.75,11.475,1720,673852026.145423,2.2973400956248734e-06,2.2973400956248734e-06,103.2658319841459,0,0.45946801912497465,42,9.423301754424084e-07,103.2658319841459,1046729796544556.2,61.0,0.2658319841459047,0.3753690264272723,2.2973400956248734e-06,2.108557026608894e-29,4.7029713660874e-43,0.3753690264272723,1.0785233259746994e-06
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,12.75,11.475,1720,605175399.4091258,2.2973400956248734e-06,4.594680191249747e-06,162.63331877319663,1,0.45946801912497465,59,1.0481522954896393e-06,59.36748678905073,844244113101443.4,0.0,0.36748678905072296,0.21768134547727133,2.2973400956248734e-06,3.620080002951966e-21,8.074305025655156e-35,0.2176813454772713,1.063333303316797e-06
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,12.75,11.475,1720,595134094.8737824,2.2973400956248734e-06,6.89202028687462e-06,174.1929941824409,2,0.45946801912497465,11,1.0656378988402053e-06,11.559675409244278,816460489290647.5,0.0,0.5596754092442779,0.04468101397612422,2.2973400956248734e-06,3.309280151824858e-16,7.381090290654235e-30,0.04468101397612416,1.0612490380589858e-06
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,12.75,11.475,1720,607194495.0241185,2.2973400956248734e-06,9.189360382499494e-06,198.6621757452125,3,0.45946801912497465,24,1.04470499167209e-06,24.46918156277158,849886950539339.4,0.0,0.4691815627715741,0.09162504074279448,2.2973400956248734e-06,9.732718447504588e-16,2.170806650954992e-29,0.09162504074279443,1.0637566163485086e-06
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,12.75,11.475,1720,9.946184295405948e-78,6.847168980152932e-06,1.6036529362652427e-05,613.0892170722984,4,1.3694337960305862,46,1e-05,414.42704132708593,4.5608785731633985e-157,368.0,0.4270413270859521,1.4902384268643758,6.847168980152932e-06,4.3364319197653427e-190,9.672071891952972e-204,1.4902384268643758,1e-06
P25_TJBSV2_S_002987,QUALIFIED_ACCELERATED_OR_EXACT,12.75,11.475,1720,0.0,1.2851577741021596e-05,2.8888107103674025e-05,1392.3046484622487,5,2.570315548204319,51,1e-05,779.2154313899503,0.0,728.0,0.21543138995028954,2.797055987813155,1.2851577741021596e-05,0.0,0.0,2.797055987813155,1e-06
