campaign_of_record,canonical_job_key,protocol,registry_status,controller_status,final_disposition,note,campaigns_referencing
PX4_developed,316df6a414fe851327d8cc184aeb749db2b4617d15258f815dc2ef1a2df1d5f7,D4,BLOCKED_DWELL_GATE_NOT_SATISFIED,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,070782225da9b62521a8a54fddfc2d8ac02a26b794e90ea6e498cb03db016a9d,D4,BLOCKED_DWELL_GATE_NOT_SATISFIED,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,c4dc6b40db7e3bed7e4d9d5d8c5753df7c990d46723d3ebc35cc7a1d49b5d327,D4,BLOCKED_DWELL_GATE_NOT_SATISFIED,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,f86e8b54316c0052f3383865f21faf8594881a75381b651cbe1eb6a7c9936dc4,D4,BLOCKED_DWELL_GATE_NOT_SATISFIED,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,d225b639980c26d3a4da5e2a64faf732d80af2910f53ba26530f39c3932dcb41,D4,BLOCKED_DWELL_GATE_NOT_SATISFIED,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,6588c3544d957c11086180d71605e02f5f56b8c7f2878b90de83cd6b6e0b50ec,D4,BLOCKED_DWELL_GATE_NOT_SATISFIED,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,300d668f7790fad8c7e6324b49da2b7acb83ed8c5cf1862a190a35113f38b018,D4,BLOCKED_DWELL_GATE_NOT_SATISFIED,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,1d8ee217debe56611118f3640e014856b2566549090eeb3d4a6ce995b368f61a,D5,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,cc30ed549f1fffe360ac227677ef3bd2a96556dc5e52e55dfad52e5d6edbdf01,D5,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,12a1e3ae73ec753e9be281686d7bdf79daa3e15c9891b838f4ce4a56734eb462,D5,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,cd34961bdcf5d123ef4d595ecea58e872b33af3adaad9046de1d2c087eba74e9,D5,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,00d728b3d1512e8ee581723cf3c733ce6a4a882feb5849e715f077fa131542e7,D5,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,74dd992eca429f995930ffb863a045a489898b3e5ce02e9c3fbd71513c5d4102,D5,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,34fb6d57084b8860cfd438315bfd7617aca9693f95d4f88859509095d5393289,D5,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,acd005fcfeb8219cfcef1bc65fa2173559663d3c859aba7cd4b18e6e88cdc78e,D5,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,e57df4b247333b9dbe88f3a1945805361d314b8da8a1e4cf141862bad67b812a,D6_conditional_persistent,BLOCKED_PROTOCOL_MISMATCH,,NOT_LAUNCHED_BLOCKED,,PX4_developed
PX4_developed,c75161695768af482d94fd45c528bcf5f2986e345cfb74d6a021c417b7be50b5,D6_conditional_persistent,BLOCKED_PROTOCOL_MISMATCH,,NOT_LAUNCHED_BLOCKED,,PX4_developed
