visible_curve_label,internal_parameterization_id,campaign,branch,commit,source_table,physical_source_bundle_hash,Kmax_MPa_sqrt_m,R,DeltaK_applied_MPa_sqrt_m,tensile_only_range_MPa_sqrt_m,temperature_K,frequency_Hz,seed,da_dN_m_per_cycle,developed_window_definition,stationarity_result,censor_exclusion_state,parameterization_category,notes
"PT08, R=0.1",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,1A_PT03_PT08_R_developed_points.csv,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,18.0,0.1,16.2,16.2,300.0,1000.0,1720,4.473471513329103e-07,stationary-window developed rate (stationarity_ratio=0.9107007146961993),STABLE,REUSED_PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY_REUSE; job_id=primary__A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6__R0.1__Kmax18__seed1720
"A_NATIVE, R=0.1",A_NATIVE,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,1A_PT03_PT08_R_developed_points.csv,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,24.0,0.1,21.6,21.6,300.0,1000.0,1720,5.580641987406302e-07,stationary-window developed rate (stationarity_ratio=0.9073520305709378),STABLE,REUSED_PHYSICAL_TARGET_REACHED,baseline,stage=PRIMARY_REUSE; job_id=primary__A_NATIVE__R0.1__Kmax24__seed1720
"PT03, R=0.1",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,1A_PT03_PT08_R_developed_points.csv,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,24.0,0.1,21.6,21.6,300.0,1000.0,1720,5.679672698171123e-07,stationary-window developed rate (stationarity_ratio=0.8943975030247387),STABLE,REUSED_PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY_REUSE; job_id=primary__A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5__R0.1__Kmax24__seed1720
"PT08, R=0.1",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,1A_PT03_PT08_R_developed_points.csv,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,24.0,0.1,21.6,21.6,300.0,1000.0,1720,5.583805978063834e-07,stationary-window developed rate (stationarity_ratio=0.9070450382138977),STABLE,REUSED_PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY_REUSE; job_id=primary__A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6__R0.1__Kmax24__seed1720
"A_NATIVE, R=-0.95",A_NATIVE,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,12.0,-0.95,23.4,12.0,300.0,1000.0,1720,1.655830330487975e-08,stationary-window developed rate (stationarity_ratio=0.9875623543217743),STABLE,PHYSICAL_TARGET_REACHED,baseline,stage=PRIMARY; job_id=primary__A_NATIVE__R-0.95__Kmax12__seed1720
"PT03, R=-0.95",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,12.0,-0.95,23.4,12.0,300.0,1000.0,1720,1.665106645357266e-08,stationary-window developed rate (stationarity_ratio=0.9844844567147804),STABLE,PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY; job_id=primary__A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5__R-0.95__Kmax12__seed1720
"PT08, R=-0.95",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,12.0,-0.95,23.4,12.0,300.0,1000.0,1720,1.6558303304879748e-08,stationary-window developed rate (stationarity_ratio=0.9875623543217726),STABLE,PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY; job_id=primary__A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6__R-0.95__Kmax12__seed1720
"A_NATIVE, R=-0.95",A_NATIVE,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,15.0,-0.95,29.25,15.0,300.0,1000.0,1720,2.0024767529003474e-07,stationary-window developed rate (stationarity_ratio=0.9195282855347896),STABLE,PHYSICAL_TARGET_REACHED,baseline,stage=PRIMARY; job_id=primary__A_NATIVE__R-0.95__Kmax15__seed1720
"PT03, R=-0.95",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,15.0,-0.95,29.25,15.0,300.0,1000.0,1720,2.0080144403330832e-07,stationary-window developed rate (stationarity_ratio=0.9251152161174877),STABLE,PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY; job_id=primary__A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5__R-0.95__Kmax15__seed1720
"PT08, R=-0.95",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,15.0,-0.95,29.25,15.0,300.0,1000.0,1720,2.002476754138269e-07,stationary-window developed rate (stationarity_ratio=0.9195282846814677),STABLE,PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY; job_id=primary__A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6__R-0.95__Kmax15__seed1720
"A_NATIVE, R=-0.95",A_NATIVE,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,18.0,-0.95,35.1,18.0,300.0,1000.0,1720,2.9467920569579534e-07,stationary-window developed rate (stationarity_ratio=0.9025668168940776),STABLE,PHYSICAL_TARGET_REACHED,baseline,stage=PRIMARY; job_id=primary__A_NATIVE__R-0.95__Kmax18__seed1720
"PT03, R=-0.95",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,18.0,-0.95,35.1,18.0,300.0,1000.0,1720,2.975068956166946e-07,stationary-window developed rate (stationarity_ratio=0.9099473644903882),STABLE,PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY; job_id=primary__A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5__R-0.95__Kmax18__seed1720
"PT08, R=-0.95",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,18.0,-0.95,35.1,18.0,300.0,1000.0,1720,2.946819530031878e-07,stationary-window developed rate (stationarity_ratio=0.9025628010912036),STABLE,PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY; job_id=primary__A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6__R-0.95__Kmax18__seed1720
"A_NATIVE, R=-0.95",A_NATIVE,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,24.0,-0.95,46.8,24.0,300.0,1000.0,1720,3.622293986474048e-07,stationary-window developed rate (stationarity_ratio=0.9036857349480516),STABLE,PHYSICAL_TARGET_REACHED,baseline,stage=PRIMARY; job_id=primary__A_NATIVE__R-0.95__Kmax24__seed1720
"PT03, R=-0.95",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,24.0,-0.95,46.8,24.0,300.0,1000.0,1720,3.6868505938176397e-07,stationary-window developed rate (stationarity_ratio=0.9104964176809996),STABLE,PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY; job_id=primary__A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5__R-0.95__Kmax24__seed1720
"PT08, R=-0.95",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,24.0,-0.95,46.8,24.0,300.0,1000.0,1720,3.623466259431827e-07,stationary-window developed rate (stationarity_ratio=0.9034965709871361),STABLE,PHYSICAL_TARGET_REACHED,PT substitution,stage=PRIMARY; job_id=primary__A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6__R-0.95__Kmax24__seed1720
"D1 (COMPETING_REVERSIBLE, R=-0.95, 1000 Hz)",D1/COMPETING_REVERSIBLE,"Crack-rebonding Part X, PX4 stage-1 developed rate study",codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,px4_stage1_rate_table.csv,d21b13aa3691f77eed7daa247e12defc0758cf1bfa6cc91a394f01505d5d9c7f,12.0,-0.95,23.4,12.0,300.0,1000.0,1720,1.4861604275526836e-09,PX4 stage-1 stationary developed window (both_stable_growth=True),True,DEVELOPED_STABLE,rebonding dynamic,finite (cohesive) branch; S_h_developed=-1.190022511067047
D1 zero-cohesion baseline,D1/COMPETING_REVERSIBLE,"Crack-rebonding Part X, PX4 stage-1 developed rate study",codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,px4_stage1_rate_table.csv,d21b13aa3691f77eed7daa247e12defc0758cf1bfa6cc91a394f01505d5d9c7f,12.0,-0.95,23.4,12.0,300.0,1000.0,1720,2.3019092818255114e-08,PX4 stage-1 stationary developed window (both_stable_growth=True),True,DEVELOPED_STABLE,zero-cohesion control,matched zero-cohesion baseline for D1 at identical Kmax/R/frequency/seed
"D1 (COMPETING_REVERSIBLE, R=-0.95, 1000 Hz)",D1/COMPETING_REVERSIBLE,"Crack-rebonding Part X, PX4 stage-1 developed rate study",codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,px4_stage1_rate_table.csv,d21b13aa3691f77eed7daa247e12defc0758cf1bfa6cc91a394f01505d5d9c7f,15.0,-0.95,29.25,15.0,300.0,1000.0,1720,1.7104716624637634e-07,PX4 stage-1 stationary developed window (both_stable_growth=True),True,DEVELOPED_STABLE,rebonding dynamic,finite (cohesive) branch; S_h_developed=-0.12534200286643923
D1 zero-cohesion baseline,D1/COMPETING_REVERSIBLE,"Crack-rebonding Part X, PX4 stage-1 developed rate study",codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,px4_stage1_rate_table.csv,d21b13aa3691f77eed7daa247e12defc0758cf1bfa6cc91a394f01505d5d9c7f,15.0,-0.95,29.25,15.0,300.0,1000.0,1720,2.2827475558511557e-07,PX4 stage-1 stationary developed window (both_stable_growth=True),True,DEVELOPED_STABLE,zero-cohesion control,matched zero-cohesion baseline for D1 at identical Kmax/R/frequency/seed
