visible_curve_label,internal_parameterization_id,K_mid_MPa_sqrt_m,m_local
D1 zero-cohesion baseline,D1/COMPETING_REVERSIBLE,19.4422,1.0424
D1 zero-cohesion baseline,D1/COMPETING_REVERSIBLE,22.5898,0.7145
"D2 (COMPETING_REVERSIBLE, R=-0.50, 1000 Hz)",D2/COMPETING_REVERSIBLE,13.4164,21.2794
"D2 (COMPETING_REVERSIBLE, R=-0.50, 1000 Hz)",D2/COMPETING_REVERSIBLE,16.4317,3.0789
"D2 (COMPETING_REVERSIBLE, R=-0.50, 1000 Hz)",D2/COMPETING_REVERSIBLE,19.4422,1.3082
"D2 (COMPETING_REVERSIBLE, R=-0.50, 1000 Hz)",D2/COMPETING_REVERSIBLE,22.5898,0.8564
D2 zero-cohesion baseline,D2/COMPETING_REVERSIBLE,13.4164,10.2969
D2 zero-cohesion baseline,D2/COMPETING_REVERSIBLE,16.4317,2.0388
D2 zero-cohesion baseline,D2/COMPETING_REVERSIBLE,19.4422,1.0654
D2 zero-cohesion baseline,D2/COMPETING_REVERSIBLE,22.5898,0.7359
"D5 (PASSIVATION_LIMITED, R=-0.50, 1000 Hz)",D5/PASSIVATION_LIMITED,13.4164,21.2782
"D5 (PASSIVATION_LIMITED, R=-0.50, 1000 Hz)",D5/PASSIVATION_LIMITED,16.4317,3.0791
"D5 (PASSIVATION_LIMITED, R=-0.50, 1000 Hz)",D5/PASSIVATION_LIMITED,19.4422,1.3093
"D5 (PASSIVATION_LIMITED, R=-0.50, 1000 Hz)",D5/PASSIVATION_LIMITED,22.5898,0.8561
D5 zero-cohesion baseline,D5/PASSIVATION_LIMITED,13.4164,10.2969
D5 zero-cohesion baseline,D5/PASSIVATION_LIMITED,16.4317,2.0388
D5 zero-cohesion baseline,D5/PASSIVATION_LIMITED,19.4422,1.0654
D5 zero-cohesion baseline,D5/PASSIVATION_LIMITED,22.5898,0.7359
"D1 (COMPETING_REVERSIBLE, R=-0.95, 1000 Hz (2nd seed))",D1_confirm/COMPETING_REVERSIBLE,16.4317,3.0559
"D1 (COMPETING_REVERSIBLE, R=-0.95, 1000 Hz (2nd seed))",D1_confirm/COMPETING_REVERSIBLE,19.4422,1.2874
D1 zero-cohesion baseline,D1_confirm/COMPETING_REVERSIBLE,16.4317,2.0158
D1 zero-cohesion baseline,D1_confirm/COMPETING_REVERSIBLE,19.4422,1.0424
"D2 (COMPETING_REVERSIBLE, R=-0.50, 1000 Hz (2nd seed))",D2_confirm/COMPETING_REVERSIBLE,16.4317,3.0789
"D2 (COMPETING_REVERSIBLE, R=-0.50, 1000 Hz (2nd seed))",D2_confirm/COMPETING_REVERSIBLE,19.4422,1.3106
D2 zero-cohesion baseline,D2_confirm/COMPETING_REVERSIBLE,16.4317,2.0388
D2 zero-cohesion baseline,D2_confirm/COMPETING_REVERSIBLE,19.4422,1.0654
"D3 (COMPETING_REVERSIBLE, R=-0.50, 316.228 Hz)",D3/COMPETING_REVERSIBLE,13.4164,13.8019
"D3 (COMPETING_REVERSIBLE, R=-0.50, 316.228 Hz)",D3/COMPETING_REVERSIBLE,16.4317,2.4891
"D3 (COMPETING_REVERSIBLE, R=-0.50, 316.228 Hz)",D3/COMPETING_REVERSIBLE,19.4422,1.1983
"D3 (COMPETING_REVERSIBLE, R=-0.50, 316.228 Hz)",D3/COMPETING_REVERSIBLE,22.5898,0.7991
D3 zero-cohesion baseline,D3/COMPETING_REVERSIBLE,13.4164,10.2969
D3 zero-cohesion baseline,D3/COMPETING_REVERSIBLE,16.4317,2.0388
D3 zero-cohesion baseline,D3/COMPETING_REVERSIBLE,19.4422,1.0654
D3 zero-cohesion baseline,D3/COMPETING_REVERSIBLE,22.5898,0.7359
"D6_conditional_persistent (COMPETING_PERSISTENT, R=-0.50, 316.228 Hz)",D6_conditional_persistent/COMPETING_PERSISTENT,13.4164,21.2834
"D6_conditional_persistent (COMPETING_PERSISTENT, R=-0.50, 316.228 Hz)",D6_conditional_persistent/COMPETING_PERSISTENT,16.4317,3.0744
"D6_conditional_persistent (COMPETING_PERSISTENT, R=-0.50, 316.228 Hz)",D6_conditional_persistent/COMPETING_PERSISTENT,19.4422,1.3136
"D6_conditional_persistent (COMPETING_PERSISTENT, R=-0.50, 316.228 Hz)",D6_conditional_persistent/COMPETING_PERSISTENT,22.5898,0.8476
D6_conditional_persistent zero-cohesion baseline,D6_conditional_persistent/COMPETING_PERSISTENT,13.4164,10.2969
D6_conditional_persistent zero-cohesion baseline,D6_conditional_persistent/COMPETING_PERSISTENT,16.4317,2.0388
D6_conditional_persistent zero-cohesion baseline,D6_conditional_persistent/COMPETING_PERSISTENT,19.4422,1.0654
D6_conditional_persistent zero-cohesion baseline,D6_conditional_persistent/COMPETING_PERSISTENT,22.5898,0.7359
"D3 (COMPETING_REVERSIBLE, R=-0.50, 316.228 Hz (2nd seed))",D3_confirm/COMPETING_REVERSIBLE,16.4317,2.4883
"D3 (COMPETING_REVERSIBLE, R=-0.50, 316.228 Hz (2nd seed))",D3_confirm/COMPETING_REVERSIBLE,19.4422,1.1979
D3 zero-cohesion baseline,D3_confirm/COMPETING_REVERSIBLE,16.4317,2.0388
D3 zero-cohesion baseline,D3_confirm/COMPETING_REVERSIBLE,19.4422,1.0654
"D5 (PASSIVATION_LIMITED, R=-0.50, 1000 Hz (2nd seed))",D5_confirm/PASSIVATION_LIMITED,16.4317,3.081
"D5 (PASSIVATION_LIMITED, R=-0.50, 1000 Hz (2nd seed))",D5_confirm/PASSIVATION_LIMITED,19.4422,1.3107
D5 zero-cohesion baseline,D5_confirm/PASSIVATION_LIMITED,16.4317,2.0388
D5 zero-cohesion baseline,D5_confirm/PASSIVATION_LIMITED,19.4422,1.0654
"D6_conditional_persistent (COMPETING_PERSISTENT, R=-0.50, 316.228 Hz (2nd seed))",D6_confirm/COMPETING_PERSISTENT,16.4317,3.066
"D6_conditional_persistent (COMPETING_PERSISTENT, R=-0.50, 316.228 Hz (2nd seed))",D6_confirm/COMPETING_PERSISTENT,19.4422,1.3165
D6_conditional_persistent zero-cohesion baseline,D6_confirm/COMPETING_PERSISTENT,16.4317,2.0388
D6_conditional_persistent zero-cohesion baseline,D6_confirm/COMPETING_PERSISTENT,19.4422,1.0654
