case_id,matrix,material_class,candidate_id,temperature_K,theta_deg,rate_tag,loading_rate_factor,seed,physical_avalanche_index,first_event_transaction_index,last_event_transaction_index,event_transaction_count,start_extension_um,end_extension_um,avalanche_extension_um,onset_opening_m,onset_native_J_J_per_m2,onset_native_KJ_MPa_sqrt_m,target_right_censored,grouping_rule
canonical_single_crack_theta__ceramiclike__T0800K__theta30__rate1x__seed3005639,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,800.0,30.0,rate1x,1.0,3005639,0,0,221,222,0.0,1011.4047700616209,1011.4047700616209,8.892218622911921e-06,508.9777974260945,15.047699655228126,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T0900K__theta15__rate1x__seed3006648,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,900.0,15.0,rate1x,1.0,3006648,0,0,223,224,0.0,1010.5892164029807,1010.5892164029807,9.728612761534466e-06,611.1877045129645,16.489519466155908,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T0900K__theta30__rate1x__seed3006648,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,900.0,30.0,rate1x,1.0,3006648,0,0,226,227,0.0,1004.3633978089031,1004.3633978089031,8.774559917670396e-06,495.59767754244655,14.848593792745666,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T0950K__theta15__rate1x__seed3007657,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,950.0,15.0,rate1x,1.0,3007657,0,0,6,7,0.0,54.72131563517477,54.72131563517477,9.437431730891947e-06,575.1490684904423,15.995981960794476,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T0950K__theta15__rate1x__seed3007657,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,950.0,15.0,rate1x,1.0,3007657,1,7,7,1,54.72131563517477,68.64109189634485,13.919776261170076,1.022766592975128e-05,556.7374662728306,15.737868770082176,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T0950K__theta15__rate1x__seed3007657,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,950.0,15.0,rate1x,1.0,3007657,2,8,225,218,68.64109189634485,1006.829658672949,938.1885667766041,1.141533617706191e-05,536.0071786835294,15.442087124248207,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T0950K__theta30__rate1x__seed3007657,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,950.0,30.0,rate1x,1.0,3007657,0,0,229,230,0.0,1002.0230840558789,1002.0230840558789,8.552136467528318e-06,470.7906394757001,14.472201644064821,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1000K__theta15__rate1x__seed3008666,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1000.0,15.0,rate1x,1.0,3008666,0,0,17,18,0.0,87.51302965175859,87.51302965175859,9.274026849829773e-06,555.4046002176555,15.71901873559621,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1000K__theta15__rate1x__seed3008666,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1000.0,15.0,rate1x,1.0,3008666,1,18,198,181,87.51302965175859,1003.6685135059466,916.155483854188,1.0775373177997743e-05,461.66342168578547,14.331228758220831,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1000K__theta30__rate1x__seed3008666,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1000.0,30.0,rate1x,1.0,3008666,0,0,3,4,0.0,13.947497323382935,13.947497323382935,8.41781117676958e-06,456.117708774454,14.244892047084091,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1000K__theta30__rate1x__seed3008666,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1000.0,30.0,rate1x,1.0,3008666,1,4,203,200,13.947497323382935,1001.5297071093701,987.5822097859872,9.083098313413799e-06,461.7253088436222,14.332189294894354,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1050K__theta15__rate1x__seed3009675,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1050.0,15.0,rate1x,1.0,3009675,0,0,190,191,0.0,789.2633736407845,789.2633736407845,8.802830891356953e-06,500.40022046896695,14.920364793861348,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1050K__theta15__rate1x__seed3009675,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1050.0,15.0,rate1x,1.0,3009675,1,191,238,48,789.2633736407845,1000.2626681319618,210.99929449117744,1.140845951535178e-05,416.1401483298413,13.606314468632155,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1050K__theta30__rate1x__seed3009675,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1050.0,30.0,rate1x,1.0,3009675,0,0,239,240,0.0,1006.4902675462946,1006.4902675462946,8.048477757852636e-06,416.97121113019534,13.619894102681231,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1100K__theta15__rate1x__seed3010684,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1100.0,15.0,rate1x,1.0,3010684,0,0,226,227,0.0,1002.3398550873712,1002.3398550873712,8.316304518984042e-06,446.6152433468049,14.095726555636732,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1100K__theta30__rate1x__seed3010684,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1100.0,30.0,rate1x,1.0,3010684,0,0,226,227,0.0,1002.9910011282481,1002.9910011282481,7.659359706365768e-06,377.62740675645676,12.961415963815533,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1150K__theta15__rate1x__seed3011693,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1150.0,15.0,rate1x,1.0,3011693,0,0,217,218,0.0,1005.7274894950802,1005.7274894950802,8.157718590311912e-06,429.74438824939483,13.82693121739109,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1150K__theta30__rate1x__seed3011693,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1150.0,30.0,rate1x,1.0,3011693,0,0,218,219,0.0,1000.4375127606936,1000.4375127606936,7.529910908598834e-06,364.9709098976836,12.7423585258317,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1200K__theta15__rate1x__seed3012702,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1200.0,15.0,rate1x,1.0,3012702,0,0,11,12,0.0,52.90595097258877,52.90595097258877,7.983791587876853e-06,411.61496654428925,13.53213351471321,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1200K__theta15__rate1x__seed3012702,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1200.0,15.0,rate1x,1.0,3012702,1,12,223,212,52.90595097258877,1006.5982915301794,953.6923405575906,9.72700092323662e-06,350.30388467254215,12.483695647789164,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1200K__theta30__rate1x__seed3012702,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1200.0,30.0,rate1x,1.0,3012702,0,0,12,13,0.0,55.09715307372182,55.09715307372182,7.384592058443821e-06,351.01978225019093,12.496445272446163,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1200K__theta30__rate1x__seed3012702,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1200.0,30.0,rate1x,1.0,3012702,1,13,223,211,55.09715307372182,1000.162844644936,945.0656915712142,8.478860973983303e-06,380.12922697699616,13.004280439322292,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1250K__theta15__rate1x__seed3013711,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1250.0,15.0,rate1x,1.0,3013711,0,0,36,37,0.0,175.07521209494448,175.07521209494448,7.766209369795913e-06,389.4852037418747,13.163342371671648,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1250K__theta15__rate1x__seed3013711,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1250.0,15.0,rate1x,1.0,3013711,1,37,212,176,175.07521209494448,1001.0167658246781,825.9415537297336,8.73171794559627e-06,370.2947645750844,12.834958867719482,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1250K__theta30__rate1x__seed3013711,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1250.0,30.0,rate1x,1.0,3013711,0,0,48,49,0.0,213.89444635634334,213.89444635634334,7.205446268319417e-06,334.19530364357547,12.193288978318995,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1250K__theta30__rate1x__seed3013711,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1250.0,30.0,rate1x,1.0,3013711,1,49,216,168,213.89444635634334,1002.7839789325619,788.8895325762186,7.972594497216198e-06,322.6715599369405,11.981219913444011,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1300K__theta15__rate1x__seed3014720,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1300.0,15.0,rate1x,1.0,3014720,0,0,223,224,0.0,1009.1489321732373,1009.1489321732373,7.408466912014659e-06,354.42917662031863,12.556986525668789,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__ceramiclike__T1300K__theta30__rate1x__seed3014720,CANONICAL_SINGLE_CRACK_THETA,ceramic-like,oneD_v2_focused_ceramic_like_0018,1300.0,30.0,rate1x,1.0,3014720,0,0,223,224,0.0,1008.0936673096749,1008.0936673096749,6.908573101922914e-06,307.224106193614,11.69091061437272,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T0300K__theta15__rate1x__seed1003621,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,300.0,15.0,rate1x,1.0,1003621,0,0,216,217,0.0,1000.2250193673718,1000.2250193673718,1.3782027203607368e-05,1226.5887590590605,23.359857302114374,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T0300K__theta30__rate1x__seed1003621,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,300.0,30.0,rate1x,1.0,1003621,0,0,217,218,0.0,1000.6942661553389,1000.6942661553389,1.3805109864175868e-05,1226.756334187114,23.361452945869978,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T0600K__theta15__rate1x__seed1004630,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,600.0,15.0,rate1x,1.0,1004630,0,0,5,6,0.0,17.645968423873374,17.64596842387337,1.3737749597989482e-05,1218.7200804061501,23.284808941402805,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T0600K__theta15__rate1x__seed1004630,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,600.0,15.0,rate1x,1.0,1004630,1,6,205,200,17.645968423873374,1001.1288295901035,983.48286116623,1.4560626080902245e-05,1234.0228755027358,23.430540146162457,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T0600K__theta30__rate1x__seed1004630,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,600.0,30.0,rate1x,1.0,1004630,0,0,206,207,0.0,1004.2966427172034,1004.2966427172034,1.3764246368763065e-05,1219.504619435361,23.292302418660675,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T0800K__theta15__rate1x__seed1005639,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,800.0,15.0,rate1x,1.0,1005639,0,0,3,4,0.0,17.847328434858717,17.847328434858717,1.3405086165766751e-05,1160.4114208600606,22.720960808501076,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T0800K__theta15__rate1x__seed1005639,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,800.0,15.0,rate1x,1.0,1005639,1,4,17,14,17.847328434858717,80.63561151332199,62.788283078463266,1.3971099242778258e-05,1156.7047159330534,22.684642973530273,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T0800K__theta15__rate1x__seed1005639,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,800.0,15.0,rate1x,1.0,1005639,2,18,242,225,80.63561151332199,1009.0197019764963,928.3840904631744,1.5246437018759598e-05,1142.8773304615233,22.54864786884425,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T0800K__theta30__rate1x__seed1005639,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,800.0,30.0,rate1x,1.0,1005639,0,0,15,16,0.0,58.63952486243279,58.63952486243279,1.3417555381752844e-05,1158.8450439468534,22.70562072909195,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T0800K__theta30__rate1x__seed1005639,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,800.0,30.0,rate1x,1.0,1005639,1,16,246,231,58.63952486243279,1000.0401777913186,941.4006529288857,1.5312214407001476e-05,1186.13527267145,22.97141806582614,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T0900K__theta15__rate1x__seed1006648,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,900.0,15.0,rate1x,1.0,1006648,0,0,220,221,0.0,1001.9233566944492,1001.9233566944492,1.3207479484398055e-05,1126.4519319781825,22.386027216329037,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T0900K__theta30__rate1x__seed1006648,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,900.0,30.0,rate1x,1.0,1006648,0,0,217,218,0.0,1002.3149105109609,1002.3149105109609,1.32269409303827e-05,1126.1530121341627,22.383056795860124,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T0950K__theta15__rate1x__seed1007657,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,950.0,15.0,rate1x,1.0,1007657,0,0,9,10,0.0,62.11542960047158,62.115429600471586,1.2580703693264473e-05,1022.0747097542887,21.32367312102817,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T0950K__theta15__rate1x__seed1007657,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,950.0,15.0,rate1x,1.0,1007657,1,10,221,212,62.11542960047158,1002.1581815204553,940.0427519199837,1.5604282773810787e-05,1072.893243412166,21.847359268038534,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T0950K__theta30__rate1x__seed1007657,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,950.0,30.0,rate1x,1.0,1007657,0,0,223,224,0.0,1005.9683457375719,1005.9683457375719,1.2517550442176708e-05,1008.5960778820873,21.182603291793683,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T1000K__theta15__rate1x__seed1008666,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,1000.0,15.0,rate1x,1.0,1008666,0,0,42,43,0.0,196.66446255986014,196.66446255986014,2.9028844456832562e-05,5441.670878569788,49.20246159283379,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T1000K__theta15__rate1x__seed1008666,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,1000.0,15.0,rate1x,1.0,1008666,1,43,226,184,196.66446255986014,1001.4038533661404,804.7393908062803,3.0492507688349093e-05,5805.0933158762045,50.818904410410504,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T1000K__theta30__rate1x__seed1008666,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,1000.0,30.0,rate1x,1.0,1008666,0,0,0,1,0.0,2.9094172804967724,2.9094172804967724,1.915438804181103e-05,2361.6478383433528,32.41367430960434,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T1000K__theta30__rate1x__seed1008666,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,1000.0,30.0,rate1x,1.0,1008666,1,1,225,225,2.9094172804967724,1000.1423438411631,997.2329265606663,1.9956910914154226e-05,2670.026097326213,34.46501314335957,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T1050K__theta15__rate1x__seed1009675,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,1050.0,15.0,rate1x,1.0,1009675,0,0,14,15,0.0,58.96025756782161,58.96025756782161,2.867510244876818e-05,5309.855849090585,48.60288631206638,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T1050K__theta15__rate1x__seed1009675,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,1050.0,15.0,rate1x,1.0,1009675,1,15,222,208,58.96025756782161,1002.5328191472743,943.5725615794527,3.6558599512504905e-05,5230.384651132653,48.23780190608249,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T1050K__theta30__rate1x__seed1009675,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,1050.0,30.0,rate1x,1.0,1009675,0,0,0,1,0.0,2.280340486986274,2.280340486986274,1.917157730854026e-05,2365.8884551278993,32.44276254213709,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T1050K__theta30__rate1x__seed1009675,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,1050.0,30.0,rate1x,1.0,1009675,1,1,1,1,2.280340486986274,4.5257517679156205,2.2454112809293467,2.009476950139207e-05,2633.4914019538546,34.22840387034705,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
canonical_single_crack_theta__dbtt__T1050K__theta30__rate1x__seed1009675,CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,1050.0,30.0,rate1x,1.0,1009675,2,2,2,1,4.5257517679156205,8.502665912964385,3.9769141450487653,2.0498936162265227e-05,2859.5998448196888,35.667554025055985,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
