case_id,matrix,material_class,candidate_id,temperature_K,theta_deg,rate_tag,loading_rate_factor,seed,pf_target_status,oneD_status,comparison_status,pf_initial_onset_native_KJ_MPa_sqrt_m,oneD_initial_onset_native_KJ_MPa_sqrt_m,onset_delta_oneD_minus_PF_MPa_sqrt_m,pf_physical_avalanche_count,oneD_physical_avalanche_count,pf_largest_avalanche_fraction,oneD_largest_avalanche_fraction,pf_maximum_tip_radius_um,oneD_maximum_tip_radius_um,pf_minimum_front_width_um,oneD_minimum_front_width_um,pf_maximum_backstress_GPa,oneD_maximum_backstress_GPa,pf_mobile_state_units,oneD_mobile_state_units,eventwise_K_not_compared_as_R_curve
canonical_theta0_rate__weakt__T0900K__theta0__rate0p01x__seed2006648,CANONICAL_STRAIN_RATE,weak-T,oneD_v2_focused_weak_T_0016,900.0,0.0,rate0p01x,0.01,2006648,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,30.361098354467195,35.664172710540335,5.3030743560731395,1,1,1.0,1.0,3.3164949983534857,82.8450864931022,0.18418004048106254,0.030990852981477763,6.523879086876663,33.23555535651273,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__weakt__T0950K__theta0__rate0p01x__seed2007657,CANONICAL_STRAIN_RATE,weak-T,oneD_v2_focused_weak_T_0016,950.0,0.0,rate0p01x,0.01,2007657,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,28.319785988141145,34.73693470591194,6.417148717770797,1,1,1.0,1.0,3.411995642663899,96.06114193974469,0.1885903681818582,0.028756009088659315,6.3712350034515755,35.320470080866784,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__weakt__T1000K__theta0__rate0p01x__seed2008666,CANONICAL_STRAIN_RATE,weak-T,oneD_v2_focused_weak_T_0016,1000.0,0.0,rate0p01x,0.01,2008666,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,28.872474989999187,33.81359272247939,4.941117732480205,1,1,1.0,1.0,3.2072486662981925,110.07077056670032,0.18868134793796879,0.02684578858196764,6.367174305451014,37.36157172731658,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__weakt__T1050K__theta0__rate0p01x__seed2009675,CANONICAL_STRAIN_RATE,weak-T,oneD_v2_focused_weak_T_0016,1050.0,0.0,rate0p01x,0.01,2009675,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,27.948066407436965,32.89585073306388,4.947784325626916,1,1,1.0,1.0,3.633855787464158,125.0569582571184,0.17273133407136265,0.0251721308795218,6.955576912435938,39.393134109135616,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__weakt__T1100K__theta0__rate0p01x__seed2010684,CANONICAL_STRAIN_RATE,weak-T,oneD_v2_focused_weak_T_0016,1100.0,0.0,rate0p01x,0.01,2010684,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,27.174094108234524,31.985034796904106,4.810940688669582,1,1,1.0,1.0,3.42850053057709,139.10707955052717,0.17988400303604501,0.023857378160078112,6.678877550478236,41.16784339808989,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__weakt__T1150K__theta0__rate0p01x__seed2011693,CANONICAL_STRAIN_RATE,weak-T,oneD_v2_focused_weak_T_0016,1150.0,0.0,rate0p01x,0.01,2011693,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,26.32490366735219,31.08137810322289,4.7564744358707,1,1,1.0,1.0,3.1283583600191864,152.68425488079308,0.19214512023020436,0.022764627314388212,6.2532759020283475,42.78377676669092,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__weakt__T1200K__theta0__rate0p01x__seed2012702,CANONICAL_STRAIN_RATE,weak-T,oneD_v2_focused_weak_T_0016,1200.0,0.0,rate0p01x,0.01,2012702,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,25.440322602592026,30.18554089156206,4.745218288970033,1,1,1.0,1.0,3.3646564732756765,166.07843560604388,0.19816317088017987,0.021821556001957527,6.06340776669912,44.29740289999778,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__weakt__T1250K__theta0__rate0p01x__seed2013711,CANONICAL_STRAIN_RATE,weak-T,oneD_v2_focused_weak_T_0016,1250.0,0.0,rate0p01x,0.01,2013711,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,24.796360873764,29.29620380253221,4.49984292876821,1,1,1.0,1.0,3.151063162062298,179.28022139785574,0.19112874190485152,0.02099807011357927,6.281682586477689,45.71966985937177,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__weakt__T1300K__theta0__rate0p01x__seed2014720,CANONICAL_STRAIN_RATE,weak-T,oneD_v2_focused_weak_T_0016,1300.0,0.0,rate0p01x,0.01,2014720,TARGET_REACHED,RIGHT_CENSORED_DRIVE_MAP_BOUND,MATCHED_WITH_ONED_DRIVE_MAP_BOUND,24.117008521058125,28.415583356850668,4.298574835792543,1,1,1.0,1.0,3.204894380306492,192.30658710309453,0.1887820178656791,0.020270574949544533,6.364811668632806,47.06218059077289,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__ceramiclike__T0300K__theta0__rate0p01x__seed3003621,CANONICAL_STRAIN_RATE,ceramic-like,oneD_v2_focused_ceramic_like_0018,300.0,0.0,rate0p01x,0.01,3003621,TARGET_REACHED,TARGET_RIGHT_CENSORED,MATCHED_TARGET_TO_TARGET,14.487774762553979,14.705593016116705,0.21781825356272577,1,1,1.0,1.0,1.0,1.0000000222151926,10.0,9.999532584350126,7.769688028340922e-14,0.0009143013700573101,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__ceramiclike__T0600K__theta0__rate0p01x__seed3004630,CANONICAL_STRAIN_RATE,ceramic-like,oneD_v2_focused_ceramic_like_0018,600.0,0.0,rate0p01x,0.01,3004630,TARGET_REACHED,TARGET_RIGHT_CENSORED,MATCHED_TARGET_TO_TARGET,15.297283054218713,21.3969415562012,6.099658501982486,2,1,0.9460878691516346,1.0,1.0003265914025556,2.021482583863567,6.4896540970117185,0.15250258410538123,0.14088895606445068,5.593394370297383,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__ceramiclike__T0800K__theta0__rate0p01x__seed3005639,CANONICAL_STRAIN_RATE,ceramic-like,oneD_v2_focused_ceramic_like_0018,800.0,0.0,rate0p01x,0.01,3005639,TARGET_REACHED,TARGET_RIGHT_CENSORED,MATCHED_TARGET_TO_TARGET,16.701017088763013,24.919768029637535,8.218750940874521,1,1,1.0,1.0,1.2539396801109999,3.1265661882890767,0.3057558753179196,0.10570109319799256,3.928681578609257,9.086183214492904,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__ceramiclike__T0900K__theta0__rate0p01x__seed3006648,CANONICAL_STRAIN_RATE,ceramic-like,oneD_v2_focused_ceramic_like_0018,900.0,0.0,rate0p01x,0.01,3006648,TARGET_REACHED,TARGET_RIGHT_CENSORED,MATCHED_TARGET_TO_TARGET,16.32707515173875,23.55157811458309,7.2245029628443405,1,1,1.0,1.0,1.4781625153752196,3.038419311005035,0.2228679128887139,0.1079620492951331,5.390998644559743,8.901208784551121,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__ceramiclike__T0950K__theta0__rate0p01x__seed3007657,CANONICAL_STRAIN_RATE,ceramic-like,oneD_v2_focused_ceramic_like_0018,950.0,0.0,rate0p01x,0.01,3007657,TARGET_REACHED,TARGET_RIGHT_CENSORED,MATCHED_TARGET_TO_TARGET,15.820970513331929,22.837039824288865,7.0160693109569365,1,1,1.0,1.0,1.4783795876617358,2.9915778610194734,0.22281736734434246,0.10922414199919966,5.39222328393442,8.801073708105488,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__ceramiclike__T1000K__theta0__rate0p01x__seed3008666,CANONICAL_STRAIN_RATE,ceramic-like,oneD_v2_focused_ceramic_like_0018,1000.0,0.0,rate0p01x,0.01,3008666,TARGET_REACHED,TARGET_RIGHT_CENSORED,MATCHED_TARGET_TO_TARGET,15.52551904168341,22.09868127677614,6.573162235092731,1,1,1.0,1.0,1.4390426446977505,2.941743496082607,0.23257998948777792,0.11061669852600074,5.16576749116392,8.693128502443153,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__ceramiclike__T1050K__theta0__rate0p01x__seed3009675,CANONICAL_STRAIN_RATE,ceramic-like,oneD_v2_focused_ceramic_like_0018,1050.0,0.0,rate0p01x,0.01,3009675,TARGET_REACHED,TARGET_RIGHT_CENSORED,MATCHED_TARGET_TO_TARGET,14.732415955184887,21.354111161430442,6.621695206245555,2,1,0.5240213446628907,1.0,1.4243826935422401,2.889470641830988,0.23656081590198125,0.11213619425683898,5.078791709376376,8.683977398504352,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__ceramiclike__T1100K__theta0__rate0p01x__seed3010684,CANONICAL_STRAIN_RATE,ceramic-like,oneD_v2_focused_ceramic_like_0018,1100.0,0.0,rate0p01x,0.01,3010684,TARGET_REACHED,TARGET_RIGHT_CENSORED,MATCHED_TARGET_TO_TARGET,13.891733844098551,20.589701742411343,6.6979678983127915,2,1,0.9483765060436243,1.0,1.3821246014150435,3.0155391968534513,0.24929048600049153,0.10857303311577406,4.819299708218943,10.614004737313264,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__ceramiclike__T1150K__theta0__rate0p01x__seed3011693,CANONICAL_STRAIN_RATE,ceramic-like,oneD_v2_focused_ceramic_like_0018,1150.0,0.0,rate0p01x,0.01,3011693,TARGET_REACHED,TARGET_RIGHT_CENSORED,MATCHED_TARGET_TO_TARGET,13.610726528957526,19.819467294696572,6.208740765739046,1,1,1.0,1.0,1.3799557985785726,3.4825638493567213,0.25000051039701765,0.09783003226657082,4.805603055813481,11.906613765774305,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
canonical_theta0_rate__ceramiclike__T1200K__theta0__rate0p01x__seed3012702,CANONICAL_STRAIN_RATE,ceramic-like,oneD_v2_focused_ceramic_like_0018,1200.0,0.0,rate0p01x,0.01,3012702,TARGET_REACHED,TARGET_RIGHT_CENSORED,MATCHED_TARGET_TO_TARGET,13.297816203893031,19.046259749312355,5.748443545419324,1,1,1.0,1.0,1.3796891782447456,4.179684577529956,0.25008821619506255,0.08644401827993091,4.803840885364167,13.560199680634698,signed_burgers_line_count,density_m^-2_not_directly_subtracted,True
