case_id,matrix,material_class,candidate_id,temperature_K,theta_deg,rate_tag,loading_rate_factor,seed,event_transaction_index,physical_avalanche_index,pre_event_step,pre_event_time_s,pre_event_opening_m,pre_event_native_J_J_per_m2,pre_event_native_KJ_MPa_sqrt_m,pre_event_projected_extension_um,post_event_projected_extension_um,event_extension_um,tip_radius_um,front_width_um,mobile_count,retained_count,multiplicity,backstress_Pa,signed_shielding_MPa_sqrt_m,tensor_probe_reliable,maximum_emission_rate_system_index,maximum_emission_rate_system_name,observer_profile_fingerprint_sha256,process_zone_state_fingerprint,reload_time_to_next_event_s,reload_opening_to_next_event_m,certified_reload_before_next_event,right_censored_at_target,source_steps_sha256,onset_role
canonical_theta0_rate__peak__T1250K__theta0__rate0p01x__seed13711,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1250.0,0.0,rate0p01x,0.01,13711,0,0,270,226800.0,5.3999999999999876e-05,18906.725282917017,91.71256761529135,0.0,7.071852098940981,7.071852098940981,1.054314967591904,0.15641803069608987,12359.774149886958,47667.6425250881,5814.2532570390695,7682184741.209619,-10.279262024827785,True,0,(110),0f017149aa65c9536e608dc2c491d05da202b36f0c28b0b52e9b0d8f151bca2a,25a4622152bc69ff85796a36d95f15f7a6e6cd6ef03f8c6d8a4b0f232f2e1a97,8.400005754083395e-06,2.000000642529698e-15,False,False,8acfe7823bf9433c215e2655da1e4e0bd7f278508df088e7c0b73f4843344f80,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__peak__T1300K__theta0__rate0p01x__seed14720,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1300.0,0.0,rate0p01x,0.01,14720,0,0,262,220080.0,5.239999999999989e-05,17802.925244452083,88.99515820446793,0.0,5.620205402937623,5.620205402937623,1.3940762673096438,0.17082372204588606,40829.29231325162,47909.28526362065,8395.981505051543,7034174563.995754,-10.81718738566733,True,0,(110),2125b23e0a22887776fc6264178b8ef5f50c1bbf8e2a00161bf92e23948e2d16,9c1ea19801145989b79651ecb63d67e067d5f78b36b11189669679651ea5b9e4,8.400005754083395e-06,2.000000642529698e-15,False,False,64d4976efe6f951c791a8f3613e6f8b713178cdd5b0be8290e46b2fe6c927619,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T0300K__theta0__rate0p01x__seed1003621,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,300.0,0.0,rate0p01x,0.01,1003621,0,0,83,55997.58915313678,1.3332759322175416e-05,1152.5741452380753,22.644103533952247,0.0,2.2973400956249024,2.2973400956249024,1.000000000000008,9.999999999995806,4.694659235793903e-11,1.8318077859719635e-12,13098.72149397021,110.03611485011888,-2.0156725859807001e-16,True,0,(110),1a65be25a7640359e5269d09fab3d5d5a1d56864bb5970cddea392351cd78b89,f2c66b4eb51bf5115f25844f30fdb0f875836bc3272b28690676710951bef42a,32.29199944515858,7.688571296465862e-09,False,False,def32ca0f97a660d340bdde84e70548d7569cdc6dc75401de7c2fce77c3a5fa7,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T0300K__theta0__rate0p01x__seed1003621,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,300.0,0.0,rate0p01x,0.01,1003621,10,1,174,71662.6973876166,1.706254699705158e-05,1156.820787265132,22.685781107853003,51.77401558780945,54.071355683434355,2.2973400956249024,1.000000000000001,9.999999999999568,4.358873270147054e-12,1.9555986923483563e-13,13098.721493975047,35.213455719128774,-1.7948552629951913e-17,True,0,(110),c9d1899186ccba0f4170dad050234699df4c0515653ff64feff77fd91fc1f0f0,cee409a837bc375b30135287808142694e90740a95f52e85d1d327b122a24f24,249.10910182142106,5.93116909098585e-08,False,False,def32ca0f97a660d340bdde84e70548d7569cdc6dc75401de7c2fce77c3a5fa7,REINITIATION_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T0600K__theta0__rate0p01x__seed1004630,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,600.0,0.0,rate0p01x,0.01,1004630,0,0,83,56013.89583579521,1.3336641865665511e-05,1153.2455097608904,22.65069757158845,0.0,2.6931927694278173,2.6931927694278173,1.0000000002120497,9.999999307546036,0.0,6.468474248659438e-07,13098.720589727016,44722.59300696027,-8.756734322945208e-11,True,0,(110),9902f37055d107a0c2e6c0530b3ec7dfa36e2db14ba4170e2af333ca1d2b905c,ce0ebb38ff5cb06da46d7e540aca86f4814fb8f66291fd5d08049161bfab90d6,8.82620258161478,2.101476805144845e-09,False,False,b88c128f15fcdb41750ba8b874bd6a9a6c14521f367a16a60bd7d2a537e2d4c1,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T0600K__theta0__rate0p01x__seed1004630,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,600.0,0.0,rate0p01x,0.01,1004630,13,1,178,72027.05906754309,1.714929977798644e-05,1156.7410134718477,22.684998894206288,53.253030772094576,57.615622653919644,4.362591881825069,1.000000000005526,9.999999981630651,0.0,1.7078097817501273e-08,13098.721469986482,7269.524743122566,-1.9110281563646987e-12,True,0,(110),ad246f2cd4b00093702f0f0ff773fc0b555d4782ce7428b96eb8e92b8df06578,f87223f522291096fbac861604f1af1e4f3acdb936e04ca74eee531e5a3e917c,10.396563070185948,2.4753721595687254e-09,False,False,b88c128f15fcdb41750ba8b874bd6a9a6c14521f367a16a60bd7d2a537e2d4c1,REINITIATION_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T0800K__theta0__rate0p01x__seed1005639,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,800.0,0.0,rate0p01x,0.01,1005639,0,0,81,54642.195371509915,1.3010046517026161e-05,1097.4544225960835,22.09601427538611,0.0,3.9469096491655686,3.9469096491655686,1.0000002854882164,9.999051106560696,0.0,0.0008763736157006486,13097.482304062503,1655644.405466546,-1.1857745422301927e-07,True,0,(110),f8fae40ccef24d5cc661c24640ba9f70e0ba7232b287a25f285b9d3cd69cb810,dc20682b5c2a4ca1a70dbcf81bae696cb0883e55293c3fdd78f46d33f36cc613,6.602322957704018,1.5719816565970904e-09,False,False,be2f3f0f0a297f85cc667da3ad6a1eb67e126abf3d5fd5db1bf9ffeb8fd3b28b,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T0900K__theta0__rate0p01x__seed1006648,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,900.0,0.0,rate0p01x,0.01,1006648,0,0,79,53915.82006729585,1.283710001602281e-05,1068.470765754905,21.802285244513932,0.0,4.84810325829298,4.84810325829298,1.0005117019798766,8.638025471935533,0.0,1.7027830281441467,11320.49875046773,70093926.41289085,-0.00023912216150080175,True,0,(110),8758af442f3e52e50651dfa6ebea61fcc5c145bb0e00d0187f6bed9f32d26764,fe49a58381def45ac8ca7ba8bae00f20b4d8e57c751d4307e45fab34a3b89fe6,0.884165739735181,2.105156523209725e-10,False,False,4bc1cc6217e668b095c61b27bf78d3b3168149702ef6e2f12d9b9069ae90c2b2,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T0950K__theta0__rate0p01x__seed1007657,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,950.0,0.0,rate0p01x,0.01,1007657,0,0,80,58763.25534145898,1.3991251271775934e-05,1269.2346118470982,23.762473671949692,0.0,2.2973400956249024,2.2973400956249024,1.1661264395508966,0.9472443254653957,2.087050532395561e-10,507.89446366321545,1446.8934903320762,1262996992.445407,-0.06805671452274616,True,0,(110),f0b14dd1dc07ced80f394357b782495fdcd69facea8f42ddeb95190ff65ef8d2,d4b46c280a74570903aff9ac564b94c5540188b2a667fac80371f220940bbe5b,0.0412638848865754,9.824734496210997e-12,False,False,f82cd06b5b3d10cedf314986450746ee4a6cd3b779fe8b408d03019ff6039f1a,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T0950K__theta0__rate0p01x__seed1007657,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,950.0,0.0,rate0p01x,0.01,1007657,8,1,116,71055.07985967629,1.6917876157065784e-05,1110.9913890059158,22.23187243110657,47.882211424804815,60.85428082116618,12.972069396361363,1.0009042108499133,7.902821467472582,0.0,3.3937502201003866,10361.04584846621,93150100.6997064,-0.0004949786842444025,True,1,(1-10),22994733273576ada8f337799edc77a76d7c88e99915d0f38e39590d03b5f6aa,1373e4d8570aef454deeb5bb0264c1fa441ffabd3581cb5ba5b9589f312dd5dd,7.560005178675056e-05,1.800000578276728e-14,False,False,f82cd06b5b3d10cedf314986450746ee4a6cd3b779fe8b408d03019ff6039f1a,REINITIATION_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T1000K__theta0__rate0p01x__seed1008666,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1000.0,0.0,rate0p01x,0.01,1008666,0,0,169,132893.03096516422,3.1641197848848725e-05,6491.344034749455,53.738805502617694,0.0,2.931106565679095,2.931106565679095,7.301098496495941,0.15448226333338527,0.0,23765.490102108073,1477.391987487672,7778470864.814997,-3.503660913954949,True,0,(110),307729b5fab5753e64d190dfdfa117a5a130597f6bd7b452af5b021e78fb9230,bb468c1f25148020dd6b3c6bd79fa18d1330011f328c39fbaf098e6fee344b46,498.1118332465121,1.185980555348787e-07,False,False,87e25c2fd43c9a21f5fdcb69f5a60ae07010ae31ed1c63067a17f9dffc9ccccb,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T1000K__theta0__rate0p01x__seed1008666,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1000.0,0.0,rate0p01x,0.01,1008666,11,1,228,141099.99973642518,3.359523803248226e-05,4497.591493250552,44.73121541157772,50.12934688319599,52.42668697882089,2.2973400956249024,4.739777105790293,0.20050647850116404,0.0,14167.360416232965,1244.844877845586,5991952391.519506,-1.806476730657405,True,1,(1-10),5730454a8fa2f36f17224eb782c38dbaea2bc948fa180b767f991eb4b1e5fe73,e2d796cbd89809a6e0afd6c973c9ece6fb5bce59c11a3d3bf59a465baae62553,2426.0922937927244,5.776410223316085e-07,False,False,87e25c2fd43c9a21f5fdcb69f5a60ae07010ae31ed1c63067a17f9dffc9ccccb,REINITIATION_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T1050K__theta0__rate0p01x__seed1009675,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1050.0,0.0,rate0p01x,0.01,1009675,0,0,165,130019.07709776693,3.095692311851603e-05,6213.615442096538,52.57664638274597,0.0,2.2973400956249024,2.2973400956249024,7.300420369234825,0.15449057474898717,0.0,23748.723070786895,1477.3342459572152,7778052555.849071,-3.4990977354444426,True,0,(110),68199a66bdd6cd11ffb146895c1d2550505aa02fb604ae1058f1850dfa0da5e3,bfc6867053a18f895f0ba53cf932be2e5b70a1c8539eb6530968f7d98db88555,166.66614491835935,3.968241545674819e-08,False,False,1995c0d9c1f42d2f6a3dde7fbda96bc97e0bef9c97efaf1e83e86dda6b5c0fbe,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T1100K__theta0__rate0p01x__seed1010684,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1100.0,0.0,rate0p01x,0.01,1010684,0,0,168,130775.64749427162,3.113705892720763e-05,6286.138876053015,52.88258559634904,0.0,3.092030824162562,3.092030824162562,7.282656851554185,0.1547087708981911,0.0,24057.878121946036,1475.8210182850833,7767080026.292914,-3.549992343849292,True,0,(110),01f0667aed3d2a2c89d5dc2e720b002d4473a2a671881b29e6ae5fabae2d7d92,53f7e342c7f05829fbe940e2894620697882f8c9ec375530cb1048d5b3094201,880.2416623609461,2.0958134818118053e-07,False,False,274996ebe9e4edf7641d54e7398338eca2325382244293a6c83085df5a9dc985,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T1150K__theta0__rate0p01x__seed1011693,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1150.0,0.0,rate0p01x,0.01,1011693,0,0,166,128630.75067256071,3.062636920775264e-05,6081.627579175941,52.015239940312924,0.0,3.122381972016776,3.122381972016776,7.153177203704557,0.1563276505522388,0.0,23726.59934039691,1464.7506283938433,7686627247.720698,-3.5030952307921557,True,0,(110),a39096d58ad713d455a69317a67b1159e226854e491f2d8ce78cfcd2c97a1fad,ab108379f1c68292fad4df868df26a2d4cd1492cd9f9c7f586c647806ae81a23,30.640596947065205,7.295380225482383e-09,False,False,afaa75b7d68e99eb9021957d3f97f44e7d255d64cba259a314db0c5e4ab34daf,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T1150K__theta0__rate0p01x__seed1011693,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1150.0,0.0,rate0p01x,0.01,1011693,12,1,257,153808.63405541147,3.6621103346526555e-05,5320.877263406473,48.653301510033515,51.0451552744824,53.3424953701073,2.2973400956249024,5.17837366971391,0.1896953978234163,0.0,16174.922489674263,1286.70529650227,6333533237.009857,-2.0511635964505253,True,0,(110),8011054a48045a2b7c8ac8a751be02746f9b2e7f0665c5205a50db8bf76a1285,3f90a7f3e688fab366945b26f26bb69d1c11c54de98b2d4b9ea007c46e1694b5,0.062417885987088084,1.486140142290546e-11,False,False,afaa75b7d68e99eb9021957d3f97f44e7d255d64cba259a314db0c5e4ab34daf,REINITIATION_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T1200K__theta0__rate0p01x__seed1012702,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1200.0,0.0,rate0p01x,0.01,1012702,0,0,159,127206.91477547857,3.0287360660828324e-05,5947.735577325369,51.43947430546182,0.0,4.061931771952212,4.061931771952212,7.05784569509163,0.15755259967989269,0.0,23514.23563618493,1456.554170435006,7626850144.772798,-3.4703046144345655,True,0,(110),f537e5e81b03384a5837ec145d44771b74469a229f7c83b03814729c9c40dad3,6614ca3144111da48f2fc5726b02198bb6b2b0b91e17a6a85555d786832111ff,51.01490978609945,1.21464070919206e-08,False,False,a3debdf87edf5a6b17da8a2812fc5ae19274aec98162577ea23f3a455364f928,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T1200K__theta0__rate0p01x__seed1012702,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1200.0,0.0,rate0p01x,0.01,1012702,8,1,217,130529.55381799274,3.107846519476024e-05,5190.26162027363,48.0524261620677,57.654087139645085,63.093451732777986,5.439364593132906,5.153884632076265,0.19025354458249957,0.0,15728.203249448874,1284.3883504586247,6315000649.106843,-1.840184375249854,True,0,(110),6357a8dad6652c5538f5b923bc066f735acb6371636e6478cfa6b2e272b2866c,a278211f8da2ecb06a536db2536117b15eaf8fc69cc4436bd103ef5ce445b3cf,0.6356150541687384,1.5133691765441227e-10,False,False,a3debdf87edf5a6b17da8a2812fc5ae19274aec98162577ea23f3a455364f928,REINITIATION_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T1250K__theta0__rate0p01x__seed1013711,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1250.0,0.0,rate0p01x,0.01,1013711,0,0,170,126990.36697662646,3.023580166110162e-05,5927.50282854304,51.35190748604309,0.0,9.311358275301915,9.311358275301915,7.081500414403995,0.15724596726627108,0.0,23264.206692191696,1458.5916044657124,7641726326.363602,-3.4183663023367497,True,0,(110),2ccb370359e4ccd7bb6cefe7784218e54db4b163de6d7f05643b8926090251f0,fb1b5c5ad093776028fea86d14dd33f690753a5a6f56e57e06b1a870dac74f70,0.000609147289651446,1.4503506631357438e-13,False,False,66e21b3c6b200c16dab1ef2ccf5da6bf52195e102a8783aad2a6c0b45b51fab6,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T1250K__theta0__rate0p01x__seed1013711,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1250.0,0.0,rate0p01x,0.01,1013711,147,1,358,138033.20725886454,3.2865049347348654e-05,4937.35373795331,46.86707146559668,803.3382121984697,805.0249420402649,1.6867298417951644,4.5255185398930795,0.20650684992322174,0.0,13249.977830433783,1224.1417742502188,5813330027.936731,-0.0023851366518226687,True,0,(110),c633338a47d53564aefe747897d6ad5e489dcb67f4ca0ffbdad1ea3fbf5f9101,0ad433ad859594120a862bf7f1039a891de84cdb323379cb3f14971407fc7bed,8.400005754083395e-06,2.000000642529698e-15,False,False,66e21b3c6b200c16dab1ef2ccf5da6bf52195e102a8783aad2a6c0b45b51fab6,REINITIATION_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T1300K__theta0__rate0p01x__seed1014720,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1300.0,0.0,rate0p01x,0.01,1014720,0,0,155,118892.46682021668,2.8307730195289764e-05,5195.638060096081,48.077307769832274,0.0,2.2973400956249024,2.2973400956249024,6.757652371476185,0.16160661983953772,0.0,21761.417265065098,1430.4869554649129,7435476919.83604,-3.210233579701646,True,0,(110),8b412c4868ff18399c1770c09f2970a87d5d877c04059902b9a92a9de68edf1f,01e54eee3946aa2f79130f4ee32e45cbf11f13e04b606e671c9ad0ab1b5dddda,229.16568092121452,5.456325736219583e-08,False,False,7aceec1ec7a997ac0a3310f984289369a40e56a1972c48aa1de266a77c22c1e1,INITIAL_ONSET_PRE_EVENT
canonical_theta0_rate__dbtt__T1300K__theta0__rate0p01x__seed1014720,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,1300.0,0.0,rate0p01x,0.01,1014720,168,1,441,162341.66520298988,3.86527774292832e-05,5889.714826281717,51.187960828116424,888.9791147755419,890.5559545498061,1.5768397742641111,4.910365679899567,0.1960859113469459,5.932975000620765e-09,15468.597358089917,1261.2150220969386,6126501926.747118,-1.3214350233184151,True,0,(110),c58a8a92685096c7a5a2adfc89787d3d193eb9a65ceda2ad66652ebd9f87457f,36700405da958be33ffa2934cb2fc33dbf395528faf1feb586c437ffa12eddfd,8.400005754083395e-06,2.000000642529698e-15,False,False,7aceec1ec7a997ac0a3310f984289369a40e56a1972c48aa1de266a77c22c1e1,REINITIATION_ONSET_PRE_EVENT
canonical_theta0_rate__weakt__T0300K__theta0__rate0p01x__seed2003621,CANONICAL_STRAIN_RATE,weak-T,oneD_v2_focused_weak_T_0016,300.0,0.0,rate0p01x,0.01,2003621,0,0,70,57315.69896205924,1.3646594990966475e-05,1207.472919431099,23.177116033842818,0.0,6.3567763003183035,6.3567763003183035,1.3901649078556066,0.42410598020393314,3885.0305032466167,3003.111567513123,90963.54289284883,2831112640.47184,-0.4305000356556859,True,0,(110),2980bb3214c03ba7f960bd7cd9838d667f7b699a957e8d3af8719e313b4f7590,e5cdd86580ed6e32d2ab1d1f81a365459ad98b231fa59a39532de2b21645ed2d,0.0004716502226074226,1.1229767319493288e-13,False,False,fa8847d633b61e0e345937b9a6fd49e2531a1056ec94a61155c1822ea17c4550,INITIAL_ONSET_PRE_EVENT
