global_rank,candidate_id,parent_id,response_class,hard_thermodynamic_admissible,all_mandatory_F1B_anchors_valid,F1B_accessible_fraction,existing_F2R_confirmed,minimum_normalized_gate_margin,normalized_gate_margins_json,complexity,delta_Cp_zero,emission_entropy_inside_primary_prior,emission_entropy_distance_from_minus40_kB,root_max_abs_error_MPa_sqrt_m,parent_class_rank
11,P40_TJBSV2_S_044474,P40_TRANSFER_CALIBRATED_GEN2,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,True,1.0,False,0.25,"{""class_gate"": 5.271430432331594, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.3840199904962862, ""fatigue_max"": 0.8404021468334447, ""fatigue_rms"": 0.8564027771852614, ""root_accuracy"": 0.8517383000000001, ""state_conservation"": 0.9999999397721341}",2,True,True,5.925535683830574,0.0001482617,3
12,P25_TJBSV2_S_034272,P25_TRANSFER_V1_RANK1,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,True,1.0,False,0.25,"{""class_gate"": 1.3077378288973995, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.5060037883217374, ""fatigue_max"": 0.826951339839258, ""fatigue_rms"": 0.8276229168087977, ""root_accuracy"": 0.8627683, ""state_conservation"": 0.9999999573537914}",2,True,True,6.365301497280598,0.0001372317,5
13,P40_TJBSV2_S_054071,P40_TRANSFER_CALIBRATED_GEN2,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,True,1.0,False,0.25,"{""class_gate"": 1.2757300614304632, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.476363820683007, ""fatigue_max"": 0.8630731979057134, ""fatigue_rms"": 0.8764726552348726, ""root_accuracy"": 0.9262247, ""state_conservation"": 0.9999999674188373}",2,True,True,8.522682177523777,7.37753e-05,4
14,P25_TJBSV2_S_055250,P25_TRANSFER_V1_RANK1,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,True,1.0,False,0.25,"{""class_gate"": 5.93075257578625, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.4855921908733931, ""fatigue_max"": 0.8198426638529029, ""fatigue_rms"": 0.8205219860092389, ""root_accuracy"": 0.7778622, ""state_conservation"": 0.9999999253119084}",2,True,True,8.93552114566167,0.00022213780000000002,6
15,P40_TJBSV2_S_026081,P40_TRANSFER_CALIBRATED_GEN2,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,True,1.0,False,0.25,"{""class_gate"": 5.097348912085775, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.5767455468532307, ""fatigue_max"": 0.888562671027509, ""fatigue_rms"": 0.8992743582406398, ""root_accuracy"": 0.8188481, ""state_conservation"": 0.9999999380262642}",2,True,False,20.96665546298027,0.0001811519,5
16,P40_TJBSV2_S_038278,P40_TRANSFER_CALIBRATED_GEN2,WEAK_T_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True,True,1.0,False,0.16423675863790432,"{""class_gate"": 0.16423675863790432, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.3305584345447852, ""fatigue_max"": 0.8267521052882623, ""fatigue_rms"": 0.84417131184701, ""root_accuracy"": 0.8910521, ""state_conservation"": 0.9999999999970185}",2,True,True,0.5440473804871289,0.00010894790000000001,1
17,P40_TJBSV2_S_043821,P40_TRANSFER_CALIBRATED_GEN2,ACCESSIBLE_UNCLASSIFIED_COUPLED_CONTROL,True,True,1.0,False,0.07503304584022782,"{""class_gate"": 0.07503304584022782, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.47273171665997893, ""fatigue_max"": 0.862173412458878, ""fatigue_rms"": 0.8756739936502861, ""root_accuracy"": 0.947826, ""state_conservation"": 0.9999999999929526}",2,True,True,1.9696024308602063,5.2174000000000006e-05,1
18,P40_TJBSV2_S_001565,P40_TRANSFER_CALIBRATED_GEN2,ACCESSIBLE_UNCLASSIFIED_COUPLED_CONTROL,True,True,1.0,False,0.06900509105359351,"{""class_gate"": 0.06900509105359351, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.5358913426182094, ""fatigue_max"": 0.8781402220612692, ""fatigue_rms"": 0.8899375627980358, ""root_accuracy"": 0.9206845, ""state_conservation"": 0.9999999999924106}",2,True,True,8.195690400898457,7.93155e-05,2
19,P40_TJBSV2_S_023912,P40_TRANSFER_CALIBRATED_GEN2,ACCESSIBLE_UNCLASSIFIED_COUPLED_CONTROL,True,True,1.0,False,0.06889273454313326,"{""class_gate"": 0.06889273454313326, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.34606363069652457, ""fatigue_max"": 0.8306961503860684, ""fatigue_rms"": 0.8477016953018399, ""root_accuracy"": 0.9269473, ""state_conservation"": 0.9999999630691379}",2,True,False,35.46117417514324,7.30527e-05,3
20,P25_TJBSV2_S_064036,P25_TRANSFER_V1_RANK1,ACCESSIBLE_UNCLASSIFIED_COUPLED_CONTROL,True,True,1.0,False,0.056264885404972896,"{""class_gate"": 0.056264885404972896, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.46111589119859997, ""fatigue_max"": 0.8113164846383865, ""fatigue_rms"": 0.8120036678565049, ""root_accuracy"": 0.9289606, ""state_conservation"": 0.9999999999979671}",2,True,True,1.7354594791928974,7.10394e-05,1
21,P40_TJBSV2_S_029466,P40_TRANSFER_CALIBRATED_GEN2,ACCESSIBLE_UNCLASSIFIED_COUPLED_CONTROL,True,True,1.0,False,0.05625407160087349,"{""class_gate"": 0.05625407160087349, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.40236915874249246, ""fatigue_max"": 0.8446494104720581, ""fatigue_rms"": 0.8600911977760062, ""root_accuracy"": 0.9075964, ""state_conservation"": 0.9999999999981026}",2,True,True,3.326365694817568,9.24036e-05,4
22,P25_TJBSV2_S_038124,P25_TRANSFER_V1_RANK1,ACCESSIBLE_UNCLASSIFIED_COUPLED_CONTROL,True,True,1.0,False,0.044412853861639165,"{""class_gate"": 0.044412853861639165, ""f1b_accessibility"": 0.25, ""fatigue_local_slope"": 0.5310331662188563, ""fatigue_max"": 0.835775239334156, ""fatigue_rms"": 0.83647398094628, ""root_accuracy"": 0.9680699, ""state_conservation"": 0.9999999999970185}",2,True,False,19.69113532453775,3.19301e-05,2
23,P40_TJBSV2_S_000589,P40_TRANSFER_CALIBRATED_GEN2,STATE_UNRESOLVED,True,False,0.2857142857142857,False,-1.0,"{""class_gate"": -1.0, ""f1b_accessibility"": -0.6428571428571429, ""fatigue_local_slope"": 0.7175023858936941, ""fatigue_max"": 0.9251710285970486, ""fatigue_rms"": 0.9322688837720545, ""root_accuracy"": 0.9035215, ""state_conservation"": 0.9999999433486549}",2,True,True,0.4136081412434578,9.64785e-05,1
24,P25_TJBSV2_S_036971,P25_TRANSFER_V1_RANK1,STATE_UNRESOLVED,True,False,0.2857142857142857,False,-1.0,"{""class_gate"": -1.0, ""f1b_accessibility"": -0.6428571428571429, ""fatigue_local_slope"": 0.7012636970828581, ""fatigue_max"": 0.8978098918910498, ""fatigue_rms"": 0.8994332758915752, ""root_accuracy"": 0.9317951, ""state_conservation"": 0.9999999438687445}",2,True,False,23.770903758704662,6.820490000000001e-05,1
